count_date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,road_type
2018-03-16,130.83,69.56,483.02,46.62,200.26,20.52,3.79,6.26,0.76,1.19,1.1,33.620000000000005,Major
2018-03-17,130.64,69.4,482.18,46.61,199.84,20.46,3.78,6.25,0.76,1.18,1.1,33.53000000000001,Major
2018-03-18,130.45,69.25,481.33,46.59,199.42,20.4,3.77,6.23,0.76,1.18,1.1,33.440000000000005,Major
2018-03-19,130.26,69.1,480.49,46.58,199.0,20.35,3.76,6.21,0.76,1.18,1.09,33.35000000000001,Major
2018-03-20,130.07,68.95,479.65,46.57,198.58,20.29,3.75,6.19,0.76,1.17,1.09,33.25000000000001,Major
2018-03-21,129.88,68.8,478.81,46.55,198.17,20.23,3.74,6.17,0.75,1.17,1.09,33.150000000000006,Major
2018-03-22,129.69,68.64,477.97,46.54,197.75,20.17,3.73,6.15,0.75,1.17,1.09,33.06000000000001,Major
2018-03-23,129.5,68.49,477.14,46.52,197.34,20.12,3.72,6.14,0.75,1.17,1.09,32.99,Major
2018-03-24,129.31,68.34,476.31,46.51,196.92,20.06,3.71,6.12,0.75,1.16,1.08,32.88,Major
2018-03-25,129.12,68.19,475.47,46.5,196.51,20.0,3.7,6.1,0.75,1.16,1.08,32.79,Major
2018-03-26,128.93,68.04,474.65,46.48,196.1,19.95,3.7,6.08,0.74,1.16,1.08,32.709999999999994,Major
2018-03-27,128.75,67.89,473.82,46.47,195.69,19.89,3.69,6.06,0.74,1.15,1.08,32.61,Major
2018-03-28,128.56,67.74,472.99,46.45,195.28,19.84,3.68,6.05,0.74,1.15,1.08,32.54,Major
2018-03-29,128.37,67.59,472.17,46.44,194.87,19.78,3.67,6.03,0.74,1.15,1.07,32.44,Major
