count_date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,road_type
2018-04-19,79.89,47.31,510.88,66.77,162.42,20.42,3.16,3.34,0.61,0.77,0.74,29.05,925.3599999999999,Major
2018-04-20,79.75,47.28,510.3,66.68,162.19,20.4,3.15,3.34,0.61,0.77,0.74,29.02,924.23,Major
2018-04-21,79.61,47.25,509.73,66.59,161.96,20.38,3.15,3.34,0.61,0.77,0.74,28.99,923.1200000000001,Major
2018-04-22,79.47,47.22,509.16,66.51,161.74,20.36,3.15,3.34,0.61,0.77,0.74,28.96,922.0300000000001,Major
2018-04-23,79.34,47.19,508.59,66.42,161.51,20.34,3.14,3.33,0.61,0.77,0.74,28.93,920.91,Major
2018-04-24,79.2,47.16,508.03,66.33,161.28,20.31,3.14,3.33,0.61,0.76,0.74,28.9,919.79,Major
2018-04-25,79.06,47.13,507.47,66.24,161.06,20.29,3.14,3.33,0.61,0.76,0.74,28.87,918.7,Major
2018-04-26,78.93,47.1,506.91,66.16,160.84,20.27,3.13,3.33,0.61,0.76,0.74,28.84,917.6200000000001,Major
2018-04-27,78.79,47.07,506.35,66.07,160.61,20.25,3.13,3.33,0.6,0.76,0.74,28.81,916.51,Major
2018-04-28,78.66,47.05,505.79,65.98,160.39,20.23,3.13,3.32,0.6,0.76,0.74,28.78,915.4300000000001,Major
2018-04-29,78.52,47.02,505.24,65.89,160.17,20.21,3.13,3.32,0.6,0.76,0.74,28.75,914.35,Major
2018-04-30,78.39,46.99,504.69,65.81,159.95,20.19,3.12,3.32,0.6,0.76,0.74,28.72,913.2800000000001,Major
2018-05-01,78.26,46.96,504.14,65.72,159.73,20.17,3.12,3.32,0.6,0.75,0.74,28.7,912.2100000000002,Major
2018-05-02,78.12,46.93,503.59,65.63,159.51,20.15,3.12,3.32,0.6,0.75,0.74,28.67,911.13,Major
2018-05-03,77.99,46.91,503.05,65.55,159.29,20.13,3.11,3.31,0.6,0.75,0.74,28.64,910.0699999999999,Major
2018-05-04,77.86,46.88,502.51,65.46,159.07,20.11,3.11,3.31,0.6,0.75,0.74,28.61,909.01,Major
2018-05-05,77.72,46.85,501.97,65.38,158.86,20.09,3.11,3.31,0.6,0.75,0.74,28.59,907.97,Major
2018-05-06,77.59,46.82,501.43,65.29,158.64,20.07,3.11,3.31,0.59,0.75,0.74,28.56,906.9,Major
2018-05-07,77.46,46.8,500.89,65.2,158.42,20.05,3.1,3.31,0.59,0.75,0.74,28.53,905.8399999999999,Major
2018-05-08,77.33,46.77,500.36,65.12,158.21,20.03,3.1,3.31,0.59,0.74,0.73,28.5,904.7900000000001,Major
2018-05-09,77.2,46.74,499.83,65.03,158.0,20.01,3.1,3.3,0.59,0.74,0.73,28.48,903.75,Major
2018-05-10,77.07,46.72,499.3,64.95,157.79,19.99,3.1,3.3,0.59,0.74,0.73,28.45,902.7300000000001,Major
2018-05-11,76.94,46.69,498.77,64.86,157.57,19.97,3.09,3.3,0.59,0.74,0.73,28.43,901.68,Major
2018-05-12,76.81,46.67,498.25,64.78,157.36,19.95,3.09,3.3,0.59,0.74,0.73,28.4,900.6700000000001,Major
2018-05-13,76.68,46.64,497.73,64.69,157.15,19.93,3.09,3.3,0.59,0.74,0.73,28.37,899.64,Major
2018-05-14,76.55,46.61,497.21,64.61,156.94,19.91,3.08,3.3,0.59,0.74,0.73,28.35,898.6200000000001,Major
2018-05-15,76.42,46.59,496.69,64.52,156.74,19.89,3.08,3.29,0.59,0.74,0.73,28.32,897.6000000000001,Major
2018-05-16,76.29,46.56,496.17,64.44,156.53,19.87,3.08,3.29,0.58,0.73,0.73,28.3,896.57,Major
2018-05-17,76.17,46.54,495.66,64.36,156.32,19.86,3.08,3.29,0.58,0.73,0.73,28.27,895.59,Major
2018-05-18,76.04,46.51,495.15,64.27,156.12,19.84,3.07,3.29,0.58,0.73,0.73,28.25,894.5800000000002,Major
2018-05-19,75.91,46.49,494.64,64.19,155.91,19.82,3.07,3.29,0.58,0.73,0.73,28.22,893.5800000000002,Major
