count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6108,N,2002,2002-10-09,7,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,134,225,707,24,182,33,2,2,1,0,1,39,1177
6108,N,2002,2002-10-09,8,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,251,311,705,21,106,36,2,1,1,3,2,45,1188
6108,N,2002,2002-10-09,9,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,97,131,656,25,114,41,2,2,4,2,2,53,979
6108,N,2002,2002-10-09,10,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,25,39,624,24,174,26,4,4,2,2,3,41,902
6108,N,2002,2002-10-09,11,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,14,36,729,13,194,36,2,5,1,0,1,45,1017
6108,N,2002,2002-10-09,12,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,17,32,752,23,176,40,3,0,2,2,1,48,1031
6108,N,2002,2002-10-09,13,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,23,42,673,23,225,46,5,5,1,2,2,61,1024
6108,N,2002,2002-10-09,14,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,25,44,669,22,217,61,5,2,1,3,1,73,1025
6108,N,2002,2002-10-09,15,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,20,49,678,26,272,37,2,3,2,2,1,47,1072
6108,N,2002,2002-10-09,16,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,30,45,726,24,235,39,2,0,0,2,2,45,1075
6108,N,2002,2002-10-09,17,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,27,63,868,26,225,16,0,1,1,1,1,20,1202
6108,N,2002,2002-10-09,18,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,43,73,1054,25,160,18,1,0,0,1,0,20,1332
6108,S,2002,2002-10-09,7,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,18,47,687,14,283,50,6,3,4,1,1,65,1096
6108,S,2002,2002-10-09,8,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,24,47,618,17,169,38,4,4,0,3,0,49,900
6108,S,2002,2002-10-09,9,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,18,31,546,19,135,35,3,3,1,3,0,45,776
6108,S,2002,2002-10-09,10,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,9,34,520,26,166,54,3,2,1,0,1,61,807
6108,S,2002,2002-10-09,11,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,9,37,505,16,179,57,3,4,1,3,0,68,805
6108,S,2002,2002-10-09,12,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,6,39,635,13,196,28,2,1,0,1,2,34,917
6108,S,2002,2002-10-09,13,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,14,37,545,17,200,31,2,2,1,3,0,39,838
6108,S,2002,2002-10-09,14,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,16,60,605,23,189,36,3,2,0,1,3,45,922
6108,S,2002,2002-10-09,15,6,London,107,Lambeth,A3,Major,A23,A3204,531400,178000,51.48569593,-0.10893847,0.90,0.56,22,76,687,21,197,30,0,0,0,2,1,33,1014
