Hourly Data,,London N. Kensington,,,
End Date,End Time,PM10,Status/units,PM25,Status/units
01/01/2021,1:00:00,35.15,R ugm-3 (FIDAS),30.448,R ugm-3 (Ref.eq)
01/01/2021,2:00:00,65.475,R ugm-3 (FIDAS),55.802,R ugm-3 (Ref.eq)
01/01/2021,3:00:00,32.675,R ugm-3 (FIDAS),28.278,R ugm-3 (Ref.eq)
01/01/2021,4:00:00,17.6,R ugm-3 (FIDAS),15.613,R ugm-3 (Ref.eq)
01/01/2021,5:00:00,21.65,R ugm-3 (FIDAS),19.764,R ugm-3 (Ref.eq)
01/01/2021,6:00:00,19.125,R ugm-3 (FIDAS),17.618,R ugm-3 (Ref.eq)
01/01/2021,7:00:00,16.4,R ugm-3 (FIDAS),15.189,R ugm-3 (Ref.eq)
01/01/2021,8:00:00,16.575,R ugm-3 (FIDAS),15.024,R ugm-3 (Ref.eq)
01/01/2021,9:00:00,17.2,R ugm-3 (FIDAS),15.896,R ugm-3 (Ref.eq)
01/01/2021,10:00:00,19.625,R ugm-3 (FIDAS),18.066,R ugm-3 (Ref.eq)
01/01/2021,11:00:00,21.775,R ugm-3 (FIDAS),20.165,R ugm-3 (Ref.eq)
01/01/2021,12:00:00,26.925,R ugm-3 (FIDAS),24.481,R ugm-3 (Ref.eq)
01/01/2021,13:00:00,29.825,R ugm-3 (FIDAS),26.958,R ugm-3 (Ref.eq)
01/01/2021,14:00:00,31.65,R ugm-3 (FIDAS),28.396,R ugm-3 (Ref.eq)
01/01/2021,15:00:00,31.225,R ugm-3 (FIDAS),27.948,R ugm-3 (Ref.eq)
01/01/2021,16:00:00,27.725,R ugm-3 (FIDAS),24.505,R ugm-3 (Ref.eq)
01/01/2021,17:00:00,24.2,R ugm-3 (FIDAS),21.439,R ugm-3 (Ref.eq)
01/01/2021,18:00:00,24.05,R ugm-3 (FIDAS),20.401,R ugm-3 (Ref.eq)
01/01/2021,19:00:00,23.575,R ugm-3 (FIDAS),20.047,R ugm-3 (Ref.eq)
01/01/2021,20:00:00,23.3,R ugm-3 (FIDAS),19.976,R ugm-3 (Ref.eq)
01/01/2021,21:00:00,17.75,R ugm-3 (FIDAS),14.34,R ugm-3 (Ref.eq)
01/01/2021,22:00:00,12.1,R ugm-3 (FIDAS),9.057,R ugm-3 (Ref.eq)
01/01/2021,23:00:00,11.65,R ugm-3 (FIDAS),8.585,R ugm-3 (Ref.eq)
01/01/2021,24:00:00,11.05,R ugm-3 (FIDAS),8.443,R ugm-3 (Ref.eq)
02/01/2021,1:00:00,9.025,R ugm-3 (FIDAS),7.264,R ugm-3 (Ref.eq)
02/01/2021,2:00:00,8.2,R ugm-3 (FIDAS),6.84,R ugm-3 (Ref.eq)
02/01/2021,3:00:00,9.825,R ugm-3 (FIDAS),7.453,R ugm-3 (Ref.eq)
02/01/2021,4:00:00,9.225,R ugm-3 (FIDAS),7.052,R ugm-3 (Ref.eq)
02/01/2021,5:00:00,8.725,R ugm-3 (FIDAS),6.675,R ugm-3 (Ref.eq)
02/01/2021,6:00:00,9.05,R ugm-3 (FIDAS),5.778,R ugm-3 (Ref.eq)
02/01/2021,7:00:00,7.925,R ugm-3 (FIDAS),4.835,R ugm-3 (Ref.eq)
02/01/2021,8:00:00,6.875,R ugm-3 (FIDAS),4.363,R ugm-3 (Ref.eq)
02/01/2021,9:00:00,4.5,R ugm-3 (FIDAS),2.995,R ugm-3 (Ref.eq)
02/01/2021,10:00:00,4.525,R ugm-3 (FIDAS),2.995,R ugm-3 (Ref.eq)
02/01/2021,11:00:00,5.125,R ugm-3 (FIDAS),3.585,R ugm-3 (Ref.eq)
02/01/2021,12:00:00,5.6,R ugm-3 (FIDAS),3.939,R ugm-3 (Ref.eq)
02/01/2021,13:00:00,5.55,R ugm-3 (FIDAS),3.491,R ugm-3 (Ref.eq)
02/01/2021,14:00:00,4.3,R ugm-3 (FIDAS),2.877,R ugm-3 (Ref.eq)
02/01/2021,15:00:00,6.475,R ugm-3 (FIDAS),5.236,R ugm-3 (Ref.eq)
02/01/2021,16:00:00,7.275,R ugm-3 (FIDAS),5.637,R ugm-3 (Ref.eq)
02/01/2021,17:00:00,9.175,R ugm-3 (FIDAS),7.052,R ugm-3 (Ref.eq)
02/01/2021,18:00:00,10.125,R ugm-3 (FIDAS),8.066,R ugm-3 (Ref.eq)
02/01/2021,19:00:00,13.075,R ugm-3 (FIDAS),10.566,R ugm-3 (Ref.eq)
02/01/2021,20:00:00,12.725,R ugm-3 (FIDAS),10.519,R ugm-3 (Ref.eq)
02/01/2021,21:00:00,12.925,R ugm-3 (FIDAS),10.519,R ugm-3 (Ref.eq)
02/01/2021,22:00:00,12.725,R ugm-3 (FIDAS),10.708,R ugm-3 (Ref.eq)
02/01/2021,23:00:00,14.55,R ugm-3 (FIDAS),12.689,R ugm-3 (Ref.eq)
02/01/2021,24:00:00,15.025,R ugm-3 (FIDAS),13.326,R ugm-3 (Ref.eq)
03/01/2021,1:00:00,14.275,R ugm-3 (FIDAS),12.925,R ugm-3 (Ref.eq)
03/01/2021,2:00:00,8.675,R ugm-3 (FIDAS),7.854,R ugm-3 (Ref.eq)
03/01/2021,3:00:00,6.925,R ugm-3 (FIDAS),6.203,R ugm-3 (Ref.eq)
03/01/2021,4:00:00,5.475,R ugm-3 (FIDAS),5.047,R ugm-3 (Ref.eq)
03/01/2021,5:00:00,6.525,R ugm-3 (FIDAS),5.873,R ugm-3 (Ref.eq)
03/01/2021,6:00:00,10.775,R ugm-3 (FIDAS),9.835,R ugm-3 (Ref.eq)
03/01/2021,7:00:00,10.75,R ugm-3 (FIDAS),9.599,R ugm-3 (Ref.eq)
03/01/2021,8:00:00,9.7,R ugm-3 (FIDAS),8.538,R ugm-3 (Ref.eq)
03/01/2021,9:00:00,10.075,R ugm-3 (FIDAS),8.656,R ugm-3 (Ref.eq)
03/01/2021,10:00:00,7.75,R ugm-3 (FIDAS),6.415,R ugm-3 (Ref.eq)
03/01/2021,11:00:00,7.4,R ugm-3 (FIDAS),5.684,R ugm-3 (Ref.eq)
03/01/2021,12:00:00,6.25,R ugm-3 (FIDAS),5.165,R ugm-3 (Ref.eq)
03/01/2021,13:00:00,6.475,R ugm-3 (FIDAS),4.929,R ugm-3 (Ref.eq)
03/01/2021,14:00:00,6.725,R ugm-3 (FIDAS),4.906,R ugm-3 (Ref.eq)
03/01/2021,15:00:00,6.4,R ugm-3 (FIDAS),4.575,R ugm-3 (Ref.eq)
03/01/2021,16:00:00,5.325,R ugm-3 (FIDAS),3.915,R ugm-3 (Ref.eq)
03/01/2021,17:00:00,6.05,R ugm-3 (FIDAS),4.741,R ugm-3 (Ref.eq)
03/01/2021,18:00:00,7.4,R ugm-3 (FIDAS),6.297,R ugm-3 (Ref.eq)
03/01/2021,19:00:00,8.9,R ugm-3 (FIDAS),7.5,R ugm-3 (Ref.eq)
03/01/2021,20:00:00,10.65,R ugm-3 (FIDAS),9.151,R ugm-3 (Ref.eq)
03/01/2021,21:00:00,11.775,R ugm-3 (FIDAS),9.953,R ugm-3 (Ref.eq)
