Hourly Data,,RBKC Kensington High Street 1 (sensor),,,
End Date,End Time,PM10,Status/units,PM25,Status/units
01/01/2024,1:00:00,12.5,P ugm-3,8.3,P ugm-3
01/01/2024,2:00:00,11.1,P ugm-3,7.1,P ugm-3
01/01/2024,3:00:00,11.7,P ugm-3,7.3,P ugm-3
01/01/2024,4:00:00,10.4,P ugm-3,6.4,P ugm-3
01/01/2024,5:00:00,8.5,P ugm-3,5.3,P ugm-3
01/01/2024,6:00:00,12.4,P ugm-3,7.8,P ugm-3
01/01/2024,7:00:00,16.5,P ugm-3,10.1,P ugm-3
01/01/2024,8:00:00,18.8,P ugm-3,11.6,P ugm-3
01/01/2024,9:00:00,22.6,P ugm-3,13.6,P ugm-3
01/01/2024,10:00:00,22.3,P ugm-3,13,P ugm-3
01/01/2024,11:00:00,21.5,P ugm-3,12.5,P ugm-3
01/01/2024,12:00:00,18.6,P ugm-3,11,P ugm-3
01/01/2024,13:00:00,15.4,P ugm-3,8.8,P ugm-3
01/01/2024,14:00:00,13.4,P ugm-3,7.6,P ugm-3
01/01/2024,15:00:00,14.4,P ugm-3,7.9,P ugm-3
01/01/2024,16:00:00,18.6,P ugm-3,10.6,P ugm-3
01/01/2024,17:00:00,18,P ugm-3,11,P ugm-3
01/01/2024,18:00:00,12.2,P ugm-3,7.9,P ugm-3
01/01/2024,19:00:00,13.8,P ugm-3,9.2,P ugm-3
01/01/2024,20:00:00,7.1,P ugm-3,4.9,P ugm-3
01/01/2024,21:00:00,5.4,P ugm-3,3.8,P ugm-3
01/01/2024,22:00:00,3.1,P ugm-3,2.2,P ugm-3
01/01/2024,23:00:00,3.4,P ugm-3,2.4,P ugm-3
01/01/2024,24:00:00,1.4,P ugm-3,1,P ugm-3
02/01/2024,1:00:00,0.9,P ugm-3,0.6,P ugm-3
02/01/2024,2:00:00,1.8,P ugm-3,1.2,P ugm-3
02/01/2024,3:00:00,3.4,P ugm-3,2.2,P ugm-3
02/01/2024,4:00:00,8,P ugm-3,5.2,P ugm-3
02/01/2024,5:00:00,12.5,P ugm-3,8,P ugm-3
02/01/2024,6:00:00,17,P ugm-3,11,P ugm-3
02/01/2024,7:00:00,22,P ugm-3,14.1,P ugm-3
02/01/2024,8:00:00,25.9,P ugm-3,16.8,P ugm-3
02/01/2024,9:00:00,22.2,P ugm-3,15.1,P ugm-3
02/01/2024,10:00:00,7.6,P ugm-3,5.3,P ugm-3
02/01/2024,11:00:00,3.9,P ugm-3,2.6,P ugm-3
02/01/2024,12:00:00,9.6,P ugm-3,6.7,P ugm-3
02/01/2024,13:00:00,1.5,P ugm-3,1,P ugm-3
02/01/2024,14:00:00,7.5,P ugm-3,5,P ugm-3
02/01/2024,15:00:00,19.1,P ugm-3,12.8,P ugm-3
02/01/2024,16:00:00,5.3,P ugm-3,3.1,P ugm-3
02/01/2024,17:00:00,2.9,P ugm-3,1.6,P ugm-3
02/01/2024,18:00:00,5.6,P ugm-3,3.7,P ugm-3
02/01/2024,19:00:00,8,P ugm-3,5.2,P ugm-3
02/01/2024,20:00:00,12.2,P ugm-3,7.9,P ugm-3
02/01/2024,21:00:00,16.9,P ugm-3,10.7,P ugm-3
02/01/2024,22:00:00,19.6,P ugm-3,12.5,P ugm-3
02/01/2024,23:00:00,18.8,P ugm-3,12.3,P ugm-3
02/01/2024,24:00:00,18,P ugm-3,11.7,P ugm-3
03/01/2024,1:00:00,16.8,P ugm-3,11,P ugm-3
03/01/2024,2:00:00,22.4,P ugm-3,14.2,P ugm-3
03/01/2024,3:00:00,25.7,P ugm-3,16.4,P ugm-3
03/01/2024,4:00:00,20.1,P ugm-3,13.1,P ugm-3
03/01/2024,5:00:00,16.3,P ugm-3,10.3,P ugm-3
03/01/2024,6:00:00,13.2,P ugm-3,8.5,P ugm-3
03/01/2024,7:00:00,13.6,P ugm-3,8.5,P ugm-3
03/01/2024,8:00:00,19.6,P ugm-3,11.9,P ugm-3
03/01/2024,9:00:00,27.1,P ugm-3,16.3,P ugm-3
03/01/2024,10:00:00,32,P ugm-3,19.6,P ugm-3
03/01/2024,11:00:00,24.4,P ugm-3,15.3,P ugm-3
03/01/2024,12:00:00,20.8,P ugm-3,12.8,P ugm-3
03/01/2024,13:00:00,16.7,P ugm-3,8.6,P ugm-3
03/01/2024,14:00:00,9.8,P ugm-3,6.2,P ugm-3
03/01/2024,15:00:00,7.9,P ugm-3,4.8,P ugm-3
