Hourly Data,,London N. Kensington,,,
End Date,End Time,PM10,Status/units,PM25,Status/units
01/01/2018,1:00:00,12.425,R ugm-3 (FIDAS),8.892,R ugm-3 (Ref.eq)
01/01/2018,2:00:00,7.375,R ugm-3 (FIDAS),4.363,R ugm-3 (Ref.eq)
01/01/2018,3:00:00,5.625,R ugm-3 (FIDAS),3.137,R ugm-3 (Ref.eq)
01/01/2018,4:00:00,3.2,R ugm-3 (FIDAS),1.792,R ugm-3 (Ref.eq)
01/01/2018,5:00:00,3.875,R ugm-3 (FIDAS),2.146,R ugm-3 (Ref.eq)
01/01/2018,6:00:00,5.05,R ugm-3 (FIDAS),2.618,R ugm-3 (Ref.eq)
01/01/2018,7:00:00,9.4,R ugm-3 (FIDAS),4.575,R ugm-3 (Ref.eq)
01/01/2018,8:00:00,12.4,R ugm-3 (FIDAS),6.109,R ugm-3 (Ref.eq)
01/01/2018,9:00:00,15.375,R ugm-3 (FIDAS),7.052,R ugm-3 (Ref.eq)
01/01/2018,10:00:00,18.025,R ugm-3 (FIDAS),8.373,R ugm-3 (Ref.eq)
01/01/2018,11:00:00,20.225,R ugm-3 (FIDAS),9.151,R ugm-3 (Ref.eq)
01/01/2018,12:00:00,16.525,R ugm-3 (FIDAS),7.948,R ugm-3 (Ref.eq)
01/01/2018,13:00:00,11.25,R ugm-3 (FIDAS),6.297,R ugm-3 (Ref.eq)
01/01/2018,14:00:00,9.325,R ugm-3 (FIDAS),5.259,R ugm-3 (Ref.eq)
01/01/2018,15:00:00,3.2,R ugm-3 (FIDAS),1.981,R ugm-3 (Ref.eq)
01/01/2018,16:00:00,4.525,R ugm-3 (FIDAS),2.736,R ugm-3 (Ref.eq)
01/01/2018,17:00:00,5.95,R ugm-3 (FIDAS),3.42,R ugm-3 (Ref.eq)
01/01/2018,18:00:00,6.975,R ugm-3 (FIDAS),4.175,R ugm-3 (Ref.eq)
01/01/2018,19:00:00,8.6,R ugm-3 (FIDAS),5.307,R ugm-3 (Ref.eq)
01/01/2018,20:00:00,6.325,R ugm-3 (FIDAS),3.75,R ugm-3 (Ref.eq)
01/01/2018,21:00:00,5.525,R ugm-3 (FIDAS),3.325,R ugm-3 (Ref.eq)
01/01/2018,22:00:00,5.1,R ugm-3 (FIDAS),2.948,R ugm-3 (Ref.eq)
01/01/2018,23:00:00,5.775,R ugm-3 (FIDAS),3.184,R ugm-3 (Ref.eq)
01/01/2018,24:00:00,5.925,R ugm-3 (FIDAS),3.16,R ugm-3 (Ref.eq)
02/01/2018,1:00:00,6.6,R ugm-3 (FIDAS),3.585,R ugm-3 (Ref.eq)
02/01/2018,2:00:00,6.425,R ugm-3 (FIDAS),3.443,R ugm-3 (Ref.eq)
02/01/2018,3:00:00,6.775,R ugm-3 (FIDAS),3.774,R ugm-3 (Ref.eq)
02/01/2018,4:00:00,10.55,R ugm-3 (FIDAS),5.259,R ugm-3 (Ref.eq)
02/01/2018,5:00:00,11.55,R ugm-3 (FIDAS),5.943,R ugm-3 (Ref.eq)
02/01/2018,6:00:00,13.375,R ugm-3 (FIDAS),6.604,R ugm-3 (Ref.eq)
02/01/2018,7:00:00,14.325,R ugm-3 (FIDAS),7.241,R ugm-3 (Ref.eq)
02/01/2018,8:00:00,15.8,R ugm-3 (FIDAS),8.042,R ugm-3 (Ref.eq)
02/01/2018,9:00:00,17.25,R ugm-3 (FIDAS),8.42,R ugm-3 (Ref.eq)
02/01/2018,10:00:00,20.6,R ugm-3 (FIDAS),8.939,R ugm-3 (Ref.eq)
02/01/2018,11:00:00,18.3,R ugm-3 (FIDAS),9.057,R ugm-3 (Ref.eq)
02/01/2018,12:00:00,14.05,R ugm-3 (FIDAS),8.679,R ugm-3 (Ref.eq)
02/01/2018,13:00:00,9.2,R ugm-3 (FIDAS),6.509,R ugm-3 (Ref.eq)
02/01/2018,14:00:00,3.85,R ugm-3 (FIDAS),2.524,R ugm-3 (Ref.eq)
02/01/2018,15:00:00,2.075,R ugm-3 (FIDAS),1.274,R ugm-3 (Ref.eq)
02/01/2018,16:00:00,4.625,R ugm-3 (FIDAS),2.83,R ugm-3 (Ref.eq)
02/01/2018,17:00:00,15.125,R ugm-3 (FIDAS),8.561,R ugm-3 (Ref.eq)
02/01/2018,18:00:00,26.275,R ugm-3 (FIDAS),15.118,R ugm-3 (Ref.eq)
02/01/2018,19:00:00,32.375,R ugm-3 (FIDAS),19.08,R ugm-3 (Ref.eq)
02/01/2018,20:00:00,27.55,R ugm-3 (FIDAS),17.217,R ugm-3 (Ref.eq)
02/01/2018,21:00:00,27.05,R ugm-3 (FIDAS),17.877,R ugm-3 (Ref.eq)
02/01/2018,22:00:00,13.625,R ugm-3 (FIDAS),9.717,R ugm-3 (Ref.eq)
02/01/2018,23:00:00,2.925,R ugm-3 (FIDAS),2.146,R ugm-3 (Ref.eq)
02/01/2018,24:00:00,2.425,R ugm-3 (FIDAS),1.462,R ugm-3 (Ref.eq)
03/01/2018,1:00:00,6.8,R ugm-3 (FIDAS),3.538,R ugm-3 (Ref.eq)
03/01/2018,2:00:00,13.175,R ugm-3 (FIDAS),7.311,R ugm-3 (Ref.eq)
03/01/2018,3:00:00,8.6,R ugm-3 (FIDAS),4.599,R ugm-3 (Ref.eq)
03/01/2018,4:00:00,8.475,R ugm-3 (FIDAS),4.363,R ugm-3 (Ref.eq)
03/01/2018,5:00:00,16.425,R ugm-3 (FIDAS),8.679,R ugm-3 (Ref.eq)
03/01/2018,6:00:00,10.025,R ugm-3 (FIDAS),5.448,R ugm-3 (Ref.eq)
03/01/2018,7:00:00,11.025,R ugm-3 (FIDAS),6.061,R ugm-3 (Ref.eq)
03/01/2018,8:00:00,11.95,R ugm-3 (FIDAS),6.297,R ugm-3 (Ref.eq)
03/01/2018,9:00:00,13.5,R ugm-3 (FIDAS),7.288,R ugm-3 (Ref.eq)
03/01/2018,10:00:00,12.55,R ugm-3 (FIDAS),6.698,R ugm-3 (Ref.eq)
03/01/2018,11:00:00,16.525,R ugm-3 (FIDAS),8.491,R ugm-3 (Ref.eq)
03/01/2018,12:00:00,19.275,R ugm-3 (FIDAS),10.377,R ugm-3 (Ref.eq)
03/01/2018,13:00:00,20.05,R ugm-3 (FIDAS),10.92,R ugm-3 (Ref.eq)
03/01/2018,14:00:00,19.275,R ugm-3 (FIDAS),10.755,R ugm-3 (Ref.eq)
03/01/2018,15:00:00,19.975,R ugm-3 (FIDAS),11.156,R ugm-3 (Ref.eq)
03/01/2018,16:00:00,25.325,R ugm-3 (FIDAS),13.137,R ugm-3 (Ref.eq)
03/01/2018,17:00:00,26.525,R ugm-3 (FIDAS),14.528,R ugm-3 (Ref.eq)
03/01/2018,18:00:00,26.5,R ugm-3 (FIDAS),15.024,R ugm-3 (Ref.eq)
03/01/2018,19:00:00,25.95,R ugm-3 (FIDAS),14.717,R ugm-3 (Ref.eq)
03/01/2018,20:00:00,27.45,R ugm-3 (FIDAS),15.118,R ugm-3 (Ref.eq)
03/01/2018,21:00:00,29.625,R ugm-3 (FIDAS),16.651,R ugm-3 (Ref.eq)
