Hourly Data,,RBKC Cromwell Road,,,
End Date,End Time,PM10,Status/units,PM25,Status/units
01/01/2023,1:00:00,,,,
01/01/2023,2:00:00,,,,
01/01/2023,3:00:00,,,,
01/01/2023,4:00:00,,,,
01/01/2023,5:00:00,,,,
01/01/2023,6:00:00,,,,
01/01/2023,7:00:00,,,,
01/01/2023,8:00:00,,,,
01/01/2023,9:00:00,,,,
01/01/2023,10:00:00,,,,
01/01/2023,11:00:00,,,,
01/01/2023,12:00:00,,,,
01/01/2023,13:00:00,,,,
01/01/2023,14:00:00,,,,
01/01/2023,15:00:00,,,,
01/01/2023,16:00:00,,,,
01/01/2023,17:00:00,,,,
01/01/2023,18:00:00,,,,
01/01/2023,19:00:00,,,,
01/01/2023,20:00:00,,,,
01/01/2023,21:00:00,,,,
01/01/2023,22:00:00,,,,
01/01/2023,23:00:00,,,,
01/01/2023,24:00:00,,,,
02/01/2023,1:00:00,,,,
02/01/2023,2:00:00,,,,
02/01/2023,3:00:00,,,,
02/01/2023,4:00:00,,,,
02/01/2023,5:00:00,,,,
02/01/2023,6:00:00,,,,
02/01/2023,7:00:00,,,,
02/01/2023,8:00:00,,,,
02/01/2023,9:00:00,,,,
02/01/2023,10:00:00,,,,
02/01/2023,11:00:00,,,,
02/01/2023,12:00:00,,,,
02/01/2023,13:00:00,,,,
02/01/2023,14:00:00,,,,
02/01/2023,15:00:00,,,,
02/01/2023,16:00:00,,,,
02/01/2023,17:00:00,,,,
02/01/2023,18:00:00,,,,
02/01/2023,19:00:00,,,,
02/01/2023,20:00:00,,,,
02/01/2023,21:00:00,,,,
02/01/2023,22:00:00,,,,
02/01/2023,23:00:00,,,,
02/01/2023,24:00:00,,,,
03/01/2023,1:00:00,,,,
03/01/2023,2:00:00,,,,
03/01/2023,3:00:00,,,,
03/01/2023,4:00:00,,,,
03/01/2023,5:00:00,,,,
03/01/2023,6:00:00,,,,
03/01/2023,7:00:00,,,,
03/01/2023,8:00:00,,,,
03/01/2023,9:00:00,,,,
03/01/2023,10:00:00,,,,
03/01/2023,11:00:00,,,,
03/01/2023,12:00:00,,,,
03/01/2023,13:00:00,,,,
03/01/2023,14:00:00,,,,
03/01/2023,15:00:00,,,,
03/01/2023,16:00:00,,,,
03/01/2023,17:00:00,,,,
03/01/2023,18:00:00,,,,
03/01/2023,19:00:00,,,,
03/01/2023,20:00:00,,,,
03/01/2023,21:00:00,,,,
03/01/2023,22:00:00,,,,
03/01/2023,23:00:00,,,,
03/01/2023,24:00:00,,,,
04/01/2023,1:00:00,,,,
04/01/2023,2:00:00,,,,
04/01/2023,3:00:00,,,,
04/01/2023,4:00:00,,,,
04/01/2023,5:00:00,,,,
04/01/2023,6:00:00,,,,
04/01/2023,7:00:00,,,,
04/01/2023,8:00:00,,,,
04/01/2023,9:00:00,,,,
04/01/2023,10:00:00,,,,
04/01/2023,11:00:00,,,,
04/01/2023,12:00:00,,,,
04/01/2023,13:00:00,,,,
04/01/2023,14:00:00,,,,
04/01/2023,15:00:00,,,,
04/01/2023,16:00:00,,,,
04/01/2023,17:00:00,,,,
04/01/2023,18:00:00,,,,
04/01/2023,19:00:00,,,,
04/01/2023,20:00:00,,,,
04/01/2023,21:00:00,,,,
04/01/2023,22:00:00,,,,
04/01/2023,23:00:00,,,,
04/01/2023,24:00:00,,,,
05/01/2023,1:00:00,,,,
05/01/2023,2:00:00,,,,
05/01/2023,3:00:00,,,,
05/01/2023,4:00:00,,,,
05/01/2023,5:00:00,,,,
05/01/2023,6:00:00,,,,
05/01/2023,7:00:00,,,,
05/01/2023,8:00:00,,,,
05/01/2023,9:00:00,,,,
05/01/2023,10:00:00,,,,
05/01/2023,11:00:00,,,,
05/01/2023,12:00:00,,,,
05/01/2023,13:00:00,,,,
05/01/2023,14:00:00,,,,
05/01/2023,15:00:00,,,,
05/01/2023,16:00:00,,,,
05/01/2023,17:00:00,,,,
05/01/2023,18:00:00,,,,
05/01/2023,19:00:00,,,,
05/01/2023,20:00:00,,,,
05/01/2023,21:00:00,,,,
05/01/2023,22:00:00,,,,
05/01/2023,23:00:00,,,,
05/01/2023,24:00:00,,,,
06/01/2023,1:00:00,,,,
06/01/2023,2:00:00,,,,
06/01/2023,3:00:00,,,,
06/01/2023,4:00:00,,,,
06/01/2023,5:00:00,,,,
06/01/2023,6:00:00,,,,
06/01/2023,7:00:00,,,,
06/01/2023,8:00:00,,,,
06/01/2023,9:00:00,,,,
06/01/2023,10:00:00,,,,
06/01/2023,11:00:00,,,,
06/01/2023,12:00:00,,,,
06/01/2023,13:00:00,,,,
06/01/2023,14:00:00,,,,
06/01/2023,15:00:00,,,,
06/01/2023,16:00:00,,,,
06/01/2023,17:00:00,,,,
06/01/2023,18:00:00,,,,
06/01/2023,19:00:00,,,,
06/01/2023,20:00:00,,,,
06/01/2023,21:00:00,,,,
06/01/2023,22:00:00,,,,
06/01/2023,23:00:00,,,,
06/01/2023,24:00:00,,,,
07/01/2023,1:00:00,,,,
07/01/2023,2:00:00,,,,
07/01/2023,3:00:00,,,,
07/01/2023,4:00:00,,,,
07/01/2023,5:00:00,,,,
07/01/2023,6:00:00,,,,
07/01/2023,7:00:00,,,,
07/01/2023,8:00:00,,,,
07/01/2023,9:00:00,,,,
07/01/2023,10:00:00,,,,
07/01/2023,11:00:00,,,,
07/01/2023,12:00:00,,,,
07/01/2023,13:00:00,,,,
07/01/2023,14:00:00,,,,
07/01/2023,15:00:00,,,,
07/01/2023,16:00:00,,,,
07/01/2023,17:00:00,,,,
07/01/2023,18:00:00,,,,
07/01/2023,19:00:00,,,,
07/01/2023,20:00:00,,,,
07/01/2023,21:00:00,,,,
07/01/2023,22:00:00,,,,
07/01/2023,23:00:00,,,,
07/01/2023,24:00:00,,,,
08/01/2023,1:00:00,,,,
08/01/2023,2:00:00,,,,
08/01/2023,3:00:00,,,,
08/01/2023,4:00:00,,,,
08/01/2023,5:00:00,,,,
08/01/2023,6:00:00,,,,
08/01/2023,7:00:00,,,,
08/01/2023,8:00:00,,,,
08/01/2023,9:00:00,,,,
08/01/2023,10:00:00,,,,
08/01/2023,11:00:00,,,,
