Hourly Data,,RBKC Sedding Street (sensor),,,
End Date,End Time,PM10,Status/units,PM25,Status/units
01/01/2024,1:00:00,10.1,P ugm-3,5.3,P ugm-3
01/01/2024,2:00:00,8.7,P ugm-3,4.4,P ugm-3
01/01/2024,3:00:00,8.7,P ugm-3,4.5,P ugm-3
01/01/2024,4:00:00,6.7,P ugm-3,3.5,P ugm-3
01/01/2024,5:00:00,5.6,P ugm-3,3,P ugm-3
01/01/2024,6:00:00,8.7,P ugm-3,4.6,P ugm-3
01/01/2024,7:00:00,12.7,P ugm-3,6.2,P ugm-3
01/01/2024,8:00:00,15.4,P ugm-3,7.5,P ugm-3
01/01/2024,9:00:00,19.8,P ugm-3,8.7,P ugm-3
01/01/2024,10:00:00,19.5,P ugm-3,8.6,P ugm-3
01/01/2024,11:00:00,17.6,P ugm-3,7.9,P ugm-3
01/01/2024,12:00:00,15.7,P ugm-3,7.1,P ugm-3
01/01/2024,13:00:00,13.8,P ugm-3,5.8,P ugm-3
01/01/2024,14:00:00,12.2,P ugm-3,5,P ugm-3
01/01/2024,15:00:00,15.1,P ugm-3,5.8,P ugm-3
01/01/2024,16:00:00,16.1,P ugm-3,6.6,P ugm-3
01/01/2024,17:00:00,15.7,P ugm-3,6.9,P ugm-3
01/01/2024,18:00:00,10.6,P ugm-3,5.3,P ugm-3
01/01/2024,19:00:00,10.9,P ugm-3,5.4,P ugm-3
01/01/2024,20:00:00,5.8,P ugm-3,3.1,P ugm-3
01/01/2024,21:00:00,4.7,P ugm-3,2.6,P ugm-3
01/01/2024,22:00:00,2.9,P ugm-3,1.6,P ugm-3
01/01/2024,23:00:00,3.3,P ugm-3,1.8,P ugm-3
01/01/2024,24:00:00,1.5,P ugm-3,0.8,P ugm-3
02/01/2024,1:00:00,1,P ugm-3,0.5,P ugm-3
02/01/2024,2:00:00,1.7,P ugm-3,0.9,P ugm-3
02/01/2024,3:00:00,2.9,P ugm-3,1.6,P ugm-3
02/01/2024,4:00:00,7.5,P ugm-3,4,P ugm-3
02/01/2024,5:00:00,10.1,P ugm-3,4.9,P ugm-3
02/01/2024,6:00:00,13.8,P ugm-3,6.7,P ugm-3
02/01/2024,7:00:00,18.3,P ugm-3,8.7,P ugm-3
02/01/2024,8:00:00,25,P ugm-3,11.9,P ugm-3
02/01/2024,9:00:00,25.1,P ugm-3,12.6,P ugm-3
02/01/2024,10:00:00,10.6,P ugm-3,5.8,P ugm-3
02/01/2024,11:00:00,5.1,P ugm-3,2.2,P ugm-3
02/01/2024,12:00:00,8.8,P ugm-3,4.3,P ugm-3
