"Category","PM<sub>2.5</sub> particulates"
"26/8/2021 10:00",6.27
"26/8/2021 11:00",6.55
"26/8/2021 12:00",6.42
"26/8/2021 13:00",6.5
"26/8/2021 14:00",6.35
"26/8/2021 15:00",6.63
"26/8/2021 16:00",6.69
"26/8/2021 17:00",6.75
"26/8/2021 18:00",6.85
"26/8/2021 19:00",6.95
"26/8/2021 20:00",6.91
"26/8/2021 21:00",6.53
"26/8/2021 22:00",6.54
"26/8/2021 23:00",6.77
"27/8/2021 0:00",6.61
"27/8/2021 1:00",5.15
"27/8/2021 2:00",5.54
"27/8/2021 3:00",5.48
"27/8/2021 4:00",5.5
"27/8/2021 5:00",6.97
"27/8/2021 6:00",7.9
"27/8/2021 7:00",9.17
"27/8/2021 8:00",9.35
"27/8/2021 9:00",8.99
"27/8/2021 10:00",6.21
"27/8/2021 11:00",6.19
"27/8/2021 12:00",5.85
"27/8/2021 13:00",5.34
"27/8/2021 14:00",5.27
"27/8/2021 15:00",5.26
"27/8/2021 16:00",5.33
"27/8/2021 17:00",5.47
"27/8/2021 18:00",5.64
"27/8/2021 19:00",5.46
"27/8/2021 20:00",5.86
"27/8/2021 21:00",6.56
"27/8/2021 22:00",6.39
"27/8/2021 23:00",6.48
"28/8/2021 0:00",6.54
"28/8/2021 1:00",10.6
"28/8/2021 2:00",11.59
"28/8/2021 3:00",12.41
"28/8/2021 4:00",16.77
"28/8/2021 5:00",21.9
"28/8/2021 6:00",21.93
"28/8/2021 7:00",19.67
"28/8/2021 8:00",25.42
"28/8/2021 9:00",17.69
"28/8/2021 10:00",8.13
"28/8/2021 11:00",6.25
"28/8/2021 12:00",5.07
"28/8/2021 13:00",4.62
"28/8/2021 14:00",5.72
"28/8/2021 15:00",4.97
"28/8/2021 16:00",4.75
"28/8/2021 17:00",6.84
"28/8/2021 18:00",7.16
"28/8/2021 19:00",8.21
"28/8/2021 20:00",14.57
"28/8/2021 21:00",17.1
"28/8/2021 22:00",18.54
"28/8/2021 23:00",13.74
"29/8/2021 0:00",12.54
"29/8/2021 1:00",8.03
"29/8/2021 2:00",7.36
"29/8/2021 3:00",7.36
"29/8/2021 4:00",7.08
"29/8/2021 5:00",7.34
"29/8/2021 6:00",7.37
"29/8/2021 7:00",8.29
"29/8/2021 8:00",7.72
"29/8/2021 9:00",7.95
"29/8/2021 10:00",7.35
"29/8/2021 11:00",6.99
"29/8/2021 12:00",6.94
"29/8/2021 13:00",5.34
"29/8/2021 14:00",5.24
"29/8/2021 15:00",5.13
"29/8/2021 16:00",5.35
"29/8/2021 17:00",5.84
"29/8/2021 18:00",5.89
"29/8/2021 19:00",6.21
"29/8/2021 20:00",6.92
"29/8/2021 21:00",6.86
"29/8/2021 22:00",6.42
"29/8/2021 23:00",6.65
"30/8/2021 0:00",6.53
"30/8/2021 1:00",8.79
"30/8/2021 2:00",9.06
"30/8/2021 3:00",10.41
"30/8/2021 4:00",11.9
"30/8/2021 5:00",12.38
"30/8/2021 6:00",13.02
"30/8/2021 7:00",13.76
"30/8/2021 8:00",11.81
"30/8/2021 9:00",9.41
"30/8/2021 10:00",8.32
"30/8/2021 11:00",8.51
"30/8/2021 12:00",10.15
"30/8/2021 13:00",10.73
"30/8/2021 14:00",13.57
"30/8/2021 15:00",15.87
"30/8/2021 16:00",13.33
"30/8/2021 17:00",13.61
"30/8/2021 18:00",12.17
"30/8/2021 19:00",7.87
"30/8/2021 20:00",5.02
"30/8/2021 21:00",5.41
"30/8/2021 22:00",6.12
"30/8/2021 23:00",6.71
"31/8/2021 0:00",8.09
"31/8/2021 1:00",6.85
"31/8/2021 2:00",7.71
