"Category","Nitrogen dioxide"
"25/3/2023 2:00",6.32
"25/3/2023 3:00",5.38
"25/3/2023 4:00",6.18
"25/3/2023 5:00",7.17
"25/3/2023 6:00",7.18
"25/3/2023 7:00",6.66
"25/3/2023 8:00",6.47
"25/3/2023 9:00",5.71
"25/3/2023 10:00",4.18
"25/3/2023 11:00",7.08
"25/3/2023 12:00",8.24
"25/3/2023 13:00",7.51
"25/3/2023 14:00",6.29
"25/3/2023 15:00",8.38
"25/3/2023 16:00",12.15
"25/3/2023 17:00",14.87
"25/3/2023 18:00",20.33
"25/3/2023 19:00",21.47
"25/3/2023 20:00",18.57
"25/3/2023 21:00",17.58
"25/3/2023 22:00",17.87
"25/3/2023 23:00",17.98
"26/3/2023 0:00",35.39
"26/3/2023 2:00",32.68
"26/3/2023 3:00",30.91
"26/3/2023 4:00",31.76
"26/3/2023 5:00",28.44
"26/3/2023 6:00",28.39
"26/3/2023 7:00",26.5
"26/3/2023 8:00",28.24
"26/3/2023 9:00",23.64
"26/3/2023 10:00",27.46
"26/3/2023 11:00",23.26
"26/3/2023 12:00",15.47
"26/3/2023 13:00",16.42
"26/3/2023 14:00",12.51
"26/3/2023 15:00",16.55
"26/3/2023 16:00",14.61
"26/3/2023 17:00",16.83
"26/3/2023 18:00",21.29
"26/3/2023 19:00",27.04
"26/3/2023 20:00",22.81
"26/3/2023 21:00",22.94
"26/3/2023 22:00",25.44
"26/3/2023 23:00",25.81
"27/3/2023 0:00",24.65
"27/3/2023 1:00",30.23
"27/3/2023 2:00",28.99
"27/3/2023 3:00",31.95
"27/3/2023 4:00",33.84
"27/3/2023 5:00",35.57
"27/3/2023 6:00",39.29
"27/3/2023 7:00",43.05
"27/3/2023 8:00",40.14
"27/3/2023 9:00",33.16
"27/3/2023 10:00",27.07
"27/3/2023 11:00",22.28
"27/3/2023 12:00",17.12
"27/3/2023 13:00",14.18
"27/3/2023 14:00",18.73
"27/3/2023 15:00",21.99
"27/3/2023 16:00",19.45
"27/3/2023 17:00",23.85
"27/3/2023 18:00",30.09
"27/3/2023 19:00",40.62
"27/3/2023 20:00",45.52
"27/3/2023 21:00",47.11
"27/3/2023 22:00",44.46
"27/3/2023 23:00",44.03
"28/3/2023 0:00",38.92
"28/3/2023 1:00",10.69
"28/3/2023 2:00",8.94
"28/3/2023 3:00",8.4
"28/3/2023 4:00",10.06
"28/3/2023 5:00",11.67
"28/3/2023 6:00",15.23
"28/3/2023 7:00",20.14
"28/3/2023 8:00",23.01
"28/3/2023 9:00",24.02
"28/3/2023 10:00",20.8
"28/3/2023 11:00",18.42
"28/3/2023 12:00",15.54
"28/3/2023 13:00",16.27
"28/3/2023 14:00",14.1
"28/3/2023 15:00",11.56
"28/3/2023 16:00",8.19
"28/3/2023 17:00",11.2
"28/3/2023 18:00",15.12
"28/3/2023 19:00",17.33
"28/3/2023 20:00",16.91
"28/3/2023 21:00",18.18
"28/3/2023 22:00",17.48
"28/3/2023 23:00",18.69
"29/3/2023 0:00",20
"29/3/2023 1:00",24.82
"29/3/2023 2:00",26.21
"29/3/2023 3:00",22.9
"29/3/2023 4:00",22.12
"29/3/2023 5:00",17.79
"29/3/2023 6:00",17.77
"29/3/2023 7:00",17.98
"29/3/2023 8:00",19.07
"29/3/2023 9:00",19.87
"29/3/2023 10:00",21.35
"29/3/2023 11:00",22.18
"29/3/2023 12:00",23.81
"29/3/2023 13:00",13.17
"29/3/2023 14:00",8.28
"29/3/2023 15:00",6.8
"29/3/2023 16:00",11.9
"29/3/2023 17:00",17.29
"29/3/2023 18:00",21.42
"29/3/2023 19:00",29.96
"29/3/2023 20:00",26.73
"29/3/2023 21:00",24.32
"29/3/2023 22:00",21.24
"29/3/2023 23:00",13.17
"30/3/2023 0:00",12.49
"30/3/2023 1:00",13.97
"30/3/2023 2:00",15.47
"30/3/2023 3:00",11.67
"30/3/2023 4:00",15.46
"30/3/2023 5:00",17.35
"30/3/2023 6:00",18.9
"30/3/2023 7:00",20.46
"30/3/2023 8:00",19.98
"30/3/2023 9:00",16.16
"30/3/2023 10:00",16.11
"30/3/2023 11:00",11.71
"30/3/2023 12:00",9.08
"30/3/2023 13:00",7.32
"30/3/2023 14:00",8.8
"30/3/2023 15:00",10.33
"30/3/2023 16:00",8.98
"30/3/2023 17:00",14.28
"30/3/2023 18:00",17.17
"30/3/2023 19:00",20.2
"30/3/2023 20:00",21.18
"30/3/2023 21:00",18.04
"30/3/2023 22:00",20.16
"30/3/2023 23:00",16.95
"31/3/2023 0:00",17.14
