"Category","PM<sub>2.5</sub> particulates"
"25/3/2023 2:00",3.9
"25/3/2023 3:00",3.67
"25/3/2023 4:00",4.27
"25/3/2023 5:00",5.07
"25/3/2023 6:00",5.16
"25/3/2023 7:00",5.65
"25/3/2023 8:00",4.21
"25/3/2023 9:00",4.63
"25/3/2023 10:00",4.06
"25/3/2023 11:00",4.74
"25/3/2023 12:00",5.29
"25/3/2023 13:00",5.07
"25/3/2023 14:00",5.05
"25/3/2023 15:00",3.82
"25/3/2023 16:00",4.77
"25/3/2023 17:00",7.32
"25/3/2023 18:00",10.99
"25/3/2023 19:00",15.11
"25/3/2023 20:00",13.61
"25/3/2023 21:00",16.08
"25/3/2023 22:00",15.15
"25/3/2023 23:00",14.74
"26/3/2023 0:00",8.51
"26/3/2023 2:00",7.65
"26/3/2023 3:00",6.96
"26/3/2023 4:00",4.37
"26/3/2023 5:00",3.62
"26/3/2023 6:00",1.14
"26/3/2023 7:00",1.15
"26/3/2023 8:00",1.77
"26/3/2023 9:00",1.55
"26/3/2023 10:00",3.08
"26/3/2023 11:00",4.5
"26/3/2023 12:00",3.02
"26/3/2023 13:00",4.73
"26/3/2023 14:00",6.88
"26/3/2023 15:00",8.89
"26/3/2023 16:00",5.12
"26/3/2023 17:00",5.55
"26/3/2023 18:00",5.2
"26/3/2023 19:00",7.05
"26/3/2023 20:00",5.02
"26/3/2023 21:00",5.76
"26/3/2023 22:00",4.25
"26/3/2023 23:00",4.15
"27/3/2023 0:00",2.56
"27/3/2023 1:00",2.68
"27/3/2023 2:00",2.85
"27/3/2023 3:00",2.9
"27/3/2023 4:00",2.98
"27/3/2023 5:00",2.9
"27/3/2023 6:00",2.79
"27/3/2023 7:00",2.91
"27/3/2023 8:00",2.86
"27/3/2023 9:00",2.88
"27/3/2023 10:00",2.52
"27/3/2023 11:00",2.62
"27/3/2023 12:00",2.41
"27/3/2023 13:00",2.65
"27/3/2023 14:00",2.57
"27/3/2023 15:00",2.93
"27/3/2023 16:00",2.95
"27/3/2023 17:00",3.09
"27/3/2023 18:00",3.71
"27/3/2023 19:00",4.44
"27/3/2023 20:00",5.33
"27/3/2023 21:00",4.21
"27/3/2023 22:00",3.64
"27/3/2023 23:00",3.48
"28/3/2023 0:00",3.11
"28/3/2023 1:00",2.89
"28/3/2023 2:00",2.73
"28/3/2023 3:00",2.65
"28/3/2023 4:00",2.68
"28/3/2023 5:00",2.74
"28/3/2023 6:00",3.15
"28/3/2023 7:00",4.15
"28/3/2023 8:00",5.39
"28/3/2023 9:00",6.08
"28/3/2023 10:00",4.98
"28/3/2023 11:00",3.87
"28/3/2023 12:00",4.32
"28/3/2023 13:00",4.92
"28/3/2023 14:00",4.48
"28/3/2023 15:00",4.34
"28/3/2023 16:00",4.26
