"Category","Nitrogen dioxide"
"28/5/2021 10:00",34.15
"28/5/2021 11:00",26.46
"28/5/2021 12:00",26.27
"28/5/2021 13:00",27.12
"28/5/2021 14:00",28.87
"28/5/2021 15:00",42.69
"28/5/2021 16:00",50.66
"28/5/2021 17:00",34.45
"28/5/2021 18:00",37.94
"28/5/2021 19:00",41.1
"28/5/2021 20:00",40.71
"28/5/2021 21:00",48.95
"28/5/2021 22:00",47.81
"28/5/2021 23:00",47.02
"29/5/2021 0:00",55.05
"29/5/2021 1:00",48.61
"29/5/2021 2:00",49.87
"29/5/2021 3:00",44.64
"29/5/2021 4:00",35.94
"29/5/2021 5:00",33.76
"29/5/2021 6:00",34.37
"29/5/2021 7:00",32.25
"29/5/2021 8:00",29.67
"29/5/2021 9:00",28.16
"29/5/2021 10:00",28.45
"29/5/2021 11:00",28.65
"29/5/2021 12:00",26.89
"29/5/2021 13:00",21.83
"29/5/2021 14:00",17.33
"29/5/2021 15:00",16.08
"29/5/2021 16:00",16.69
"29/5/2021 17:00",16.58
"29/5/2021 18:00",18.4
"29/5/2021 19:00",24.73
"29/5/2021 20:00",31.48
"29/5/2021 21:00",37.5
"29/5/2021 22:00",38.86
"29/5/2021 23:00",37.36
"30/5/2021 0:00",33.23
"30/5/2021 1:00",26.61
"30/5/2021 2:00",23.4
"30/5/2021 3:00",20.54
"30/5/2021 4:00",18.61
"30/5/2021 5:00",18.12
"30/5/2021 6:00",17.35
"30/5/2021 7:00",16.82
"30/5/2021 8:00",16.59
"30/5/2021 9:00",17.52
"30/5/2021 10:00",18.2
"30/5/2021 11:00",17.12
"30/5/2021 12:00",12.68
"30/5/2021 13:00",10.96
"30/5/2021 14:00",10.43
"30/5/2021 15:00",15.15
"30/5/2021 16:00",18.69
"30/5/2021 17:00",19.31
"30/5/2021 18:00",19.75
"30/5/2021 19:00",20.82
"30/5/2021 20:00",21.57
"30/5/2021 21:00",20.4
"30/5/2021 22:00",21.26
"30/5/2021 23:00",20.98
"31/5/2021 0:00",20.28
"31/5/2021 1:00",26.49
"31/5/2021 2:00",28.4
"31/5/2021 3:00",28.83
"31/5/2021 4:00",27.89
"31/5/2021 5:00",28.11
"31/5/2021 6:00",29.45
"31/5/2021 7:00",31.28
"31/5/2021 8:00",32.06
"31/5/2021 9:00",33.43
"31/5/2021 10:00",31.44
"31/5/2021 11:00",26.16
"31/5/2021 12:00",19.82
"31/5/2021 13:00",15.97
"31/5/2021 14:00",16.08
"31/5/2021 15:00",19.15
"31/5/2021 16:00",21.88
"31/5/2021 17:00",24.03
"31/5/2021 18:00",26.98
"31/5/2021 19:00",29.45
"31/5/2021 20:00",37.33
"31/5/2021 21:00",39.82
"31/5/2021 22:00",40.47
"31/5/2021 23:00",40.86
"1/6/2021 0:00",42.93
"1/6/2021 1:00",52.62
"1/6/2021 2:00",58.29
"1/6/2021 3:00",61.08
"1/6/2021 4:00",63.68
