"Category","Nitrogen dioxide"
"15/2/2024 0:00",4.59
"15/2/2024 1:00",4.06
"15/2/2024 2:00",4.59
"15/2/2024 3:00",5.48
"15/2/2024 4:00",7.24
"15/2/2024 5:00",9.83
"15/2/2024 6:00",10.33
"15/2/2024 7:00",9.58
"15/2/2024 8:00",11.82
"15/2/2024 9:00",13.38
"15/2/2024 10:00",13.79
"15/2/2024 11:00",13.42
"15/2/2024 12:00",14.31
"15/2/2024 13:00",9.59
"15/2/2024 14:00",13.45
"15/2/2024 15:00",13.65
"15/2/2024 16:00",14.63
"15/2/2024 17:00",17.73
"15/2/2024 18:00",19.69
"15/2/2024 19:00",22.8
"15/2/2024 20:00",22.85
"15/2/2024 21:00",25
"15/2/2024 22:00",21.16
"15/2/2024 23:00",27.66
"16/2/2024 0:00",24.31
"16/2/2024 1:00",23.03
"16/2/2024 2:00",21.68
"16/2/2024 3:00",21.72
"16/2/2024 4:00",24.4
"16/2/2024 5:00",21.29
"16/2/2024 6:00",19.63
"16/2/2024 7:00",22.28
"16/2/2024 8:00",18.3
"16/2/2024 9:00",17.57
"16/2/2024 10:00",16.06
"16/2/2024 11:00",14.68
"16/2/2024 12:00",13.31
"16/2/2024 13:00",13.94
"16/2/2024 14:00",15.24
"16/2/2024 15:00",15.74
"16/2/2024 16:00",16.07
"16/2/2024 17:00",18.02
"16/2/2024 18:00",20.76
"16/2/2024 19:00",21.66
"16/2/2024 20:00",21.51
"16/2/2024 21:00",22.37
"16/2/2024 22:00",21.45
"16/2/2024 23:00",22.41
"17/2/2024 0:00",11.56
"17/2/2024 1:00",11.49
"17/2/2024 2:00",11.02
"17/2/2024 3:00",9.43
"17/2/2024 4:00",9.92
"17/2/2024 5:00",9.09
"17/2/2024 6:00",10.69
"17/2/2024 7:00",15.98
"17/2/2024 8:00",16.63
"17/2/2024 9:00",16.7
"17/2/2024 10:00",15.42
"17/2/2024 11:00",12.96
"17/2/2024 12:00",11.68
"17/2/2024 13:00",9.25
"17/2/2024 14:00",8.67
"17/2/2024 15:00",9.55
"17/2/2024 16:00",10.57
"17/2/2024 17:00",13.37
"17/2/2024 18:00",12.65
"17/2/2024 19:00",12.28
"17/2/2024 20:00",13.82
"17/2/2024 21:00",14.45
"17/2/2024 22:00",14.33
"17/2/2024 23:00",14.44
"18/2/2024 0:00",15.5
"18/2/2024 1:00",14.62
"18/2/2024 2:00",14.46
"18/2/2024 3:00",13.65
"18/2/2024 4:00",13.66
"18/2/2024 5:00",13.24
"18/2/2024 6:00",13.94
"18/2/2024 7:00",14.19
"18/2/2024 8:00",15.5
"18/2/2024 9:00",14.86
"18/2/2024 10:00",13.13
"18/2/2024 11:00",12.95
"18/2/2024 12:00",9.37
"18/2/2024 13:00",7.46
"18/2/2024 14:00",6.46
"18/2/2024 15:00",7.85
"18/2/2024 16:00",10.61
"18/2/2024 17:00",15.22
"18/2/2024 18:00",17.87
"18/2/2024 19:00",17.15
"18/2/2024 20:00",17.99
"18/2/2024 21:00",17.76
"18/2/2024 22:00",18.89
"18/2/2024 23:00",18.39
"19/2/2024 0:00",13.09
"19/2/2024 1:00",14.85
