"Category","Nitrogen dioxide"
"12/6/2021 11:00",15.8
"12/6/2021 12:00",17.76
"12/6/2021 13:00",15.87
"12/6/2021 14:00",11.2
"12/6/2021 15:00",8.91
"12/6/2021 16:00",8.28
"12/6/2021 17:00",7.42
"12/6/2021 18:00",10.19
"12/6/2021 19:00",13.7
"12/6/2021 20:00",19.56
"12/6/2021 21:00",29.19
"12/6/2021 22:00",37.94
"12/6/2021 23:00",45
"13/6/2021 0:00",49.89
"13/6/2021 1:00",43.91
"13/6/2021 2:00",41.31
"13/6/2021 3:00",41.07
"13/6/2021 4:00",40.4
"13/6/2021 5:00",39.78
"13/6/2021 6:00",35.56
"13/6/2021 7:00",26.85
"13/6/2021 8:00",21.45
"13/6/2021 9:00",21.76
"13/6/2021 10:00",22.15
"13/6/2021 11:00",19.66
"13/6/2021 12:00",14.82
"13/6/2021 13:00",14.75
"13/6/2021 14:00",12.11
"13/6/2021 15:00",11.88
"13/6/2021 16:00",13.57
"13/6/2021 17:00",15.69
"13/6/2021 18:00",17.81
"13/6/2021 19:00",20.2
"13/6/2021 20:00",24.88
"13/6/2021 21:00",26.01
"13/6/2021 22:00",29.44
"13/6/2021 23:00",32.89
"14/6/2021 0:00",36.5
"14/6/2021 1:00",41.94
"14/6/2021 2:00",40.32
"14/6/2021 3:00",39.71
"14/6/2021 4:00",35.08
"14/6/2021 5:00",31.36
"14/6/2021 6:00",30.08
"14/6/2021 7:00",27.34
"14/6/2021 8:00",24.36
"14/6/2021 9:00",19.73
"14/6/2021 10:00",21.1
"14/6/2021 11:00",18.2
"14/6/2021 12:00",14.68
"14/6/2021 13:00",16.32
"14/6/2021 14:00",12.1
"14/6/2021 15:00",11.93
"14/6/2021 16:00",17.96
"14/6/2021 17:00",19.61
"14/6/2021 18:00",23.52
"14/6/2021 19:00",30.2
"14/6/2021 20:00",29.03
"14/6/2021 21:00",33.13
"14/6/2021 22:00",33.77
"14/6/2021 23:00",27.41
"15/6/2021 0:00",23.52
"15/6/2021 1:00",22.4
"15/6/2021 2:00",26.71
"15/6/2021 3:00",29.58
"15/6/2021 4:00",28.19
"15/6/2021 5:00",27.19
"15/6/2021 6:00",27.74
"15/6/2021 7:00",27.56
"15/6/2021 8:00",24.26
"15/6/2021 9:00",22.5
"15/6/2021 10:00",15.54
"15/6/2021 11:00",15.54
"15/6/2021 12:00",18.2
"15/6/2021 13:00",17.4
"15/6/2021 14:00",11.68
"15/6/2021 15:00",11.29
"15/6/2021 16:00",15.26
"15/6/2021 17:00",21.47
"15/6/2021 18:00",28
"15/6/2021 19:00",35.74
"15/6/2021 20:00",40.16
"15/6/2021 21:00",46.18
"15/6/2021 22:00",48.68
"15/6/2021 23:00",50.66
"16/6/2021 0:00",48.36
"16/6/2021 1:00",32.36
"16/6/2021 2:00",32.83
"16/6/2021 3:00",39.31
"16/6/2021 4:00",42.66
"16/6/2021 5:00",46.52
"16/6/2021 6:00",43.23
"16/6/2021 7:00",37.55
"16/6/2021 8:00",23.6
"16/6/2021 9:00",12.17
"16/6/2021 10:00",15.28
"16/6/2021 11:00",17.36
"16/6/2021 12:00",15.15
"16/6/2021 13:00",15.16
"16/6/2021 14:00",13.75
"16/6/2021 15:00",15.7
"16/6/2021 16:00",14.05
"16/6/2021 17:00",12.69
"16/6/2021 18:00",15.08
"16/6/2021 19:00",17.72
"16/6/2021 20:00",22.52
"16/6/2021 21:00",29.09
"16/6/2021 22:00",26.65
"16/6/2021 23:00",29.74
"17/6/2021 0:00",27.07
