"Category","PM<sub>2.5</sub> particulates"
"28/1/2021 22:00",3.41
"28/1/2021 23:00",7.47
"29/1/2021 0:00",1.93
"29/1/2021 1:00",12.4
"29/1/2021 2:00",5.34
"29/1/2021 3:00",6.44
"29/1/2021 4:00",7.26
"29/1/2021 5:00",8.1
"29/1/2021 6:00",3.55
"29/1/2021 7:00",2.79
"29/1/2021 8:00",2.65
"29/1/2021 9:00",5.68
"29/1/2021 10:00",5.94
"29/1/2021 11:00",3.16
"29/1/2021 12:00",2.88
"29/1/2021 13:00",4.67
"29/1/2021 14:00",2.23
"29/1/2021 15:00",1.85
"29/1/2021 16:00",2.67
"29/1/2021 17:00",3.72
"29/1/2021 18:00",4.15
"29/1/2021 19:00",8.85
"29/1/2021 20:00",10.63
"29/1/2021 21:00",11.9
"29/1/2021 22:00",11.1
"29/1/2021 23:00",9.91
"30/1/2021 0:00",7.35
"30/1/2021 1:00",5.7
"30/1/2021 2:00",5.51
"30/1/2021 3:00",5.1
"30/1/2021 4:00",7.82
"30/1/2021 5:00",5.47
"30/1/2021 6:00",4.41
"30/1/2021 7:00",1.88
"30/1/2021 8:00",1.78
"30/1/2021 9:00",3.01
"30/1/2021 10:00",6.48
"30/1/2021 11:00",10.18
"30/1/2021 12:00",10.74
"30/1/2021 13:00",9.02
"30/1/2021 14:00",9.42
"30/1/2021 15:00",17.21
"30/1/2021 16:00",16.11
"30/1/2021 17:00",23.38
"30/1/2021 18:00",24.67
"30/1/2021 19:00",19.6
"30/1/2021 20:00",19.73
"30/1/2021 21:00",21.04
"30/1/2021 22:00",21.76
"30/1/2021 23:00",17.67
"31/1/2021 0:00",9.78
"31/1/2021 1:00",6.47
"31/1/2021 2:00",5.07
"31/1/2021 3:00",3.61
"31/1/2021 4:00",4.07
"31/1/2021 5:00",4.79
"31/1/2021 6:00",5.86
"31/1/2021 7:00",7.23
"31/1/2021 8:00",9.53
"31/1/2021 9:00",13.61
"31/1/2021 10:00",10.93
"31/1/2021 11:00",15.37
"31/1/2021 12:00",19.52
"31/1/2021 13:00",19.22
"31/1/2021 14:00",26.16
"31/1/2021 15:00",36.98
"31/1/2021 16:00",36.59
"31/1/2021 17:00",38.18
"31/1/2021 18:00",36.86
