"Category","Nitrogen dioxide"
"28/1/2021 23:00",11.72
"29/1/2021 0:00",15.14
"29/1/2021 1:00",12.8
"29/1/2021 2:00",8.5
"29/1/2021 3:00",9.23
"29/1/2021 4:00",13.72
"29/1/2021 5:00",14.57
"29/1/2021 6:00",16.73
"29/1/2021 7:00",19.86
"29/1/2021 8:00",25.18
"29/1/2021 9:00",24.61
"29/1/2021 10:00",24.76
"29/1/2021 11:00",24.09
"29/1/2021 12:00",15.25
"29/1/2021 13:00",12.48
"29/1/2021 14:00",6.31
"29/1/2021 15:00",8.3
"29/1/2021 16:00",18.96
"29/1/2021 17:00",21.08
"29/1/2021 18:00",24.29
"29/1/2021 19:00",26.33
"29/1/2021 20:00",20.08
"29/1/2021 21:00",27.11
"29/1/2021 22:00",31.91
"29/1/2021 23:00",28.77
"30/1/2021 0:00",27.57
"30/1/2021 1:00",19.33
"30/1/2021 2:00",13.05
"30/1/2021 3:00",17
"30/1/2021 4:00",20.74
"30/1/2021 5:00",19.58
"30/1/2021 6:00",19.77
"30/1/2021 7:00",19.97
"30/1/2021 8:00",20.26
"30/1/2021 9:00",22.62
"30/1/2021 10:00",24.76
"30/1/2021 11:00",26.59
"30/1/2021 12:00",22.72
"30/1/2021 13:00",22.9
"30/1/2021 14:00",23.86
"30/1/2021 15:00",26.16
"30/1/2021 16:00",23.51
"30/1/2021 17:00",26.88
"30/1/2021 18:00",25.32
"30/1/2021 19:00",23.03
"30/1/2021 20:00",19.05
"30/1/2021 21:00",17.53
"30/1/2021 22:00",15
"30/1/2021 23:00",18.34
"31/1/2021 0:00",11.06
"31/1/2021 1:00",11.33
"31/1/2021 2:00",11.39
"31/1/2021 3:00",11.52
"31/1/2021 4:00",11.97
"31/1/2021 5:00",12.25
"31/1/2021 6:00",15.34
"31/1/2021 7:00",20.71
"31/1/2021 8:00",19.69
"31/1/2021 9:00",21.77
"31/1/2021 10:00",19.09
"31/1/2021 11:00",19.86
"31/1/2021 12:00",19.39
"31/1/2021 13:00",21.64
"31/1/2021 14:00",24.65
"31/1/2021 15:00",27.43
"31/1/2021 16:00",29.09
"31/1/2021 17:00",27.51
"31/1/2021 18:00",27.84
"31/1/2021 19:00",28.96
"31/1/2021 20:00",23.79
"31/1/2021 21:00",25.64
"31/1/2021 22:00",25.53
"31/1/2021 23:00",20.2
"1/2/2021 0:00",20.36
"1/2/2021 1:00",18.31
"1/2/2021 2:00",20.32
"1/2/2021 3:00",18.27
"1/2/2021 4:00",16.73
"1/2/2021 5:00",17.45
"1/2/2021 6:00",19.8
"1/2/2021 7:00",23.07
"1/2/2021 8:00",21.42
"1/2/2021 9:00",20.97
"1/2/2021 10:00",19.2
"1/2/2021 11:00",22.07
"1/2/2021 12:00",19.12
"1/2/2021 13:00",20.4
"1/2/2021 14:00",25.56
"1/2/2021 15:00",22.4
"1/2/2021 16:00",20.77
"1/2/2021 17:00",24.76
"1/2/2021 18:00",24.8
