"Category","PM<sub>2.5</sub> particulates"
"28/1/2021 23:00",4.52
"29/1/2021 0:00",1.87
"29/1/2021 1:00",1.97
"29/1/2021 2:00",4.56
"29/1/2021 3:00",4.9
"29/1/2021 4:00",5.05
"29/1/2021 5:00",4.34
"29/1/2021 6:00",3.07
"29/1/2021 7:00",3.48
"29/1/2021 8:00",3.42
"29/1/2021 9:00",4.21
"29/1/2021 10:00",2.36
"29/1/2021 11:00",1.2
"29/1/2021 12:00",2.09
"29/1/2021 13:00",1.33
"29/1/2021 14:00",1.42
"29/1/2021 15:00",0.98
"29/1/2021 16:00",1.65
"29/1/2021 17:00",2.51
"29/1/2021 18:00",4.88
"29/1/2021 19:00",12.55
"29/1/2021 20:00",10.83
"29/1/2021 21:00",14.33
"29/1/2021 22:00",15.54
"29/1/2021 23:00",11.44
"30/1/2021 0:00",10.33
"30/1/2021 1:00",8.01
"30/1/2021 2:00",5.34
"30/1/2021 3:00",6.35
"30/1/2021 4:00",7.09
"30/1/2021 5:00",5.44
"30/1/2021 6:00",3.86
"30/1/2021 7:00",3.45
"30/1/2021 8:00",3.74
"30/1/2021 9:00",3.54
"30/1/2021 10:00",6.86
"30/1/2021 11:00",14
"30/1/2021 12:00",12.21
"30/1/2021 13:00",10.55
"30/1/2021 14:00",12.52
"30/1/2021 15:00",23.3
"30/1/2021 16:00",19.11
"30/1/2021 17:00",32.46
"30/1/2021 18:00",28.4
"30/1/2021 19:00",21.58
"30/1/2021 20:00",17.72
"30/1/2021 21:00",19.98
"30/1/2021 22:00",18.3
"30/1/2021 23:00",11.77
"31/1/2021 0:00",6.37
"31/1/2021 1:00",3.49
"31/1/2021 2:00",1.92
"31/1/2021 3:00",2.38
"31/1/2021 4:00",2.53
"31/1/2021 5:00",3.57
"31/1/2021 6:00",3.95
"31/1/2021 7:00",5
"31/1/2021 8:00",6.86
"31/1/2021 9:00",10.29
"31/1/2021 10:00",10.09
"31/1/2021 11:00",15.4
"31/1/2021 12:00",19.02
"31/1/2021 13:00",20.5
"31/1/2021 14:00",25.75
"31/1/2021 15:00",41.41
"31/1/2021 16:00",46.74
"31/1/2021 17:00",51.88
"31/1/2021 18:00",51.14
"31/1/2021 19:00",55.61
"31/1/2021 20:00",52.35
"31/1/2021 21:00",56.77
"31/1/2021 22:00",55.89
"31/1/2021 23:00",46.82
"1/2/2021 0:00",29.24
"1/2/2021 1:00",27.33
"1/2/2021 2:00",37.25
"1/2/2021 3:00",47.65
"1/2/2021 4:00",46.36
"1/2/2021 5:00",45.74
"1/2/2021 6:00",49.79
"1/2/2021 7:00",54.61
"1/2/2021 8:00",56.47
"1/2/2021 9:00",37.46
"1/2/2021 10:00",34.96
"1/2/2021 11:00",39.62
"1/2/2021 12:00",36.18
"1/2/2021 13:00",33.5
"1/2/2021 14:00",45.19
"1/2/2021 15:00",42.23
"1/2/2021 16:00",35.47
"1/2/2021 17:00",39.87
"1/2/2021 18:00",43.02
"1/2/2021 19:00",53
"1/2/2021 20:00",57.98
"1/2/2021 21:00",57.49
"1/2/2021 22:00",57.21
"1/2/2021 23:00",58.05
"2/2/2021 0:00",55.13
"2/2/2021 1:00",55.2
"2/2/2021 2:00",53.48
"2/2/2021 3:00",39.2
"2/2/2021 4:00",35.56
"2/2/2021 5:00",41.77
"2/2/2021 6:00",45.35
"2/2/2021 7:00",35.24
"2/2/2021 8:00",25.49
"2/2/2021 9:00",6.39
"2/2/2021 10:00",5.54
"2/2/2021 11:00",6.64
"2/2/2021 12:00",10.81
"2/2/2021 13:00",9.42
"2/2/2021 14:00",9.87
"2/2/2021 15:00",10.12
"2/2/2021 16:00",13.26
"2/2/2021 17:00",12.54
"2/2/2021 18:00",11.77
"2/2/2021 19:00",7.94
"2/2/2021 20:00",6.07
"2/2/2021 21:00",7.55
"2/2/2021 22:00",6.48
"2/2/2021 23:00",3.82
"3/2/2021 0:00",3.37
"3/2/2021 1:00",2.72
"3/2/2021 2:00",2.18
"3/2/2021 3:00",2.33
"3/2/2021 4:00",3.21
"3/2/2021 5:00",3.16
"3/2/2021 6:00",5.03
"3/2/2021 7:00",4.71
"3/2/2021 8:00",6.87
"3/2/2021 9:00",9.36
"3/2/2021 10:00",10.21
"3/2/2021 11:00",15.26
"3/2/2021 12:00",15.3
"3/2/2021 13:00",5.58
"3/2/2021 14:00",3.68
"3/2/2021 15:00",2.27
"3/2/2021 16:00",1.87
"3/2/2021 17:00",7.43
"3/2/2021 18:00",3.96
"3/2/2021 19:00",5.04
"3/2/2021 20:00",4.64
"3/2/2021 21:00",6.16
"3/2/2021 22:00",7.07
"3/2/2021 23:00",6.42
"4/2/2021 0:00",5.47
"4/2/2021 1:00",5.35
"4/2/2021 2:00",6.83
"4/2/2021 3:00",7.75
"4/2/2021 4:00",9.79
"4/2/2021 5:00",19.67
"4/2/2021 6:00",24.2
"4/2/2021 7:00",32.84
"4/2/2021 8:00",37.83
"4/2/2021 9:00",30.91
"4/2/2021 10:00",22.75
"4/2/2021 11:00",18.99
"4/2/2021 12:00",22.21
"4/2/2021 13:00",32.01
"4/2/2021 14:00",30.15
"4/2/2021 15:00",22.35
"4/2/2021 16:00",24.04
"4/2/2021 17:00",17.76
"4/2/2021 18:00",26.06
"4/2/2021 19:00",32.51
"4/2/2021 20:00",23.98
"4/2/2021 21:00",9.37
"4/2/2021 22:00",9.55
"4/2/2021 23:00",5.42
"5/2/2021 0:00",3.12
"5/2/2021 1:00",11.02
"5/2/2021 2:00",12.05
"5/2/2021 3:00",12.04
"5/2/2021 4:00",14.71
"5/2/2021 5:00",14.49
"5/2/2021 6:00",15.11
"5/2/2021 7:00",16.77
"5/2/2021 8:00",19.53
"5/2/2021 9:00",24.7
"5/2/2021 10:00",19.24
"5/2/2021 11:00",9.14
"5/2/2021 12:00",5.54
"5/2/2021 13:00",3.78
"5/2/2021 14:00",4.17
"5/2/2021 15:00",3.81
"5/2/2021 16:00",2.71
"5/2/2021 17:00",2.83
"5/2/2021 18:00",4.4
"5/2/2021 19:00",14.21
"5/2/2021 20:00",21.43
