"Category","Nitrogen dioxide"
"18/7/2021 23:00",8.92
"19/7/2021 0:00",10.88
"19/7/2021 1:00",48.36
"19/7/2021 2:00",46.02
"19/7/2021 3:00",47.56
"19/7/2021 4:00",51.59
"19/7/2021 5:00",61.77
"19/7/2021 6:00",65.09
"19/7/2021 7:00",67.67
"19/7/2021 8:00",66.05
"19/7/2021 9:00",62.83
"19/7/2021 10:00",58.83
"19/7/2021 11:00",45.82
"19/7/2021 12:00",32.25
"19/7/2021 13:00",19.14
"19/7/2021 14:00",19.42
"19/7/2021 15:00",40.44
"19/7/2021 16:00",43.15
"19/7/2021 17:00",35.89
"19/7/2021 18:00",27.69
"19/7/2021 19:00",35.27
"19/7/2021 20:00",45.15
"19/7/2021 21:00",48.41
"19/7/2021 22:00",49.86
"19/7/2021 23:00",46.26
"20/7/2021 0:00",47.59
"20/7/2021 1:00",59.29
"20/7/2021 2:00",56.98
"20/7/2021 3:00",55.45
"20/7/2021 4:00",53.77
"20/7/2021 5:00",56.8
"20/7/2021 6:00",59.93
"20/7/2021 7:00",57.26
"20/7/2021 8:00",47.39
"20/7/2021 9:00",38.94
"20/7/2021 10:00",40.81
"20/7/2021 11:00",27.08
"20/7/2021 12:00",19.26
"20/7/2021 13:00",20.79
"20/7/2021 14:00",29.78
"20/7/2021 15:00",36.31
"20/7/2021 16:00",51.02
"20/7/2021 17:00",63.64
"20/7/2021 18:00",49.58
"20/7/2021 19:00",63.93
"20/7/2021 20:00",58.05
"20/7/2021 21:00",58.43
"20/7/2021 22:00",56.05
"20/7/2021 23:00",52.7
"21/7/2021 0:00",67.86
"21/7/2021 1:00",34.62
"21/7/2021 2:00",32.36
"21/7/2021 3:00",25.94
"21/7/2021 4:00",20.75
"21/7/2021 5:00",20.02
"21/7/2021 6:00",23.4
"21/7/2021 7:00",23.66
"21/7/2021 8:00",22.12
"21/7/2021 9:00",26.48
"21/7/2021 10:00",24.94
"21/7/2021 11:00",27.6
"21/7/2021 12:00",24.87
"21/7/2021 13:00",23.46
"21/7/2021 14:00",30.6
"21/7/2021 15:00",30.88
"21/7/2021 16:00",26.67
"21/7/2021 17:00",28.72
"21/7/2021 18:00",27.38
"21/7/2021 19:00",29.57
"21/7/2021 20:00",33.52
"21/7/2021 21:00",41.65
"21/7/2021 22:00",34.72
"21/7/2021 23:00",28.7
"22/7/2021 0:00",23.65
"22/7/2021 1:00",26.11
"22/7/2021 2:00",28.02
"22/7/2021 3:00",30.24
"22/7/2021 4:00",32.71
"22/7/2021 5:00",35.33
"22/7/2021 6:00",37.26
"22/7/2021 7:00",37.13
"22/7/2021 8:00",35.49
"22/7/2021 9:00",31.14
"22/7/2021 10:00",26.69
"22/7/2021 11:00",25.12
"22/7/2021 12:00",21.5
"22/7/2021 13:00",16.6
"22/7/2021 14:00",14.56
"22/7/2021 15:00",14.43
"22/7/2021 16:00",14.01
"22/7/2021 17:00",16.8
"22/7/2021 18:00",18.07
"22/7/2021 19:00",22.52
"22/7/2021 20:00",28.12
"22/7/2021 21:00",31.6
"22/7/2021 22:00",33.13
"22/7/2021 23:00",34.64
"23/7/2021 0:00",35.21
"23/7/2021 1:00",22.04
"23/7/2021 2:00",19.98
"23/7/2021 3:00",16.22
"23/7/2021 4:00",15.86
"23/7/2021 5:00",20.71
"23/7/2021 6:00",23.53
"23/7/2021 7:00",20.8
"23/7/2021 8:00",15.71
"23/7/2021 9:00",16.2
"23/7/2021 10:00",13.51
"23/7/2021 11:00",12.61
"23/7/2021 12:00",12.24
"23/7/2021 13:00",11.19
"23/7/2021 14:00",11
"23/7/2021 15:00",10.71
"23/7/2021 16:00",13.98
"23/7/2021 17:00",15.09
"23/7/2021 18:00",13.04
"23/7/2021 19:00",11.41
"23/7/2021 20:00",10.09
"23/7/2021 21:00",8.95
"23/7/2021 22:00",11.9
"23/7/2021 23:00",14.49
"24/7/2021 0:00",17.06
"24/7/2021 1:00",66.33
"24/7/2021 2:00",48.94
"24/7/2021 3:00",43.94
"24/7/2021 4:00",42.8
"24/7/2021 5:00",44.08
"24/7/2021 6:00",43.87
"24/7/2021 7:00",31.46
"24/7/2021 8:00",18.01
"24/7/2021 9:00",19.01
"24/7/2021 10:00",23.56
"24/7/2021 11:00",34.38
"24/7/2021 12:00",50.59
"24/7/2021 13:00",58.21
"24/7/2021 14:00",62.5
"24/7/2021 15:00",75.06
"24/7/2021 16:00",77.1
"24/7/2021 17:00",88.24
"24/7/2021 18:00",105.22
"24/7/2021 19:00",93.43
"24/7/2021 20:00",75.15
"24/7/2021 21:00",65
"24/7/2021 22:00",64.24
"24/7/2021 23:00",57.47
"25/7/2021 0:00",26.65
"25/7/2021 1:00",25.53
"25/7/2021 2:00",23.94
"25/7/2021 3:00",24.06
