"Category","Nitrogen dioxide"
"12/6/2023 19:00",22.65
"12/6/2023 20:00",20.68
"12/6/2023 21:00",15.88
"12/6/2023 22:00",19.61
"12/6/2023 23:00",21.96
"13/6/2023 0:00",24.86
"13/6/2023 1:00",20.68
"13/6/2023 2:00",21.56
"13/6/2023 3:00",20.28
"13/6/2023 4:00",19.76
"13/6/2023 5:00",20.73
"13/6/2023 6:00",21.2
"13/6/2023 7:00",21.23
"13/6/2023 8:00",21.78
"13/6/2023 9:00",22.29
"13/6/2023 10:00",20.98
"13/6/2023 11:00",18.73
"13/6/2023 12:00",13.49
"13/6/2023 13:00",11
"13/6/2023 14:00",11.99
"13/6/2023 15:00",12.22
"13/6/2023 16:00",11.16
"13/6/2023 17:00",11.48
"13/6/2023 18:00",11.07
"13/6/2023 19:00",11.87
"13/6/2023 20:00",14.12
"13/6/2023 21:00",18.77
"13/6/2023 22:00",19.22
"13/6/2023 23:00",16.58
"14/6/2023 0:00",17.31
"14/6/2023 1:00",12.91
"14/6/2023 2:00",13.64
"14/6/2023 3:00",13.97
"14/6/2023 4:00",14.71
"14/6/2023 5:00",15.85
"14/6/2023 6:00",17.5
"14/6/2023 7:00",19.07
"14/6/2023 8:00",19.47
"14/6/2023 9:00",18.51
"14/6/2023 10:00",17.42
"14/6/2023 11:00",14.37
"14/6/2023 12:00",11.53
"14/6/2023 13:00",9.78
"14/6/2023 14:00",8.05
"14/6/2023 15:00",7.89
"14/6/2023 16:00",9.1
"14/6/2023 17:00",9.62
"14/6/2023 18:00",9.54
"14/6/2023 19:00",9.69
"14/6/2023 20:00",9.22
"14/6/2023 21:00",12.18
"14/6/2023 22:00",13.44
"14/6/2023 23:00",15.22
"15/6/2023 0:00",15.82
"15/6/2023 1:00",19.58
"15/6/2023 2:00",14.28
"15/6/2023 3:00",16.24
"15/6/2023 4:00",16.13
"15/6/2023 5:00",13.68
"15/6/2023 6:00",14.68
"15/6/2023 7:00",20.39
"15/6/2023 8:00",22.07
"15/6/2023 9:00",21.74
"15/6/2023 10:00",24.68
"15/6/2023 11:00",16.63
"15/6/2023 12:00",11.73
"15/6/2023 13:00",14.54
"15/6/2023 14:00",13.68
"15/6/2023 15:00",16.48
"15/6/2023 16:00",16.5
"15/6/2023 17:00",15.67
"15/6/2023 18:00",19.69
"15/6/2023 19:00",20.2
"15/6/2023 20:00",19.9
"15/6/2023 21:00",17.91
"15/6/2023 22:00",16.63
"15/6/2023 23:00",20.44
"16/6/2023 0:00",22.24
"16/6/2023 1:00",19.08
"16/6/2023 2:00",26.4
"16/6/2023 3:00",29.98
"16/6/2023 4:00",31.27
"16/6/2023 5:00",35.18
"16/6/2023 6:00",33.25
"16/6/2023 7:00",25.97
"16/6/2023 8:00",18.52
"16/6/2023 9:00",15.59
"16/6/2023 10:00",13.24
"16/6/2023 11:00",10.8
"16/6/2023 12:00",10.53
"16/6/2023 13:00",10.24
"16/6/2023 14:00",10.95
"16/6/2023 15:00",11.38
"16/6/2023 16:00",10.82
"16/6/2023 17:00",11.27
"16/6/2023 18:00",12.97
"16/6/2023 19:00",19.7
"16/6/2023 20:00",20.08
"16/6/2023 21:00",18.88
"16/6/2023 22:00",22.84
"16/6/2023 23:00",29.12
"17/6/2023 0:00",28.31
"17/6/2023 1:00",53.94
"17/6/2023 2:00",53.38
"17/6/2023 3:00",49.63
"17/6/2023 4:00",48.02
"17/6/2023 5:00",51.74
"17/6/2023 6:00",53.28
"17/6/2023 7:00",52.7
"17/6/2023 8:00",52.11
"17/6/2023 9:00",52.02
"17/6/2023 10:00",51.58
"17/6/2023 11:00",49.53
"17/6/2023 12:00",33.04
"17/6/2023 13:00",24.1
"17/6/2023 14:00",25.05
"17/6/2023 15:00",36.35
"17/6/2023 16:00",39.43
"17/6/2023 17:00",43.18
"17/6/2023 18:00",44.38
"17/6/2023 19:00",46.58
"17/6/2023 20:00",55.43
"17/6/2023 21:00",55.79
"17/6/2023 22:00",63.12
"17/6/2023 23:00",65.99
"18/6/2023 0:00",63.15
"18/6/2023 1:00",39.16
"18/6/2023 2:00",42.18
"18/6/2023 3:00",43.19
"18/6/2023 4:00",40.54
"18/6/2023 5:00",37.1
"18/6/2023 6:00",35.26
"18/6/2023 7:00",34.51
"18/6/2023 8:00",30.59
"18/6/2023 9:00",19.25
"18/6/2023 10:00",17.36
"18/6/2023 11:00",13.16
"18/6/2023 12:00",12.77
"18/6/2023 13:00",11.67
"18/6/2023 14:00",17.97
"18/6/2023 15:00",19.05
"18/6/2023 16:00",22.49
"18/6/2023 17:00",26.92
"18/6/2023 18:00",30.71
"18/6/2023 19:00",29.09
"18/6/2023 20:00",28.03
"18/6/2023 21:00",22.14
"18/6/2023 22:00",18.19
"18/6/2023 23:00",21.63
"19/6/2023 0:00",22.46
"19/6/2023 1:00",23.96
"19/6/2023 2:00",24.67
"19/6/2023 3:00",27.07
"19/6/2023 4:00",26.35
"19/6/2023 5:00",28.14
"19/6/2023 6:00",28.39
"19/6/2023 7:00",29.45
"19/6/2023 8:00",25.68
"19/6/2023 9:00",16.4
"19/6/2023 10:00",14
"19/6/2023 11:00",16.11
"19/6/2023 12:00",11.25
"19/6/2023 13:00",13.6
"19/6/2023 14:00",11.32
"19/6/2023 15:00",14.18
"19/6/2023 16:00",11.93
"19/6/2023 17:00",11.64
"19/6/2023 18:00",10.38
"19/6/2023 19:00",11.65
"19/6/2023 20:00",15.66
"19/6/2023 21:00",19.97
"19/6/2023 22:00",17.05
"19/6/2023 23:00",21.71
"20/6/2023 0:00",29.28
"20/6/2023 1:00",19.13
"20/6/2023 2:00",25.28
"20/6/2023 3:00",23.89
"20/6/2023 4:00",28.01
"20/6/2023 5:00",28.88
"20/6/2023 6:00",33.68
"20/6/2023 7:00",41.67
"20/6/2023 8:00",40.62
"20/6/2023 9:00",33.87
"20/6/2023 10:00",26.72
"20/6/2023 11:00",21.81
"20/6/2023 12:00",14.05
"20/6/2023 13:00",10.95
"20/6/2023 14:00",12.47
"20/6/2023 15:00",19.72
"20/6/2023 16:00",19.43
"20/6/2023 17:00",15.97
"20/6/2023 18:00",13.15
"20/6/2023 19:00",13.12
"20/6/2023 20:00",17.37
"20/6/2023 21:00",19.99
"20/6/2023 22:00",22.78
"20/6/2023 23:00",22.26
"21/6/2023 0:00",24.13
"21/6/2023 1:00",22.48
"21/6/2023 2:00",17.92
"21/6/2023 3:00",15.87
"21/6/2023 4:00",23.23
"21/6/2023 5:00",29.55
"21/6/2023 6:00",27.8
"21/6/2023 7:00",23.64
"21/6/2023 8:00",20
"21/6/2023 9:00",15.63
"21/6/2023 10:00",12.88
"21/6/2023 11:00",17.97
"21/6/2023 12:00",19.81
"21/6/2023 13:00",15.36
"21/6/2023 14:00",15.91
"21/6/2023 15:00",16.64
"21/6/2023 16:00",14.9
"21/6/2023 17:00",13.69
"21/6/2023 18:00",14.41
"21/6/2023 19:00",16.82
"21/6/2023 20:00",17.5
"21/6/2023 21:00",23
"21/6/2023 22:00",23.46
"21/6/2023 23:00",23.65
"22/6/2023 0:00",27.5
"22/6/2023 1:00",32.52
"22/6/2023 2:00",36.47
"22/6/2023 3:00",38.82
"22/6/2023 4:00",40.13
"22/6/2023 5:00",43.37
"22/6/2023 6:00",42.77
"22/6/2023 7:00",42.91
"22/6/2023 8:00",38.69
"22/6/2023 9:00",30.1
"22/6/2023 10:00",23.33
"22/6/2023 11:00",17.26
"22/6/2023 12:00",16.2
"22/6/2023 13:00",16.43
"22/6/2023 14:00",16.73
"22/6/2023 15:00",14.59
"22/6/2023 16:00",12.93
"22/6/2023 17:00",18.57
"22/6/2023 18:00",24.29
"22/6/2023 19:00",28.67
"22/6/2023 20:00",32.31
"22/6/2023 21:00",33.48
"22/6/2023 22:00",34.39
"22/6/2023 23:00",35.63
"23/6/2023 0:00",38.76
"23/6/2023 1:00",37.56
"23/6/2023 2:00",43.77
"23/6/2023 3:00",48.24
"23/6/2023 4:00",51.49
"23/6/2023 5:00",50.15
"23/6/2023 6:00",42.42
"23/6/2023 7:00",38.14
"23/6/2023 8:00",26.81
"23/6/2023 9:00",24.8
"23/6/2023 10:00",22.65
"23/6/2023 11:00",20.67
"23/6/2023 12:00",18.53
"23/6/2023 13:00",13.6
"23/6/2023 14:00",11.5
"23/6/2023 15:00",13.01
"23/6/2023 16:00",14.54
"23/6/2023 17:00",15.05
"23/6/2023 18:00",12.75
"23/6/2023 19:00",15.81
"23/6/2023 20:00",21.28
"23/6/2023 21:00",24.72
"23/6/2023 22:00",26.8
"23/6/2023 23:00",28.23
"24/6/2023 0:00",29.56
"24/6/2023 1:00",32.17
"24/6/2023 2:00",30.83
"24/6/2023 3:00",30.91
"24/6/2023 4:00",31.75
"24/6/2023 5:00",31.97
"24/6/2023 6:00",30.1
"24/6/2023 7:00",25.53
"24/6/2023 8:00",25.44
"24/6/2023 9:00",28.76
"24/6/2023 10:00",24.11
"24/6/2023 11:00",14.8
"24/6/2023 12:00",12.19
"24/6/2023 13:00",15.91
"24/6/2023 14:00",18.27
"24/6/2023 15:00",18.33
"24/6/2023 16:00",19.01
"24/6/2023 17:00",19.13
"24/6/2023 18:00",23.31
"24/6/2023 19:00",22.87
"24/6/2023 20:00",23.57
"24/6/2023 21:00",23.91
"24/6/2023 22:00",25.91
"24/6/2023 23:00",26.99
"25/6/2023 0:00",29.02
"25/6/2023 1:00",24.52
"25/6/2023 2:00",24.39
"25/6/2023 3:00",23.03
"25/6/2023 4:00",22.64
"25/6/2023 5:00",22.92
"25/6/2023 6:00",22.24
"25/6/2023 7:00",17.75
"25/6/2023 8:00",11.89
"25/6/2023 9:00",11.5
"25/6/2023 10:00",11.84
"25/6/2023 11:00",10.58
"25/6/2023 12:00",9.89
"25/6/2023 13:00",10.85
"25/6/2023 14:00",11.15
"25/6/2023 15:00",13.47
"25/6/2023 16:00",10.32
"25/6/2023 17:00",11.96
"25/6/2023 18:00",16.05
"25/6/2023 19:00",17.34
"25/6/2023 20:00",16.4
"25/6/2023 21:00",15.44
