"Category","PM<sub>2.5</sub> particulates"
"12/6/2023 19:00",15.36
"12/6/2023 20:00",16.39
"12/6/2023 21:00",16.05
"12/6/2023 22:00",16.04
"12/6/2023 23:00",16.09
"13/6/2023 0:00",14.85
"13/6/2023 1:00",13.62
"13/6/2023 2:00",12.44
"13/6/2023 3:00",11.8
"13/6/2023 4:00",11.34
"13/6/2023 5:00",13.43
"13/6/2023 6:00",14.1
"13/6/2023 7:00",14.23
"13/6/2023 8:00",14.06
"13/6/2023 9:00",13.81
"13/6/2023 10:00",13.55
"13/6/2023 11:00",15.85
"13/6/2023 12:00",10.93
"13/6/2023 13:00",10.33
"13/6/2023 14:00",9.82
"13/6/2023 15:00",9.73
"13/6/2023 16:00",9.77
"13/6/2023 17:00",9.9
"13/6/2023 18:00",10.21
"13/6/2023 19:00",10.34
"13/6/2023 20:00",10.48
"13/6/2023 21:00",10.5
"13/6/2023 22:00",9.76
"13/6/2023 23:00",8.43
"14/6/2023 0:00",8.35
"14/6/2023 1:00",6.24
"14/6/2023 2:00",6.12
"14/6/2023 3:00",8.39
"14/6/2023 4:00",11.12
"14/6/2023 5:00",10.95
"14/6/2023 6:00",13.56
"14/6/2023 7:00",13.67
"14/6/2023 8:00",11.38
"14/6/2023 9:00",10.38
"14/6/2023 10:00",12.55
"14/6/2023 11:00",11.93
"14/6/2023 12:00",13.44
"14/6/2023 13:00",14.04
"14/6/2023 14:00",14.22
"14/6/2023 15:00",13.8
"14/6/2023 16:00",11.88
"14/6/2023 17:00",11.56
"14/6/2023 18:00",9.75
"14/6/2023 19:00",9.15
"14/6/2023 20:00",11.04
"14/6/2023 21:00",12.02
"14/6/2023 22:00",8.91
"14/6/2023 23:00",10.12
"15/6/2023 0:00",9.9
"15/6/2023 1:00",10.4
"15/6/2023 2:00",10.92
"15/6/2023 3:00",11.58
"15/6/2023 4:00",11.49
"15/6/2023 5:00",11.95
"15/6/2023 6:00",12.55
"15/6/2023 7:00",12.99
"15/6/2023 8:00",11.84
"15/6/2023 9:00",10.99
"15/6/2023 10:00",10.61
"15/6/2023 11:00",10.71
"15/6/2023 12:00",9.72
"15/6/2023 13:00",9.47
"15/6/2023 14:00",9.73
"15/6/2023 15:00",10.2
"15/6/2023 16:00",9.89
"15/6/2023 17:00",10.26
"15/6/2023 18:00",9.68
"15/6/2023 19:00",9.63
"15/6/2023 20:00",10.35
"15/6/2023 21:00",11.45
"15/6/2023 22:00",11.5
"15/6/2023 23:00",11.37
"16/6/2023 0:00",10.46
"16/6/2023 1:00",7.62
"16/6/2023 2:00",8.49
"16/6/2023 3:00",9.14
"16/6/2023 4:00",10.19
"16/6/2023 5:00",14.72
"16/6/2023 6:00",10.65
"16/6/2023 7:00",8.86
"16/6/2023 8:00",7.25
"16/6/2023 9:00",6.91
"16/6/2023 10:00",7.24
"16/6/2023 11:00",7.03
"16/6/2023 12:00",7.14
"16/6/2023 13:00",6.96
"16/6/2023 14:00",7.06
"16/6/2023 15:00",7.2
"16/6/2023 16:00",7.01
"16/6/2023 17:00",6.94
"16/6/2023 18:00",7.3
"16/6/2023 19:00",7.69
"16/6/2023 20:00",7.77
"16/6/2023 21:00",8.26
"16/6/2023 22:00",13.1
"16/6/2023 23:00",14.73
"17/6/2023 0:00",12.22
"17/6/2023 1:00",11.76
"17/6/2023 2:00",9.78
"17/6/2023 3:00",8.66
"17/6/2023 4:00",8.45
"17/6/2023 5:00",8.65
"17/6/2023 6:00",8.06
"17/6/2023 7:00",7.39
"17/6/2023 8:00",7.35
"17/6/2023 9:00",7.38
"17/6/2023 10:00",8.37
"17/6/2023 11:00",9.36
"17/6/2023 12:00",10.04
"17/6/2023 13:00",9.71
"17/6/2023 14:00",10.21
"17/6/2023 15:00",11.52
"17/6/2023 16:00",12.73
"17/6/2023 17:00",14.02
"17/6/2023 18:00",13.72
"17/6/2023 19:00",13.25
"17/6/2023 20:00",14.8
"17/6/2023 21:00",16.37
"17/6/2023 22:00",16.91
"17/6/2023 23:00",17.26
"18/6/2023 0:00",15.72
"18/6/2023 1:00",12.74
"18/6/2023 2:00",13.82
"18/6/2023 3:00",15.34
"18/6/2023 4:00",16.09
"18/6/2023 5:00",16.81
"18/6/2023 6:00",16.54
"18/6/2023 7:00",15.99
"18/6/2023 8:00",14.8
"18/6/2023 9:00",13.84
"18/6/2023 10:00",13.2
"18/6/2023 11:00",12.77
"18/6/2023 12:00",11.19
"18/6/2023 13:00",10.48
"18/6/2023 14:00",9.94
"18/6/2023 15:00",9.56
"18/6/2023 16:00",11.27
"18/6/2023 17:00",11.72
"18/6/2023 18:00",12.78
"18/6/2023 19:00",13.17
"18/6/2023 20:00",13.42
"18/6/2023 21:00",12.51
"18/6/2023 22:00",13.47
"18/6/2023 23:00",16.06
"19/6/2023 0:00",16.68
"19/6/2023 1:00",14.25
"19/6/2023 2:00",13.21
"19/6/2023 3:00",12.54
"19/6/2023 4:00",11.76
"19/6/2023 5:00",11.2
"19/6/2023 6:00",11.14
"19/6/2023 7:00",11.2
"19/6/2023 8:00",10.35
"19/6/2023 9:00",9.1
"19/6/2023 10:00",8.17
"19/6/2023 11:00",7.98
"19/6/2023 12:00",7.86
"19/6/2023 13:00",7.71
"19/6/2023 14:00",7.49
"19/6/2023 15:00",7.38
"19/6/2023 16:00",7.24
"19/6/2023 17:00",7.11
"19/6/2023 18:00",7.05
"19/6/2023 19:00",7.08
"19/6/2023 20:00",7.18
"19/6/2023 21:00",7.42
"19/6/2023 22:00",7.23
"19/6/2023 23:00",7.23
"20/6/2023 0:00",7.48
"20/6/2023 1:00",6.86
"20/6/2023 2:00",7.84
"20/6/2023 3:00",7.88
"20/6/2023 4:00",8.53
"20/6/2023 5:00",10.68
"20/6/2023 6:00",12.41
"20/6/2023 7:00",14.87
"20/6/2023 8:00",16.26
"20/6/2023 9:00",12.38
"20/6/2023 10:00",10.53
"20/6/2023 11:00",11.82
"20/6/2023 12:00",7.6
"20/6/2023 13:00",6.1
"20/6/2023 14:00",5.9
"20/6/2023 15:00",7.1
"20/6/2023 16:00",7.69
"20/6/2023 17:00",6.67
"20/6/2023 18:00",6.24
"20/6/2023 19:00",6.01
"20/6/2023 20:00",6.28
"20/6/2023 21:00",6.51
"20/6/2023 22:00",6.83
"20/6/2023 23:00",6.73
"21/6/2023 0:00",6.73
"21/6/2023 1:00",7.24
"21/6/2023 2:00",8.17
"21/6/2023 3:00",8.28
"21/6/2023 4:00",8.82
"21/6/2023 5:00",8.52
"21/6/2023 6:00",8.34
"21/6/2023 7:00",7.97
"21/6/2023 8:00",7.31
"21/6/2023 9:00",7.02
"21/6/2023 10:00",6.65
"21/6/2023 11:00",6.64
"21/6/2023 12:00",6.76
"21/6/2023 13:00",6.81
"21/6/2023 14:00",6.85
"21/6/2023 15:00",7.19
"21/6/2023 16:00",7.26
"21/6/2023 17:00",7.12
"21/6/2023 18:00",7.13
"21/6/2023 19:00",7.26
"21/6/2023 20:00",7.54
"21/6/2023 21:00",7.75
"21/6/2023 22:00",7.62
"21/6/2023 23:00",7.67
"22/6/2023 0:00",8.12
"22/6/2023 1:00",7.97
"22/6/2023 2:00",8.45
"22/6/2023 3:00",8.98
"22/6/2023 4:00",9.14
"22/6/2023 5:00",9.57
"22/6/2023 6:00",9.6
"22/6/2023 7:00",10.58
"22/6/2023 8:00",9.26
"22/6/2023 9:00",8.01
"22/6/2023 10:00",7.38
"22/6/2023 11:00",6.72
"22/6/2023 12:00",6.55
"22/6/2023 13:00",7.3
"22/6/2023 14:00",6.49
"22/6/2023 15:00",6.26
"22/6/2023 16:00",6.14
"22/6/2023 17:00",6.28
"22/6/2023 18:00",6.52
"22/6/2023 19:00",6.37
"22/6/2023 20:00",6.55
"22/6/2023 21:00",6.75
"22/6/2023 22:00",6.86
"22/6/2023 23:00",6.71
"23/6/2023 0:00",6.73
"23/6/2023 1:00",7.19
"23/6/2023 2:00",10.15
"23/6/2023 3:00",10.56
"23/6/2023 4:00",12.69
"23/6/2023 5:00",14.13
"23/6/2023 6:00",10.99
"23/6/2023 7:00",10.97
"23/6/2023 8:00",10.2
"23/6/2023 9:00",10.25
"23/6/2023 10:00",10.26
"23/6/2023 11:00",8.63
"23/6/2023 12:00",7.23
"23/6/2023 13:00",6.89
"23/6/2023 14:00",5.03
"23/6/2023 15:00",5.11
"23/6/2023 16:00",5.15
"23/6/2023 17:00",5.57
"23/6/2023 18:00",5.26
"23/6/2023 19:00",6.07
"23/6/2023 20:00",6.23
"23/6/2023 21:00",6.74
"23/6/2023 22:00",7.69
"23/6/2023 23:00",8.4
"24/6/2023 0:00",9.21
"24/6/2023 1:00",7.88
"24/6/2023 2:00",8.13
"24/6/2023 3:00",8.56
"24/6/2023 4:00",9.33
"24/6/2023 5:00",9.78
"24/6/2023 6:00",10.24
"24/6/2023 7:00",9.27
"24/6/2023 8:00",8.74
"24/6/2023 9:00",8.49
"24/6/2023 10:00",7.5
"24/6/2023 11:00",6.29
"24/6/2023 12:00",5.54
"24/6/2023 13:00",5.52
"24/6/2023 14:00",5.5
"24/6/2023 15:00",5.56
"24/6/2023 16:00",5.49
"24/6/2023 17:00",5.71
"24/6/2023 18:00",6.79
"24/6/2023 19:00",6.96
"24/6/2023 20:00",6.91
"24/6/2023 21:00",5.91
"24/6/2023 22:00",5.99
"24/6/2023 23:00",5.69
"25/6/2023 0:00",6.06
"25/6/2023 1:00",5.01
"25/6/2023 2:00",5.9
"25/6/2023 3:00",4.83
"25/6/2023 4:00",3.79
"25/6/2023 5:00",4.6
"25/6/2023 6:00",7.13
"25/6/2023 7:00",7.74
"25/6/2023 8:00",7.59
"25/6/2023 9:00",7.64
"25/6/2023 10:00",7.81
"25/6/2023 11:00",7.96
"25/6/2023 12:00",7.53
"25/6/2023 13:00",8.22
"25/6/2023 14:00",8.19
"25/6/2023 15:00",8.55
"25/6/2023 16:00",8.28
"25/6/2023 17:00",9.12
"25/6/2023 18:00",12.32
"25/6/2023 19:00",11.01
"25/6/2023 20:00",9.82
"25/6/2023 21:00",4.34
"25/6/2023 22:00",1.89
"25/6/2023 23:00",2.61
"26/6/2023 0:00",3.08
"26/6/2023 1:00",4.56
"26/6/2023 2:00",4.96
"26/6/2023 3:00",5.72
"26/6/2023 4:00",5.97
"26/6/2023 5:00",6.09
"26/6/2023 6:00",6.02
"26/6/2023 7:00",5.89
"26/6/2023 8:00",5.24
"26/6/2023 9:00",4.72
"26/6/2023 10:00",4.44
"26/6/2023 11:00",4.2
"26/6/2023 12:00",4.12
"26/6/2023 13:00",3.71
"26/6/2023 14:00",3.96
"26/6/2023 15:00",4.1
"26/6/2023 16:00",4.59
"26/6/2023 17:00",4.5
"26/6/2023 18:00",4.34
