"Category","Nitrogen dioxide"
"13/6/2021 10:00",20.08
"13/6/2021 11:00",16.67
"13/6/2021 12:00",12.07
"13/6/2021 13:00",10.94
"13/6/2021 14:00",10.16
"13/6/2021 15:00",11.25
"13/6/2021 16:00",17.11
"13/6/2021 17:00",15.95
"13/6/2021 18:00",20.37
"13/6/2021 19:00",23.03
"13/6/2021 20:00",23.91
"13/6/2021 21:00",24.38
"13/6/2021 22:00",28
"13/6/2021 23:00",32.67
"14/6/2021 0:00",36.3
"14/6/2021 1:00",37.34
"14/6/2021 2:00",35.09
"14/6/2021 3:00",36.67
"14/6/2021 4:00",34.74
"14/6/2021 5:00",35.29
"14/6/2021 6:00",31.47
"14/6/2021 7:00",29.17
"14/6/2021 8:00",23.54
"14/6/2021 9:00",18.98
"14/6/2021 10:00",25.55
"14/6/2021 11:00",21.07
"14/6/2021 12:00",13.73
"14/6/2021 13:00",11.84
"14/6/2021 14:00",13.45
"14/6/2021 15:00",23.14
"14/6/2021 16:00",27.53
"14/6/2021 17:00",27.82
"14/6/2021 18:00",30.83
"14/6/2021 19:00",34.78
"14/6/2021 20:00",32.78
"14/6/2021 21:00",36.79
"14/6/2021 22:00",34.3
"14/6/2021 23:00",25.96
"15/6/2021 0:00",18.78
"15/6/2021 1:00",28.97
"15/6/2021 2:00",33.47
"15/6/2021 3:00",38.3
"15/6/2021 4:00",34.52
"15/6/2021 5:00",34.9
"15/6/2021 6:00",36.01
"15/6/2021 7:00",38.24
"15/6/2021 8:00",36.53
"15/6/2021 9:00",34.5
"15/6/2021 10:00",24.15
"15/6/2021 11:00",22.15
"15/6/2021 12:00",22.71
"15/6/2021 13:00",23.48
"15/6/2021 14:00",17.58
"15/6/2021 15:00",14.12
"15/6/2021 16:00",30.01
"15/6/2021 17:00",30.11
"15/6/2021 18:00",41.81
"15/6/2021 19:00",51.34
"15/6/2021 20:00",51.17
"15/6/2021 21:00",54.22
"15/6/2021 22:00",56.29
"15/6/2021 23:00",57.29
"16/6/2021 0:00",61.26
"16/6/2021 1:00",35.91
"16/6/2021 2:00",37.91
"16/6/2021 3:00",45.55
"16/6/2021 4:00",49.4
"16/6/2021 5:00",53.68
"16/6/2021 6:00",49.49
"16/6/2021 7:00",43.29
"16/6/2021 8:00",26.24
"16/6/2021 9:00",11.71
"16/6/2021 10:00",13.7
"16/6/2021 11:00",16.68
"16/6/2021 12:00",17.08
"16/6/2021 13:00",16.56
"16/6/2021 14:00",15.81
"16/6/2021 15:00",13.98
"16/6/2021 16:00",13.98
"16/6/2021 17:00",12.49
"16/6/2021 18:00",17.31
"16/6/2021 19:00",21.29
"16/6/2021 20:00",27.94
"16/6/2021 21:00",37.09
"16/6/2021 22:00",32.53
"16/6/2021 23:00",30.74
"17/6/2021 0:00",29.09
"17/6/2021 1:00",18.74
"17/6/2021 2:00",19.15
"17/6/2021 3:00",17.97
"17/6/2021 4:00",17.95
"17/6/2021 5:00",17.83
"17/6/2021 6:00",20.04
"17/6/2021 7:00",22.47
"17/6/2021 8:00",29.91
"17/6/2021 9:00",32.42
"17/6/2021 10:00",28.36
"17/6/2021 11:00",27.61
