"Category","PM<sub>2.5</sub> particulates"
"13/6/2021 10:00",9.67
"13/6/2021 11:00",8.89
"13/6/2021 12:00",9.09
"13/6/2021 13:00",9.49
"13/6/2021 14:00",9.55
"13/6/2021 15:00",9.75
"13/6/2021 16:00",9.98
"13/6/2021 17:00",10.17
"13/6/2021 18:00",10.31
"13/6/2021 19:00",10.33
"13/6/2021 20:00",9.58
"13/6/2021 21:00",9.01
"13/6/2021 22:00",8.83
"13/6/2021 23:00",8.74
"14/6/2021 0:00",9.33
"14/6/2021 1:00",9.26
"14/6/2021 2:00",9.54
"14/6/2021 3:00",10.01
"14/6/2021 4:00",10.12
"14/6/2021 5:00",10.34
"14/6/2021 6:00",10.08
"14/6/2021 7:00",9.51
"14/6/2021 8:00",9.03
"14/6/2021 9:00",8.34
"14/6/2021 10:00",8.46
"14/6/2021 11:00",8.25
"14/6/2021 12:00",7.96
"14/6/2021 13:00",7.07
"14/6/2021 14:00",6.3
"14/6/2021 15:00",6.82
"14/6/2021 16:00",7.1
"14/6/2021 17:00",7.09
"14/6/2021 18:00",7.31
"14/6/2021 19:00",8.77
"14/6/2021 20:00",8.4
"14/6/2021 21:00",8.39
"14/6/2021 22:00",7.94
"14/6/2021 23:00",6.85
"15/6/2021 0:00",6.06
"15/6/2021 1:00",6.01
"15/6/2021 2:00",6.26
"15/6/2021 3:00",6.61
"15/6/2021 4:00",7.13
"15/6/2021 5:00",7.24
"15/6/2021 6:00",7.42
"15/6/2021 7:00",7.69
"15/6/2021 8:00",7.95
"15/6/2021 9:00",8.25
"15/6/2021 10:00",7.65
"15/6/2021 11:00",8.48
"15/6/2021 12:00",10.34
"15/6/2021 13:00",10.99
"15/6/2021 14:00",11.47
"15/6/2021 15:00",9.36
"15/6/2021 16:00",8.4
"15/6/2021 17:00",7.53
"15/6/2021 18:00",7.15
"15/6/2021 19:00",8.1
"15/6/2021 20:00",8.71
"15/6/2021 21:00",7.74
"15/6/2021 22:00",8.21
"15/6/2021 23:00",8.83
"16/6/2021 0:00",9.69
"16/6/2021 1:00",8.38
"16/6/2021 2:00",9.06
"16/6/2021 3:00",8.96
"16/6/2021 4:00",9.13
"16/6/2021 5:00",9.38
"16/6/2021 6:00",10.46
