"Category","PM<sub>2.5</sub> particulates"
"29/9/2021 12:00",2.41
"29/9/2021 13:00",1.77
"29/9/2021 14:00",2.04
"29/9/2021 15:00",1.82
"29/9/2021 16:00",1.91
"29/9/2021 17:00",2.35
"29/9/2021 18:00",5.22
"29/9/2021 19:00",5.19
"29/9/2021 20:00",6.82
"29/9/2021 21:00",6.33
"29/9/2021 22:00",5.59
"29/9/2021 23:00",6.42
"30/9/2021 0:00",6.37
"30/9/2021 1:00",11.51
"30/9/2021 2:00",11.26
"30/9/2021 3:00",2.92
"30/9/2021 4:00",11.71
"30/9/2021 5:00",0
"30/9/2021 6:00",0.68
"30/9/2021 7:00",6.16
"30/9/2021 8:00",5.09
"30/9/2021 9:00",8.84
"30/9/2021 10:00",2.78
"30/9/2021 11:00",8.01
"30/9/2021 12:00",24.89
"30/9/2021 13:00",10.34
"30/9/2021 14:00",0
"30/9/2021 15:00",4.9
"30/9/2021 16:00",5.65
"30/9/2021 17:00",11.03
"30/9/2021 18:00",12.47
"30/9/2021 19:00",3.74
"30/9/2021 20:00",0.78
"30/9/2021 21:00",1.28
"30/9/2021 22:00",3.41
"30/9/2021 23:00",0
"1/10/2021 0:00",0
"1/10/2021 1:00",2.89
"1/10/2021 2:00",2.95
"1/10/2021 3:00",2.27
"1/10/2021 4:00",2.21
"1/10/2021 5:00",2.98
"1/10/2021 6:00",3.1
"1/10/2021 7:00",3.43
"1/10/2021 8:00",6.11
"1/10/2021 9:00",7.24
"1/10/2021 10:00",8.1
"1/10/2021 11:00",8.06
"1/10/2021 12:00",3.68
"1/10/2021 13:00",3.29
"1/10/2021 14:00",2.76
"1/10/2021 15:00",2.63
"1/10/2021 16:00",3.35
"1/10/2021 17:00",2.98
"1/10/2021 18:00",3.76
"1/10/2021 19:00",5.63
"1/10/2021 20:00",10.09
"1/10/2021 21:00",7.46
"1/10/2021 22:00",8.27
"1/10/2021 23:00",9.89
"2/10/2021 0:00",8.47
"2/10/2021 1:00",9.37
"2/10/2021 2:00",14.01
"2/10/2021 3:00",4.62
"2/10/2021 4:00",3.7
"2/10/2021 5:00",5.48
"2/10/2021 6:00",8.92
"2/10/2021 7:00",7.99
"2/10/2021 8:00",4.18
"2/10/2021 9:00",7.4
"2/10/2021 10:00",9.24
"2/10/2021 11:00",11.12
"2/10/2021 12:00",18.92
"2/10/2021 13:00",10.6
"2/10/2021 14:00",4.33
"2/10/2021 15:00",10.75
"2/10/2021 16:00",43.2
"2/10/2021 17:00",13.74
"2/10/2021 18:00",41.22
"2/10/2021 19:00",11.12
"2/10/2021 20:00",18.05
"2/10/2021 21:00",3.74
"2/10/2021 22:00",0
"2/10/2021 23:00",0
"3/10/2021 0:00",1.24
"3/10/2021 1:00",3.05
"3/10/2021 2:00",2.18
"3/10/2021 3:00",2.29
"3/10/2021 4:00",2.73
"3/10/2021 5:00",3.56
"3/10/2021 6:00",3.59
"3/10/2021 7:00",5.4
"3/10/2021 8:00",6.79
"3/10/2021 9:00",5.5
"3/10/2021 10:00",4.66
"3/10/2021 11:00",2.14
"3/10/2021 12:00",1.17
"3/10/2021 13:00",0.26
"3/10/2021 14:00",0.45
"3/10/2021 15:00",0.31
"3/10/2021 16:00",1.69
"3/10/2021 17:00",0.73
"3/10/2021 18:00",3.41
"3/10/2021 19:00",6.46
"3/10/2021 20:00",14.97
"3/10/2021 21:00",15.79
"3/10/2021 22:00",12.41
"3/10/2021 23:00",12.4
"4/10/2021 0:00",7.77
"4/10/2021 1:00",2.54
"4/10/2021 2:00",1.85
"4/10/2021 3:00",1.63
"4/10/2021 4:00",2.34
"4/10/2021 5:00",0.61
"4/10/2021 6:00",1.12
"4/10/2021 7:00",1.44
"4/10/2021 8:00",0.8
"4/10/2021 9:00",1.7
"4/10/2021 10:00",0.12
"4/10/2021 11:00",0
"4/10/2021 12:00",0
"4/10/2021 13:00",0
"4/10/2021 14:00",0.12
"4/10/2021 15:00",0.44
