"Category","PM<sub>2.5</sub> particulates"
"1/7/2021 9:00",6.9
"1/7/2021 10:00",9.59
"1/7/2021 11:00",9.39
"1/7/2021 12:00",8.12
"1/7/2021 13:00",7.12
"1/7/2021 14:00",7.27
"1/7/2021 15:00",7.77
"1/7/2021 16:00",7.12
"1/7/2021 17:00",6.88
"1/7/2021 18:00",6.85
"1/7/2021 19:00",7.74
"1/7/2021 20:00",7.04
"1/7/2021 21:00",8.2
"1/7/2021 22:00",8.2
"1/7/2021 23:00",7.52
"2/7/2021 0:00",7.25
"2/7/2021 1:00",12.53
"2/7/2021 2:00",13.41
"2/7/2021 3:00",15.2
"2/7/2021 4:00",16.71
"2/7/2021 5:00",17.42
"2/7/2021 6:00",18.66
"2/7/2021 7:00",19.13
"2/7/2021 8:00",17.61
"2/7/2021 9:00",17.66
"2/7/2021 10:00",17.83
"2/7/2021 11:00",17.46
"2/7/2021 12:00",15.41
"2/7/2021 13:00",15.06
"2/7/2021 14:00",12.27
"2/7/2021 15:00",9.44
"2/7/2021 16:00",8.86
"2/7/2021 17:00",9.05
"2/7/2021 18:00",9.13
"2/7/2021 19:00",10.45
"2/7/2021 20:00",14.13
"2/7/2021 21:00",13.06
"2/7/2021 22:00",11.44
"2/7/2021 23:00",12.87
"3/7/2021 0:00",13.1
"3/7/2021 1:00",14.66
"3/7/2021 2:00",13.43
"3/7/2021 3:00",10.92
"3/7/2021 4:00",10.22
"3/7/2021 5:00",13.1
"3/7/2021 6:00",12.39
"3/7/2021 7:00",14.67
"3/7/2021 8:00",22.79
"3/7/2021 9:00",23.27
"3/7/2021 10:00",19.77
"3/7/2021 11:00",17.35
"3/7/2021 12:00",18.76
"3/7/2021 13:00",13.04
"3/7/2021 14:00",10.74
"3/7/2021 15:00",8.96
"3/7/2021 16:00",7.6
"3/7/2021 17:00",5.91
"3/7/2021 18:00",6.05
"3/7/2021 19:00",6.41
"3/7/2021 20:00",6.91
"3/7/2021 21:00",5.43
"3/7/2021 22:00",5.12
"3/7/2021 23:00",6.4
"4/7/2021 0:00",8.87
"4/7/2021 1:00",7.3
"4/7/2021 2:00",7.69
"4/7/2021 3:00",8.08
"4/7/2021 4:00",7.67
