"Category","Nitrogen dioxide"
"26/2/2023 17:00",7.26
"26/2/2023 18:00",14.03
"26/2/2023 19:00",19.32
"26/2/2023 20:00",21.64
"26/2/2023 21:00",19.26
"26/2/2023 22:00",16.71
"26/2/2023 23:00",15.18
"27/2/2023 0:00",28.29
"27/2/2023 1:00",25.98
"27/2/2023 2:00",24.4
"27/2/2023 3:00",21.78
"27/2/2023 4:00",22.95
"27/2/2023 5:00",25.71
"27/2/2023 6:00",30.93
"27/2/2023 7:00",34.86
"27/2/2023 8:00",35.4
"27/2/2023 9:00",30.59
"27/2/2023 10:00",23.31
"27/2/2023 11:00",16.74
"27/2/2023 12:00",18.35
"27/2/2023 13:00",21.36
"27/2/2023 14:00",21.93
"27/2/2023 15:00",24.41
"27/2/2023 16:00",24.23
"27/2/2023 17:00",26.11
"27/2/2023 18:00",26.61
"27/2/2023 19:00",23.78
"27/2/2023 20:00",22.43
"27/2/2023 21:00",22.08
"27/2/2023 22:00",21
"27/2/2023 23:00",21.51
"28/2/2023 0:00",21.14
"28/2/2023 1:00",21.14
"28/2/2023 2:00",20.69
"28/2/2023 3:00",17.3
"28/2/2023 4:00",16.3
"28/2/2023 5:00",19.32
"28/2/2023 6:00",24.96
"28/2/2023 7:00",32.14
"28/2/2023 8:00",34.94
"28/2/2023 9:00",29.56
"28/2/2023 10:00",23.01
"28/2/2023 11:00",20.22
"28/2/2023 12:00",20.84
"28/2/2023 13:00",18.84
"28/2/2023 14:00",18.36
"28/2/2023 15:00",18.56
"28/2/2023 16:00",18.92
"28/2/2023 17:00",22.32
"28/2/2023 18:00",18.59
"28/2/2023 19:00",20.01
"28/2/2023 20:00",18.79
"28/2/2023 21:00",18.56
"28/2/2023 22:00",16.88
"28/2/2023 23:00",17.94
"1/3/2023 0:00",17.69
"1/3/2023 1:00",17.63
"1/3/2023 2:00",12.74
"1/3/2023 3:00",10.67
"1/3/2023 4:00",11.13
"1/3/2023 5:00",10.52
"1/3/2023 6:00",16.48
"1/3/2023 7:00",23.55
"1/3/2023 8:00",26.56
"1/3/2023 9:00",25.09
"1/3/2023 10:00",19.34
"1/3/2023 11:00",20.29
"1/3/2023 12:00",20.74
"1/3/2023 13:00",21.77
"1/3/2023 14:00",22.24
"1/3/2023 15:00",25.04
"1/3/2023 16:00",24.09
