"Category","PM<sub>2.5</sub> particulates"
"26/2/2023 17:00",4.68
"26/2/2023 18:00",5.52
"26/2/2023 19:00",7.18
"26/2/2023 20:00",8.87
"26/2/2023 21:00",6.81
"26/2/2023 22:00",6.19
"26/2/2023 23:00",5.53
"27/2/2023 0:00",6.21
"27/2/2023 1:00",5.77
"27/2/2023 2:00",5.8
"27/2/2023 3:00",6.67
"27/2/2023 4:00",6.96
"27/2/2023 5:00",6.5
"27/2/2023 6:00",6.47
"27/2/2023 7:00",6.48
"27/2/2023 8:00",6.52
"27/2/2023 9:00",6.87
"27/2/2023 10:00",5.57
"27/2/2023 11:00",5.06
"27/2/2023 12:00",4.52
"27/2/2023 13:00",4.74
"27/2/2023 14:00",5.5
"27/2/2023 15:00",5.69
"27/2/2023 16:00",5.16
"27/2/2023 17:00",5.42
"27/2/2023 18:00",6.01
"27/2/2023 19:00",5.31
"27/2/2023 20:00",4.88
"27/2/2023 21:00",5.91
"27/2/2023 22:00",7.5
"27/2/2023 23:00",6.61
"28/2/2023 0:00",4.83
"28/2/2023 1:00",5.36
"28/2/2023 2:00",5.26
"28/2/2023 3:00",5.5
"28/2/2023 4:00",7.11
"28/2/2023 5:00",9.23
"28/2/2023 6:00",9.34
"28/2/2023 7:00",10.23
"28/2/2023 8:00",8.86
"28/2/2023 9:00",5.29
"28/2/2023 10:00",3.67
"28/2/2023 11:00",4.21
"28/2/2023 12:00",4.95
"28/2/2023 13:00",3.99
"28/2/2023 14:00",3.82
"28/2/2023 15:00",3.42
"28/2/2023 16:00",3.53
"28/2/2023 17:00",3.61
"28/2/2023 18:00",3.54
"28/2/2023 19:00",4.49
"28/2/2023 20:00",4.56
"28/2/2023 21:00",5.51
"28/2/2023 22:00",5.59
"28/2/2023 23:00",5.92
"1/3/2023 0:00",5.69
"1/3/2023 1:00",5.55
"1/3/2023 2:00",4.38
"1/3/2023 3:00",3.84
"1/3/2023 4:00",3.68
"1/3/2023 5:00",3.77
"1/3/2023 6:00",3.88
"1/3/2023 7:00",3.87
"1/3/2023 8:00",4.17
"1/3/2023 9:00",3.32
"1/3/2023 10:00",2.8
"1/3/2023 11:00",3.53
"1/3/2023 12:00",4.11
"1/3/2023 13:00",3.28
"1/3/2023 14:00",3.34
"1/3/2023 15:00",3.58
"1/3/2023 16:00",3.53
"1/3/2023 17:00",3.72
"1/3/2023 18:00",3.92
"1/3/2023 19:00",5.87
"1/3/2023 20:00",6.61
"1/3/2023 21:00",5.42
