"Category","Nitrogen dioxide"
"23/6/2024 17:00",6.29
"23/6/2024 18:00",6.6
"23/6/2024 19:00",7.71
"23/6/2024 20:00",8.6
"23/6/2024 21:00",8.77
"23/6/2024 22:00",8.59
"23/6/2024 23:00",8.63
"24/6/2024 0:00",8.66
"24/6/2024 1:00",28.95
"24/6/2024 2:00",31.45
"24/6/2024 3:00",34.26
"24/6/2024 4:00",35.07
"24/6/2024 5:00",36.43
"24/6/2024 6:00",36.65
"24/6/2024 7:00",39.64
"24/6/2024 8:00",41.89
"24/6/2024 9:00",35.83
"24/6/2024 10:00",29.18
"24/6/2024 11:00",24.44
"24/6/2024 12:00",20.3
"24/6/2024 13:00",14.5
"24/6/2024 14:00",11.1
"24/6/2024 15:00",9.39
"24/6/2024 16:00",8.99
"24/6/2024 17:00",12.29
"24/6/2024 18:00",15.61
"24/6/2024 19:00",17.58
"24/6/2024 20:00",22.07
"24/6/2024 21:00",29.26
"24/6/2024 22:00",36.49
"24/6/2024 23:00",44.91
"25/6/2024 0:00",46.37
"25/6/2024 1:00",47.01
"25/6/2024 2:00",48.84
"25/6/2024 3:00",50.6
"25/6/2024 4:00",47.97
"25/6/2024 5:00",49.27
"25/6/2024 6:00",45.01
"25/6/2024 7:00",37.92
"25/6/2024 8:00",27.65
"25/6/2024 9:00",23.84
"25/6/2024 10:00",20.46
"25/6/2024 11:00",24.66
"25/6/2024 12:00",26.83
"25/6/2024 13:00",26.33
"25/6/2024 14:00",27.31
"25/6/2024 15:00",25.92
"25/6/2024 16:00",25.22
"25/6/2024 17:00",27.57
"25/6/2024 18:00",29.97
"25/6/2024 19:00",32.67
"25/6/2024 20:00",34.35
"25/6/2024 21:00",36.22
"25/6/2024 22:00",38.96
"25/6/2024 23:00",42.26
"26/6/2024 0:00",45.4
"26/6/2024 1:00",36.44
"26/6/2024 2:00",35.67
"26/6/2024 3:00",36.15
"26/6/2024 4:00",36.17
"26/6/2024 5:00",34.57
"26/6/2024 6:00",32.63
"26/6/2024 7:00",30.82
"26/6/2024 8:00",28.63
"26/6/2024 9:00",27.36
"26/6/2024 10:00",22.37
"26/6/2024 11:00",17.67
"26/6/2024 12:00",14.3
"26/6/2024 13:00",11.14
"26/6/2024 14:00",10.74
"26/6/2024 15:00",11.19
"26/6/2024 16:00",11.58
"26/6/2024 17:00",12.62
"26/6/2024 18:00",14.53
"26/6/2024 19:00",18.21
"26/6/2024 20:00",22.42
"26/6/2024 21:00",22.92
"26/6/2024 22:00",25.75
"26/6/2024 23:00",26.87
"27/6/2024 0:00",27.02
"27/6/2024 1:00",17.84
"27/6/2024 2:00",18.58
"27/6/2024 3:00",18.92
"27/6/2024 4:00",18.63
"27/6/2024 5:00",17.43
"27/6/2024 6:00",17.55
"27/6/2024 7:00",17.38
"27/6/2024 8:00",16.53
"27/6/2024 9:00",12.39
"27/6/2024 10:00",7.83
"27/6/2024 11:00",8.7
"27/6/2024 12:00",9.19
"27/6/2024 13:00",8.08
"27/6/2024 14:00",6.87
"27/6/2024 15:00",6.85
"27/6/2024 16:00",7.44
"27/6/2024 17:00",7.17
"27/6/2024 18:00",7.65
"27/6/2024 19:00",7.38
"27/6/2024 20:00",7.58
"27/6/2024 21:00",8.84
"27/6/2024 22:00",9
"27/6/2024 23:00",9.92
"28/6/2024 0:00",10.93
"28/6/2024 1:00",4.01
"28/6/2024 2:00",2.86
"28/6/2024 3:00",3.59
"28/6/2024 4:00",4.97
"28/6/2024 5:00",6.22
"28/6/2024 6:00",8.26
"28/6/2024 7:00",9.94
"28/6/2024 8:00",9.05
"28/6/2024 9:00",8.69
"28/6/2024 10:00",8.94
"28/6/2024 11:00",8.93
"28/6/2024 12:00",8.3
"28/6/2024 13:00",6.95
"28/6/2024 14:00",5.61
"28/6/2024 15:00",5.64
"28/6/2024 16:00",6.74
"28/6/2024 17:00",7.83
"28/6/2024 18:00",7.95
"28/6/2024 19:00",9
"28/6/2024 20:00",9.98
"28/6/2024 21:00",12.82
"28/6/2024 22:00",17.36
"28/6/2024 23:00",20.42
"29/6/2024 0:00",20.89
"29/6/2024 1:00",21.09
"29/6/2024 2:00",21.5
"29/6/2024 3:00",19.99
"29/6/2024 4:00",20.74
"29/6/2024 5:00",20.42
"29/6/2024 6:00",20.14
"29/6/2024 7:00",18.45
"29/6/2024 8:00",15.1
"29/6/2024 9:00",14.06
"29/6/2024 10:00",12.32
"29/6/2024 11:00",13.06
"29/6/2024 12:00",14.92
"29/6/2024 13:00",14.7
"29/6/2024 14:00",14.93
"29/6/2024 15:00",14.29
"29/6/2024 16:00",13.1
"29/6/2024 17:00",12.64
"29/6/2024 18:00",13.64
"29/6/2024 19:00",12.72
"29/6/2024 20:00",12.86
"29/6/2024 21:00",14.71
"29/6/2024 22:00",18.95
"29/6/2024 23:00",22.19
"30/6/2024 0:00",23.14
"30/6/2024 1:00",12.15
"30/6/2024 2:00",11.54
"30/6/2024 3:00",9.87
"30/6/2024 4:00",9.2
"30/6/2024 5:00",9.94
"30/6/2024 6:00",10.54
"30/6/2024 7:00",9.75
"30/6/2024 8:00",8.05
"30/6/2024 9:00",8.01
"30/6/2024 10:00",8.16
"30/6/2024 11:00",9.32
"30/6/2024 12:00",6.93
"30/6/2024 13:00",6.37
"30/6/2024 14:00",5
"30/6/2024 15:00",5.15
"30/6/2024 16:00",5.96
"30/6/2024 17:00",7.34
"30/6/2024 18:00",7.64
"30/6/2024 19:00",8.15
"30/6/2024 20:00",7.95
"30/6/2024 21:00",8.63
"30/6/2024 22:00",8.99
"30/6/2024 23:00",9.17
"1/7/2024 0:00",8.81
"1/7/2024 1:00",9.91
"1/7/2024 2:00",9.75
"1/7/2024 3:00",9.56
"1/7/2024 4:00",9.52
"1/7/2024 5:00",9.49
"1/7/2024 6:00",9.59
"1/7/2024 7:00",9.5
"1/7/2024 8:00",7.68
"1/7/2024 9:00",6.67
"1/7/2024 10:00",8.79
"1/7/2024 11:00",9.01
"1/7/2024 12:00",9.58
"1/7/2024 13:00",10.18
"1/7/2024 14:00",9.66
"1/7/2024 15:00",9.42
"1/7/2024 16:00",10.73
"1/7/2024 17:00",11.77
"1/7/2024 18:00",10.29
"1/7/2024 19:00",9.4
"1/7/2024 20:00",10.2
"1/7/2024 21:00",10.42
"1/7/2024 22:00",9.98
"1/7/2024 23:00",10.8
"2/7/2024 0:00",10.25
"2/7/2024 1:00",13.77
"2/7/2024 2:00",10.86
"2/7/2024 3:00",6.39
"2/7/2024 4:00",7.62
"2/7/2024 5:00",7.82
"2/7/2024 6:00",8.65
"2/7/2024 7:00",8.87
"2/7/2024 8:00",10.09
"2/7/2024 9:00",12.26
"2/7/2024 10:00",12.33
"2/7/2024 11:00",12.55
"2/7/2024 12:00",11.18
"2/7/2024 13:00",11.56
"2/7/2024 14:00",12.82
"2/7/2024 15:00",12.7
"2/7/2024 16:00",13.91
"2/7/2024 17:00",15.85
"2/7/2024 18:00",17.22
"2/7/2024 19:00",20.34
"2/7/2024 20:00",20.78
"2/7/2024 21:00",24.7
"2/7/2024 22:00",27.8
"2/7/2024 23:00",27.82
"3/7/2024 0:00",25.9
"3/7/2024 1:00",15.68
"3/7/2024 2:00",14.62
"3/7/2024 3:00",17.98
"3/7/2024 4:00",19.22
"3/7/2024 5:00",19.69
"3/7/2024 6:00",21.55
"3/7/2024 7:00",21.8
"3/7/2024 8:00",23.15
"3/7/2024 9:00",20.6
"3/7/2024 10:00",13.81
