"Category","PM<sub>2.5</sub> particulates"
"26/2/2023 17:00",4.6
"26/2/2023 18:00",5.06
"26/2/2023 19:00",6.37
"26/2/2023 20:00",7.88
"26/2/2023 21:00",6.25
"26/2/2023 22:00",5.68
"26/2/2023 23:00",5.45
"27/2/2023 0:00",6.13
"27/2/2023 1:00",5.77
"27/2/2023 2:00",6.25
"27/2/2023 3:00",6.15
"27/2/2023 4:00",6.51
"27/2/2023 5:00",6.05
"27/2/2023 6:00",6.31
"27/2/2023 7:00",6.32
"27/2/2023 8:00",6.18
"27/2/2023 9:00",6.35
"27/2/2023 10:00",5.81
"27/2/2023 11:00",5.3
"27/2/2023 12:00",4.77
"27/2/2023 13:00",5.01
"27/2/2023 14:00",5.48
"27/2/2023 15:00",5.73
"27/2/2023 16:00",5.34
"27/2/2023 17:00",5.65
"27/2/2023 18:00",6.13
"27/2/2023 19:00",5.44
"27/2/2023 20:00",4.94
"27/2/2023 21:00",5.4
"27/2/2023 22:00",7.77
"27/2/2023 23:00",6.36
"28/2/2023 0:00",4.72
"28/2/2023 1:00",5.24
"28/2/2023 2:00",4.97
"28/2/2023 3:00",5.15
"28/2/2023 4:00",6.71
"28/2/2023 5:00",8.48
"28/2/2023 6:00",9.02
"28/2/2023 7:00",9.73
"28/2/2023 8:00",8.84
"28/2/2023 9:00",4.87
"28/2/2023 10:00",3.71
"28/2/2023 11:00",4.44
"28/2/2023 12:00",4.93
"28/2/2023 13:00",4.22
"28/2/2023 14:00",3.86
"28/2/2023 15:00",3.44
"28/2/2023 16:00",3.41
"28/2/2023 17:00",3.81
"28/2/2023 18:00",4.08
"28/2/2023 19:00",4.47
"28/2/2023 20:00",4.25
"28/2/2023 21:00",5.24
"28/2/2023 22:00",5.47
"28/2/2023 23:00",5.94
"1/3/2023 0:00",6.01
"1/3/2023 1:00",5.82
"1/3/2023 2:00",4.53
"1/3/2023 3:00",3.86
"1/3/2023 4:00",3.88
"1/3/2023 5:00",3.84
"1/3/2023 6:00",4.06
"1/3/2023 7:00",3.83
"1/3/2023 8:00",4.52
"1/3/2023 9:00",3.66
"1/3/2023 10:00",3.23
"1/3/2023 11:00",3.57
"1/3/2023 12:00",4.49
"1/3/2023 13:00",3.44
"1/3/2023 14:00",3.45
"1/3/2023 15:00",3.56
"1/3/2023 16:00",3.67
"1/3/2023 17:00",3.85
"1/3/2023 18:00",4.02
"1/3/2023 19:00",6.21
"1/3/2023 20:00",6.27
"1/3/2023 21:00",5.5
"1/3/2023 22:00",4.47
"1/3/2023 23:00",4.48
"2/3/2023 0:00",6.44
"2/3/2023 1:00",8.07
"2/3/2023 2:00",9.18
"2/3/2023 3:00",11.27
"2/3/2023 4:00",13.63
"2/3/2023 5:00",16.13
"2/3/2023 6:00",17.65
"2/3/2023 7:00",19.33
"2/3/2023 8:00",20
"2/3/2023 9:00",20.73
"2/3/2023 10:00",18.3
"2/3/2023 11:00",16.86
"2/3/2023 12:00",15.13
"2/3/2023 13:00",11.61
"2/3/2023 14:00",9.15
"2/3/2023 15:00",7.32
"2/3/2023 16:00",6.56
"2/3/2023 17:00",6.1
"2/3/2023 18:00",6.41
"2/3/2023 19:00",6.61
