"Category","PM<sub>2.5</sub> particulates"
"8/10/2022 8:00",7.1
"8/10/2022 9:00",5.23
"8/10/2022 10:00",4.13
"8/10/2022 11:00",3.43
"8/10/2022 12:00",3.28
"8/10/2022 13:00",3.15
"8/10/2022 14:00",3.42
"8/10/2022 15:00",3.22
"8/10/2022 16:00",3.31
"8/10/2022 17:00",4.89
"8/10/2022 18:00",11.37
"8/10/2022 19:00",13.74
"8/10/2022 20:00",14.71
"8/10/2022 21:00",15.01
"8/10/2022 22:00",17.38
"8/10/2022 23:00",10.32
"9/10/2022 0:00",11.23
"9/10/2022 1:00",8.97
"9/10/2022 2:00",9.52
"9/10/2022 3:00",9.07
"9/10/2022 4:00",8.15
"9/10/2022 5:00",6.68
"9/10/2022 6:00",5.59
"9/10/2022 7:00",5.71
"9/10/2022 8:00",5.71
"9/10/2022 9:00",5.46
"9/10/2022 10:00",4.86
"9/10/2022 11:00",4.8
"9/10/2022 12:00",4.86
"9/10/2022 13:00",4.94
"9/10/2022 14:00",4.89
"9/10/2022 15:00",4.72
"9/10/2022 16:00",4.74
"9/10/2022 17:00",5.01
"9/10/2022 18:00",5.27
"9/10/2022 19:00",6.31
"9/10/2022 20:00",7.8
"9/10/2022 21:00",8.6
"9/10/2022 22:00",9.61
"9/10/2022 23:00",11.02
"10/10/2022 0:00",10.81
"10/10/2022 1:00",10.78
"10/10/2022 2:00",10
"10/10/2022 3:00",10.27
"10/10/2022 4:00",10.4
"10/10/2022 5:00",10.05
"10/10/2022 6:00",10.48
"10/10/2022 7:00",9.51
"10/10/2022 8:00",5.77
"10/10/2022 9:00",5.72
"10/10/2022 10:00",6
"10/10/2022 11:00",5.64
"10/10/2022 12:00",5.98
"10/10/2022 13:00",5.58
"10/10/2022 14:00",5.88
"10/10/2022 15:00",5.76
"10/10/2022 16:00",6.06
"10/10/2022 17:00",6.44
"10/10/2022 18:00",6.53
"10/10/2022 19:00",6.78
"10/10/2022 20:00",7.09
"10/10/2022 21:00",7.37
"10/10/2022 22:00",6.91
"10/10/2022 23:00",7.15
"11/10/2022 0:00",6.78
"11/10/2022 1:00",9.56
"11/10/2022 2:00",10.55
"11/10/2022 3:00",10.35
"11/10/2022 4:00",10.87
"11/10/2022 5:00",11.43
"11/10/2022 6:00",12.2
"11/10/2022 7:00",13.06
"11/10/2022 8:00",13.54
"11/10/2022 9:00",14.05
"11/10/2022 10:00",12.37
"11/10/2022 11:00",10.74
"11/10/2022 12:00",7.56
"11/10/2022 13:00",7.44
"11/10/2022 14:00",6.93
"11/10/2022 15:00",7.14
"11/10/2022 16:00",6.64
"11/10/2022 17:00",7.24
"11/10/2022 18:00",9.67
"11/10/2022 19:00",11.63
"11/10/2022 20:00",14.52
"11/10/2022 21:00",14.49
"11/10/2022 22:00",17.63
"11/10/2022 23:00",18.67
"12/10/2022 0:00",17.8
"12/10/2022 1:00",12.7
"12/10/2022 2:00",12.53
"12/10/2022 3:00",12.87
"12/10/2022 4:00",13.03
"12/10/2022 5:00",10.39
"12/10/2022 6:00",8.94
"12/10/2022 7:00",8.32
"12/10/2022 8:00",8.43
"12/10/2022 9:00",8.71
"12/10/2022 10:00",7.07
"12/10/2022 11:00",6.58
"12/10/2022 12:00",6.32
"12/10/2022 13:00",6.67
"12/10/2022 14:00",6.32
"12/10/2022 15:00",6.5
"12/10/2022 16:00",6.8
"12/10/2022 17:00",7.36
"12/10/2022 18:00",6.71
"12/10/2022 19:00",6.79
"12/10/2022 20:00",7.72
"12/10/2022 21:00",8.62
"12/10/2022 22:00",8.43
"12/10/2022 23:00",7.5
"13/10/2022 0:00",6.76
"13/10/2022 1:00",4.73
"13/10/2022 2:00",5.61
"13/10/2022 3:00",6.63
"13/10/2022 4:00",7.96
"13/10/2022 5:00",9.31
"13/10/2022 6:00",10.34
"13/10/2022 7:00",11.15
"13/10/2022 8:00",11.96
"13/10/2022 9:00",11.14
"13/10/2022 10:00",9.59
"13/10/2022 11:00",11.07
"13/10/2022 12:00",11.26
"13/10/2022 13:00",8.52
"13/10/2022 14:00",7.68
"13/10/2022 15:00",7.72
"13/10/2022 16:00",6.08
"13/10/2022 17:00",5.24
"13/10/2022 18:00",8
"13/10/2022 19:00",9.12
"13/10/2022 20:00",9.57
"13/10/2022 21:00",12.52
"13/10/2022 22:00",15.59
"13/10/2022 23:00",16.27
"14/10/2022 0:00",15.86
"14/10/2022 1:00",14.58
"14/10/2022 2:00",14.89
"14/10/2022 3:00",14.42
"14/10/2022 4:00",13.99
"14/10/2022 5:00",13.33
"14/10/2022 6:00",11.8
"14/10/2022 7:00",11.28
"14/10/2022 8:00",9.95
"14/10/2022 9:00",9.62
"14/10/2022 10:00",7.48
"14/10/2022 11:00",6.52
"14/10/2022 12:00",5.26
"14/10/2022 13:00",5.31
"14/10/2022 14:00",5.35
"14/10/2022 15:00",5.04
"14/10/2022 16:00",5.43
"14/10/2022 17:00",5.41
"14/10/2022 18:00",6
"14/10/2022 19:00",7.48
"14/10/2022 20:00",8.95
"14/10/2022 21:00",10.3
"14/10/2022 22:00",10.18
"14/10/2022 23:00",9.15
"15/10/2022 0:00",8.71
"15/10/2022 1:00",9.42
"15/10/2022 2:00",9.03
"15/10/2022 3:00",9.48
"15/10/2022 4:00",9.19
"15/10/2022 5:00",8.96
"15/10/2022 6:00",9.71
"15/10/2022 7:00",10.16
"15/10/2022 8:00",9.39
"15/10/2022 9:00",6.77
"15/10/2022 10:00",4.86
"15/10/2022 11:00",4.69
"15/10/2022 12:00",4.61
"15/10/2022 13:00",4.68
"15/10/2022 14:00",4.91
"15/10/2022 15:00",5.1
"15/10/2022 16:00",4.79
"15/10/2022 17:00",5.03
"15/10/2022 18:00",5.38
"15/10/2022 19:00",5.63
"15/10/2022 20:00",5.25
"15/10/2022 21:00",5.4
"15/10/2022 22:00",5.5
"15/10/2022 23:00",5.32
"16/10/2022 0:00",5.29
"16/10/2022 1:00",6.35
"16/10/2022 2:00",6.35
"16/10/2022 3:00",6.23
"16/10/2022 4:00",6.21
"16/10/2022 5:00",6.22
