"Category","PM<sub>2.5</sub> particulates"
"4/7/2024 16:00",4.26
"4/7/2024 17:00",4.42
"4/7/2024 18:00",4.61
"4/7/2024 19:00",4.51
"4/7/2024 20:00",4.45
"4/7/2024 21:00",4.54
"4/7/2024 22:00",4.66
"4/7/2024 23:00",4.87
"5/7/2024 0:00",4.79
"5/7/2024 1:00",3.9
"5/7/2024 2:00",3.4
"5/7/2024 3:00",3.63
"5/7/2024 4:00",4.02
"5/7/2024 5:00",5.11
"5/7/2024 6:00",7.51
"5/7/2024 7:00",7.66
"5/7/2024 8:00",5.99
"5/7/2024 9:00",3.39
"5/7/2024 10:00",3.8
"5/7/2024 11:00",4.51
"5/7/2024 12:00",4.64
"5/7/2024 13:00",5.57
"5/7/2024 14:00",6.36
"5/7/2024 15:00",8.89
"5/7/2024 16:00",8.63
"5/7/2024 17:00",6.17
"5/7/2024 18:00",7.25
"5/7/2024 19:00",6.65
"5/7/2024 20:00",7.29
"5/7/2024 21:00",5.62
"5/7/2024 22:00",4.05
"5/7/2024 23:00",2.92
"6/7/2024 0:00",2.75
"6/7/2024 1:00",3.44
"6/7/2024 2:00",4.4
"6/7/2024 3:00",4.42
"6/7/2024 4:00",5.33
"6/7/2024 5:00",4.42
"6/7/2024 6:00",3.05
"6/7/2024 7:00",5.74
"6/7/2024 8:00",9.37
"6/7/2024 9:00",3.08
"6/7/2024 10:00",2.7
"6/7/2024 11:00",3.49
"6/7/2024 12:00",4.72
"6/7/2024 13:00",4.16
"6/7/2024 14:00",3.07
"6/7/2024 15:00",2.64
"6/7/2024 16:00",2.77
"6/7/2024 17:00",2.89
"6/7/2024 18:00",2.96
"6/7/2024 19:00",3.15
"6/7/2024 20:00",3.32
"6/7/2024 21:00",3.33
"6/7/2024 22:00",4
"6/7/2024 23:00",5.03
"7/7/2024 0:00",4.71
"7/7/2024 1:00",6.21
"7/7/2024 2:00",6.28
"7/7/2024 3:00",6.6
"7/7/2024 4:00",12.19
"7/7/2024 5:00",8.94
"7/7/2024 6:00",7.19
"7/7/2024 7:00",6.79
"7/7/2024 8:00",5.78
"7/7/2024 9:00",5.9
"7/7/2024 10:00",6.05
"7/7/2024 11:00",5.31
"7/7/2024 12:00",5.88
"7/7/2024 13:00",5.17
"7/7/2024 14:00",6.94
"7/7/2024 15:00",7.33
"7/7/2024 16:00",6.16
"7/7/2024 17:00",6.67
"7/7/2024 18:00",5.39
"7/7/2024 19:00",5.63
"7/7/2024 20:00",6.82
"7/7/2024 21:00",8.23
"7/7/2024 22:00",6.92
"7/7/2024 23:00",6.3
"8/7/2024 0:00",6.08
"8/7/2024 1:00",3.73
"8/7/2024 2:00",3.73
"8/7/2024 3:00",3.75
"8/7/2024 4:00",3.92
"8/7/2024 5:00",3.98
"8/7/2024 6:00",3.96
"8/7/2024 7:00",3.61
"8/7/2024 8:00",3.58
"8/7/2024 9:00",3.33
"8/7/2024 10:00",3.24
"8/7/2024 11:00",3.32
"8/7/2024 12:00",3.44
"8/7/2024 13:00",3.92
"8/7/2024 14:00",4.1
"8/7/2024 15:00",3.91
"8/7/2024 16:00",3.97
"8/7/2024 17:00",3.66
"8/7/2024 18:00",3.57
"8/7/2024 19:00",4.02
"8/7/2024 20:00",4.22
