"Category","Nitrogen dioxide"
"12/6/2021 10:00",28.6
"12/6/2021 11:00",28.02
"12/6/2021 12:00",28.19
"12/6/2021 13:00",23.65
"12/6/2021 14:00",19.12
"12/6/2021 15:00",14.65
"12/6/2021 16:00",10.54
"12/6/2021 17:00",7.38
"12/6/2021 18:00",7.66
"12/6/2021 19:00",10.15
"12/6/2021 20:00",12.36
"12/6/2021 21:00",20.36
"12/6/2021 22:00",32.94
"12/6/2021 23:00",42.03
"13/6/2021 0:00",40.68
"13/6/2021 1:00",28.91
"13/6/2021 2:00",27.84
"13/6/2021 3:00",27.46
"13/6/2021 4:00",27.76
"13/6/2021 5:00",29.11
"13/6/2021 6:00",27.13
"13/6/2021 7:00",22.66
"13/6/2021 8:00",21.34
"13/6/2021 9:00",20.73
"13/6/2021 10:00",18.21
"13/6/2021 11:00",16.43
"13/6/2021 12:00",14.62
"13/6/2021 13:00",12.19
"13/6/2021 14:00",9.23
"13/6/2021 15:00",8.67
"13/6/2021 16:00",8.68
"13/6/2021 17:00",8.55
"13/6/2021 18:00",8.41
"13/6/2021 19:00",8.43
"13/6/2021 20:00",10.06
"13/6/2021 21:00",12.85
"13/6/2021 22:00",15.85
"13/6/2021 23:00",19.09
"14/6/2021 0:00",22.17
"14/6/2021 1:00",13.17
"14/6/2021 2:00",11.86
"14/6/2021 3:00",12.58
"14/6/2021 4:00",12.35
"14/6/2021 5:00",12.7
"14/6/2021 6:00",12.59
"14/6/2021 7:00",12.52
"14/6/2021 8:00",10.79
"14/6/2021 9:00",9.39
"14/6/2021 10:00",10.56
"14/6/2021 11:00",11.11
"14/6/2021 12:00",12.48
"14/6/2021 13:00",14.38
"14/6/2021 14:00",13.37
"14/6/2021 15:00",13.05
"14/6/2021 16:00",12.8
"14/6/2021 17:00",13.57
"14/6/2021 18:00",13.3
"14/6/2021 19:00",13.61
"14/6/2021 20:00",12.83
"14/6/2021 21:00",12.27
"14/6/2021 22:00",12.92
"14/6/2021 23:00",12.14
"15/6/2021 0:00",11.09
"15/6/2021 1:00",7.61
"15/6/2021 2:00",8.9
"15/6/2021 3:00",10.12
"15/6/2021 4:00",9.04
"15/6/2021 5:00",8.76
"15/6/2021 6:00",9.56
"15/6/2021 7:00",10.84
"15/6/2021 8:00",12.44
"15/6/2021 9:00",13.54
"15/6/2021 10:00",15.28
"15/6/2021 11:00",14.36
"15/6/2021 12:00",12.52
"15/6/2021 13:00",
"15/6/2021 14:00",
"15/6/2021 15:00",
"15/6/2021 16:00",
"15/6/2021 17:00",
"15/6/2021 18:00",
"15/6/2021 19:00",
"15/6/2021 20:00",
"15/6/2021 21:00",
"15/6/2021 22:00",
"15/6/2021 23:00",
"16/6/2021 0:00",
"16/6/2021 1:00",
"16/6/2021 2:00",
"16/6/2021 3:00",
"16/6/2021 4:00",
"16/6/2021 5:00",
"16/6/2021 6:00",
"16/6/2021 7:00",
"16/6/2021 8:00",
"16/6/2021 9:00",
"16/6/2021 10:00",
"16/6/2021 11:00",
"16/6/2021 12:00",
"16/6/2021 13:00",
"16/6/2021 14:00",
"16/6/2021 15:00",
"16/6/2021 16:00",
"16/6/2021 17:00",
"16/6/2021 18:00",
"16/6/2021 19:00",
"16/6/2021 20:00",
"16/6/2021 21:00",
"16/6/2021 22:00",
"16/6/2021 23:00",
"17/6/2021 0:00",
"17/6/2021 1:00",
"17/6/2021 2:00",
"17/6/2021 3:00",
"17/6/2021 4:00",
"17/6/2021 5:00",
"17/6/2021 6:00",
"17/6/2021 7:00",
"17/6/2021 8:00",
"17/6/2021 9:00",
"17/6/2021 10:00",
"17/6/2021 11:00",
"17/6/2021 12:00",15.37
"17/6/2021 13:00",15.88
"17/6/2021 14:00",15.5
"17/6/2021 15:00",14.54
"17/6/2021 16:00",18.6
"17/6/2021 17:00",20.48
"17/6/2021 18:00",23.61
"17/6/2021 19:00",27.56
"17/6/2021 20:00",23.65
"17/6/2021 21:00",16.6
"17/6/2021 22:00",11.73
"17/6/2021 23:00",11.36
"18/6/2021 0:00",9.83
"18/6/2021 1:00",23.76
"18/6/2021 2:00",17.79
"18/6/2021 3:00",16.45
"18/6/2021 4:00",17.45
"18/6/2021 5:00",15.49
"18/6/2021 6:00",22.04
"18/6/2021 7:00",26.89
"18/6/2021 8:00",37.86
"18/6/2021 9:00",36.88
"18/6/2021 10:00",34.12
"18/6/2021 11:00",30.3
"18/6/2021 12:00",33.85
"18/6/2021 13:00",31.47
"18/6/2021 14:00",38.41
"18/6/2021 15:00",21.03
"18/6/2021 16:00",17.15
"18/6/2021 17:00",17.8
"18/6/2021 18:00",20.81
"18/6/2021 19:00",20.7
"18/6/2021 20:00",23.67
"18/6/2021 21:00",19.3
"18/6/2021 22:00",17.27
"18/6/2021 23:00",12.44
"19/6/2021 0:00",10.03
"19/6/2021 1:00",5.88
"19/6/2021 2:00",6.39
"19/6/2021 3:00",6.54
"19/6/2021 4:00",6.97
"19/6/2021 5:00",7.43
"19/6/2021 6:00",9.62
"19/6/2021 7:00",11.76
"19/6/2021 8:00",12.11
"19/6/2021 9:00",12.77
"19/6/2021 10:00",12.47
"19/6/2021 11:00",11.49
"19/6/2021 12:00",11.03
