"Category","PM<sub>2.5</sub> particulates"
"23/6/2024 17:00",3.67
"23/6/2024 18:00",3.66
"23/6/2024 19:00",3.98
"23/6/2024 20:00",4.24
"23/6/2024 21:00",4.82
"23/6/2024 22:00",5.73
"23/6/2024 23:00",6.91
"24/6/2024 0:00",7.04
"24/6/2024 1:00",6.56
"24/6/2024 2:00",7.01
"24/6/2024 3:00",7.14
"24/6/2024 4:00",7.45
"24/6/2024 5:00",7.08
"24/6/2024 6:00",7.24
"24/6/2024 7:00",6.54
"24/6/2024 8:00",5.95
"24/6/2024 9:00",5.44
"24/6/2024 10:00",5.61
"24/6/2024 11:00",5.65
"24/6/2024 12:00",5.62
"24/6/2024 13:00",5.46
"24/6/2024 14:00",5.67
"24/6/2024 15:00",5.59
"24/6/2024 16:00",5.53
"24/6/2024 17:00",5.45
"24/6/2024 18:00",5.33
"24/6/2024 19:00",5.66
"24/6/2024 20:00",5.37
"24/6/2024 21:00",4.97
"24/6/2024 22:00",4.91
"24/6/2024 23:00",5.04
"25/6/2024 0:00",5.25
"25/6/2024 1:00",7.41
"25/6/2024 2:00",7.83
"25/6/2024 3:00",8.49
"25/6/2024 4:00",9.07
"25/6/2024 5:00",8.95
"25/6/2024 6:00",8.88
"25/6/2024 7:00",7.82
"25/6/2024 8:00",7.09
"25/6/2024 9:00",7.17
"25/6/2024 10:00",7.35
"25/6/2024 11:00",7.39
"25/6/2024 12:00",7.87
"25/6/2024 13:00",8.22
"25/6/2024 14:00",8.85
"25/6/2024 15:00",8.66
"25/6/2024 16:00",8.11
"25/6/2024 17:00",7.92
"25/6/2024 18:00",7.88
"25/6/2024 19:00",7.52
"25/6/2024 20:00",7.49
"25/6/2024 21:00",7.66
"25/6/2024 22:00",8.48
"25/6/2024 23:00",9.47
"26/6/2024 0:00",9.98
"26/6/2024 1:00",12.61
"26/6/2024 2:00",14.52
"26/6/2024 3:00",16.41
"26/6/2024 4:00",16.77
"26/6/2024 5:00",15.03
"26/6/2024 6:00",12.75
"26/6/2024 7:00",11.5
"26/6/2024 8:00",9.5
"26/6/2024 9:00",8.53
"26/6/2024 10:00",7.91
"26/6/2024 11:00",9.03
"26/6/2024 12:00",10.55
"26/6/2024 13:00",11.24
"26/6/2024 14:00",11.02
"26/6/2024 15:00",11.1
"26/6/2024 16:00",10.41
"26/6/2024 17:00",10.19
"26/6/2024 18:00",9.92
"26/6/2024 19:00",9.69
"26/6/2024 20:00",10.7
"26/6/2024 21:00",11.89
"26/6/2024 22:00",12.76
"26/6/2024 23:00",13.15
"27/6/2024 0:00",12.87
"27/6/2024 1:00",12.58
"27/6/2024 2:00",13.42
"27/6/2024 3:00",14.28
"27/6/2024 4:00",14.86
"27/6/2024 5:00",15.34
"27/6/2024 6:00",15.37
"27/6/2024 7:00",15.44
"27/6/2024 8:00",14.74
"27/6/2024 9:00",10.74
"27/6/2024 10:00",7.74
"27/6/2024 11:00",6.33
"27/6/2024 12:00",5.62
"27/6/2024 13:00",5.51
"27/6/2024 14:00",5.38
"27/6/2024 15:00",5.42
"27/6/2024 16:00",5.57
"27/6/2024 17:00",5.29
"27/6/2024 18:00",5.28
"27/6/2024 19:00",5.1
"27/6/2024 20:00",4.77
"27/6/2024 21:00",4.76
"27/6/2024 22:00",4.92
"27/6/2024 23:00",5.16
"28/6/2024 0:00",5.29
"28/6/2024 1:00",6.89
"28/6/2024 2:00",6.92
"28/6/2024 3:00",7.15
"28/6/2024 4:00",7.08
"28/6/2024 5:00",7.05
"28/6/2024 6:00",7.25
"28/6/2024 7:00",6.64
"28/6/2024 8:00",6.3
"28/6/2024 9:00",6.12
"28/6/2024 10:00",6.46
"28/6/2024 11:00",6.86
"28/6/2024 12:00",6.57
"28/6/2024 13:00",5.74
"28/6/2024 14:00",6.42
"28/6/2024 15:00",6.07
"28/6/2024 16:00",6.61
"28/6/2024 17:00",5.73
"28/6/2024 18:00",5.55
"28/6/2024 19:00",5.77
"28/6/2024 20:00",6.2
"28/6/2024 21:00",6.38
"28/6/2024 22:00",7.98
"28/6/2024 23:00",8.63
"29/6/2024 0:00",9.35
"29/6/2024 1:00",7.05
"29/6/2024 2:00",7.03
"29/6/2024 3:00",6.6
"29/6/2024 4:00",6.62
"29/6/2024 5:00",6.78
"29/6/2024 6:00",7.06
"29/6/2024 7:00",6.8
"29/6/2024 8:00",6.37
