"Category","Nitrogen dioxide"
"11/7/2021 11:00",9.29
"11/7/2021 12:00",7.76
"11/7/2021 13:00",7.39
"11/7/2021 14:00",9.13
"11/7/2021 15:00",8.52
"11/7/2021 16:00",9.43
"11/7/2021 17:00",9.99
"11/7/2021 18:00",12.92
"11/7/2021 19:00",13.28
"11/7/2021 20:00",13.02
"11/7/2021 21:00",10.82
"11/7/2021 22:00",12.27
"11/7/2021 23:00",13.96
"12/7/2021 0:00",16.04
"12/7/2021 1:00",33.65
"12/7/2021 2:00",29.65
"12/7/2021 3:00",26.05
"12/7/2021 4:00",24.88
"12/7/2021 5:00",29.98
"12/7/2021 6:00",30.48
"12/7/2021 7:00",32.89
"12/7/2021 8:00",33.71
"12/7/2021 9:00",30.99
"12/7/2021 10:00",25.19
"12/7/2021 11:00",26.25
"12/7/2021 12:00",16.41
"12/7/2021 13:00",12.67
"12/7/2021 14:00",15.99
"12/7/2021 15:00",25.88
"12/7/2021 16:00",35.54
"12/7/2021 17:00",40.01
"12/7/2021 18:00",36.85
"12/7/2021 19:00",40.72
"12/7/2021 20:00",37.02
"12/7/2021 21:00",33.05
"12/7/2021 22:00",33.59
"12/7/2021 23:00",33.33
"13/7/2021 0:00",35.59
"13/7/2021 1:00",18.71
"13/7/2021 2:00",18.81
"13/7/2021 3:00",18.79
"13/7/2021 4:00",18.79
"13/7/2021 5:00",19.57
"13/7/2021 6:00",18.77
"13/7/2021 7:00",17.63
"13/7/2021 8:00",16.53
"13/7/2021 9:00",15.56
"13/7/2021 10:00",14.49
"13/7/2021 11:00",13.75
"13/7/2021 12:00",12.45
"13/7/2021 13:00",11.97
"13/7/2021 14:00",11.37
"13/7/2021 15:00",10
"13/7/2021 16:00",9.6
"13/7/2021 17:00",9.92
"13/7/2021 18:00",10.01
"13/7/2021 19:00",9.97
"13/7/2021 20:00",10.28
"13/7/2021 21:00",10.82
"13/7/2021 22:00",11.5
"13/7/2021 23:00",11.23
"14/7/2021 0:00",12.43
"14/7/2021 1:00",15.62
"14/7/2021 2:00",14.89
"14/7/2021 3:00",13.89
"14/7/2021 4:00",13.85
"14/7/2021 5:00",13.73
"14/7/2021 6:00",14.09
"14/7/2021 7:00",14.51
"14/7/2021 8:00",14.56
"14/7/2021 9:00",14.32
"14/7/2021 10:00",15.1
"14/7/2021 11:00",14.82
"14/7/2021 12:00",11.98
"14/7/2021 13:00",11.49
"14/7/2021 14:00",11.33
"14/7/2021 15:00",11.02
"14/7/2021 16:00",11.75
"14/7/2021 17:00",12.24
"14/7/2021 18:00",12.2
"14/7/2021 19:00",13.17
"14/7/2021 20:00",12.64
"14/7/2021 21:00",14.21
"14/7/2021 22:00",14.77
"14/7/2021 23:00",14.7
"15/7/2021 0:00",14.57
"15/7/2021 1:00",10.66
"15/7/2021 2:00",9.56
"15/7/2021 3:00",12.8
"15/7/2021 4:00",14.63
"15/7/2021 5:00",16.94
"15/7/2021 6:00",17.12
"15/7/2021 7:00",17.47
"15/7/2021 8:00",13.95
"15/7/2021 9:00",12.36
"15/7/2021 10:00",13.74
"15/7/2021 11:00",16.22
"15/7/2021 12:00",15.54
"15/7/2021 13:00",11.45
"15/7/2021 14:00",12.14
"15/7/2021 15:00",14.26
"15/7/2021 16:00",16.53
"15/7/2021 17:00",18.55
"15/7/2021 18:00",15.88
"15/7/2021 19:00",15.64
"15/7/2021 20:00",16.13
"15/7/2021 21:00",15.51
