"Category","PM<sub>2.5</sub> particulates"
"11/7/2021 11:00",7.16
"11/7/2021 12:00",7.23
"11/7/2021 13:00",7.14
"11/7/2021 14:00",6.01
"11/7/2021 15:00",5.95
"11/7/2021 16:00",5.69
"11/7/2021 17:00",5.93
"11/7/2021 18:00",6.18
"11/7/2021 19:00",7.45
"11/7/2021 20:00",9.24
"11/7/2021 21:00",8.64
"11/7/2021 22:00",9.75
"11/7/2021 23:00",9.68
"12/7/2021 0:00",10.21
"12/7/2021 1:00",9.5
"12/7/2021 2:00",10.05
"12/7/2021 3:00",8.6
"12/7/2021 4:00",7.55
"12/7/2021 5:00",7.26
"12/7/2021 6:00",6.72
"12/7/2021 7:00",6.68
"12/7/2021 8:00",6.52
"12/7/2021 9:00",6.87
"12/7/2021 10:00",7.06
"12/7/2021 11:00",7.41
"12/7/2021 12:00",7.89
"12/7/2021 13:00",7.57
"12/7/2021 14:00",7.39
"12/7/2021 15:00",7.62
"12/7/2021 16:00",8.45
"12/7/2021 17:00",9.45
"12/7/2021 18:00",10.7
"12/7/2021 19:00",11.12
"12/7/2021 20:00",10.79
"12/7/2021 21:00",9.26
"12/7/2021 22:00",9.92
"12/7/2021 23:00",10.31
"13/7/2021 0:00",11.03
"13/7/2021 1:00",14.65
"13/7/2021 2:00",16.8
"13/7/2021 3:00",18.67
"13/7/2021 4:00",19.32
"13/7/2021 5:00",19.08
"13/7/2021 6:00",18.97
"13/7/2021 7:00",21.43
"13/7/2021 8:00",19.53
"13/7/2021 9:00",16.84
"13/7/2021 10:00",16.4
"13/7/2021 11:00",14.07
"13/7/2021 12:00",9.72
"13/7/2021 13:00",7.22
"13/7/2021 14:00",7.15
"13/7/2021 15:00",8.43
"13/7/2021 16:00",7.33
"13/7/2021 17:00",5.66
"13/7/2021 18:00",6.6
"13/7/2021 19:00",7.89
"13/7/2021 20:00",8.83
"13/7/2021 21:00",7.3
"13/7/2021 22:00",7.36
"13/7/2021 23:00",7.19
"14/7/2021 0:00",8.34
"14/7/2021 1:00",6.87
"14/7/2021 2:00",7.72
"14/7/2021 3:00",7.6
"14/7/2021 4:00",7.91
"14/7/2021 5:00",8.99
"14/7/2021 6:00",8.42
"14/7/2021 7:00",7.69
"14/7/2021 8:00",8.35
"14/7/2021 9:00",8.1
"14/7/2021 10:00",7.86
"14/7/2021 11:00",7.43
"14/7/2021 12:00",6.5
"14/7/2021 13:00",6.17
"14/7/2021 14:00",5.83
"14/7/2021 15:00",5.78
"14/7/2021 16:00",5.79
"14/7/2021 17:00",5.92
"14/7/2021 18:00",6.14
"14/7/2021 19:00",5.85
"14/7/2021 20:00",4.92
"14/7/2021 21:00",5.07
"14/7/2021 22:00",5.49
"14/7/2021 23:00",5.95
"15/7/2021 0:00",5.73
"15/7/2021 1:00",7.25
"15/7/2021 2:00",7.28
"15/7/2021 3:00",7.71
"15/7/2021 4:00",8.02
"15/7/2021 5:00",8.19
"15/7/2021 6:00",7.79
"15/7/2021 7:00",7.14
"15/7/2021 8:00",6.37
"15/7/2021 9:00",6.26
"15/7/2021 10:00",6.69
"15/7/2021 11:00",7.6
"15/7/2021 12:00",8.36
"15/7/2021 13:00",7.89
"15/7/2021 14:00",7.19
"15/7/2021 15:00",8.43
"15/7/2021 16:00",7.7
"15/7/2021 17:00",7.09
"15/7/2021 18:00",7.07
"15/7/2021 19:00",7.94
"15/7/2021 20:00",7.54
"15/7/2021 21:00",8.36
"15/7/2021 22:00",9.4
"15/7/2021 23:00",9.01
"16/7/2021 0:00",9.22
"16/7/2021 1:00",17.97
"16/7/2021 2:00",20.04
"16/7/2021 3:00",20.93
"16/7/2021 4:00",21.72
"16/7/2021 5:00",23.24
"16/7/2021 6:00",24.59
"16/7/2021 7:00",22.18
"16/7/2021 8:00",18.7
"16/7/2021 9:00",16.96
"16/7/2021 10:00",13.39
"16/7/2021 11:00",8.39
"16/7/2021 12:00",6.88
"16/7/2021 13:00",6.85
"16/7/2021 14:00",6.57
"16/7/2021 15:00",6.23
"16/7/2021 16:00",6.6
"16/7/2021 17:00",4.35
"16/7/2021 18:00",8.58
"16/7/2021 19:00",7.69
"16/7/2021 20:00",10.26
"16/7/2021 21:00",12.7
"16/7/2021 22:00",9.95
"16/7/2021 23:00",10.34
"17/7/2021 0:00",7.11
"17/7/2021 1:00",6.56
"17/7/2021 2:00",6.69
"17/7/2021 3:00",6.6
"17/7/2021 4:00",7.35
"17/7/2021 5:00",7.48
"17/7/2021 6:00",7.87
"17/7/2021 7:00",7.46
"17/7/2021 8:00",6.69
"17/7/2021 9:00",6.64
"17/7/2021 10:00",6.61
"17/7/2021 11:00",6.35
"17/7/2021 12:00",6.23
"17/7/2021 13:00",6.69
"17/7/2021 14:00",7.53
"17/7/2021 15:00",8.02
"17/7/2021 16:00",5.69
"17/7/2021 17:00",6.62
"17/7/2021 18:00",6.68
"17/7/2021 19:00",7.95
"17/7/2021 20:00",10.24
"17/7/2021 21:00",11.69
"17/7/2021 22:00",10.22
"17/7/2021 23:00",8.82
"18/7/2021 0:00",8.17
"18/7/2021 1:00",8.27
"18/7/2021 2:00",9.36
"18/7/2021 3:00",10.74
"18/7/2021 4:00",11.81
"18/7/2021 5:00",12.59
"18/7/2021 6:00",13
"18/7/2021 7:00",13.25
"18/7/2021 8:00",11.21
"18/7/2021 9:00",9.92
"18/7/2021 10:00",9.73
"18/7/2021 11:00",10
"18/7/2021 12:00",10.96
"18/7/2021 13:00",11.12
"18/7/2021 14:00",12.33
"18/7/2021 15:00",11.61
"18/7/2021 16:00",12.18
"18/7/2021 17:00",11.67
"18/7/2021 18:00",11.07
"18/7/2021 19:00",11.79
"18/7/2021 20:00",12.14
"18/7/2021 21:00",14.64
"18/7/2021 22:00",12.93
"18/7/2021 23:00",13.46
"19/7/2021 0:00",13.31
"19/7/2021 1:00",12.41
"19/7/2021 2:00",11.62
"19/7/2021 3:00",10.96
"19/7/2021 4:00",12.19
"19/7/2021 5:00",12.74
"19/7/2021 6:00",12.31
"19/7/2021 7:00",12.97
"19/7/2021 8:00",15.47
"19/7/2021 9:00",18.11
"19/7/2021 10:00",19.77
"19/7/2021 11:00",18.7
"19/7/2021 12:00",17.22
"19/7/2021 13:00",14.94
"19/7/2021 14:00",13.33
"19/7/2021 15:00",11.9
"19/7/2021 16:00",10.13
"19/7/2021 17:00",14.37
"19/7/2021 18:00",11.83
"19/7/2021 19:00",14.37
"19/7/2021 20:00",13.93
"19/7/2021 21:00",15.3
"19/7/2021 22:00",13.42
