"Category","PM<sub>2.5</sub> particulates"
"23/6/2024 17:00",3.53
"23/6/2024 18:00",3.62
"23/6/2024 19:00",3.51
"23/6/2024 20:00",3.72
"23/6/2024 21:00",4.41
"23/6/2024 22:00",5.43
"23/6/2024 23:00",5.95
"24/6/2024 0:00",6.53
"24/6/2024 1:00",6.32
"24/6/2024 2:00",7.09
"24/6/2024 3:00",8.11
"24/6/2024 4:00",7.12
"24/6/2024 5:00",6.79
"24/6/2024 6:00",6.81
"24/6/2024 7:00",6.81
"24/6/2024 8:00",6.02
"24/6/2024 9:00",5.74
"24/6/2024 10:00",5.71
"24/6/2024 11:00",5.49
"24/6/2024 12:00",5.31
"24/6/2024 13:00",5.42
"24/6/2024 14:00",5.51
"24/6/2024 15:00",5.55
"24/6/2024 16:00",5.47
"24/6/2024 17:00",5.37
"24/6/2024 18:00",5.41
"24/6/2024 19:00",5.35
"24/6/2024 20:00",5.11
"24/6/2024 21:00",4.81
"24/6/2024 22:00",4.81
"24/6/2024 23:00",4.68
"25/6/2024 0:00",4.97
"25/6/2024 1:00",7.01
"25/6/2024 2:00",7.66
"25/6/2024 3:00",8.26
"25/6/2024 4:00",8.27
"25/6/2024 5:00",9.8
"25/6/2024 6:00",8.63
"25/6/2024 7:00",8.02
"25/6/2024 8:00",7.51
"25/6/2024 9:00",7.57
"25/6/2024 10:00",7.88
"25/6/2024 11:00",7.99
"25/6/2024 12:00",8.24
"25/6/2024 13:00",9.13
"25/6/2024 14:00",9.05
"25/6/2024 15:00",8.78
"25/6/2024 16:00",8.31
"25/6/2024 17:00",8.37
"25/6/2024 18:00",8.17
"25/6/2024 19:00",7.76
"25/6/2024 20:00",7.43
"25/6/2024 21:00",7.64
"25/6/2024 22:00",8.27
"25/6/2024 23:00",9.43
"26/6/2024 0:00",10.58
"26/6/2024 1:00",12.29
"26/6/2024 2:00",13.14
"26/6/2024 3:00",14.37
"26/6/2024 4:00",15.5
"26/6/2024 5:00",14.24
"26/6/2024 6:00",12.65
"26/6/2024 7:00",12.13
"26/6/2024 8:00",10.52
"26/6/2024 9:00",9.3
"26/6/2024 10:00",8.89
"26/6/2024 11:00",10.37
"26/6/2024 12:00",11.31
"26/6/2024 13:00",11.56
"26/6/2024 14:00",11.18
"26/6/2024 15:00",10.7
"26/6/2024 16:00",10.75
"26/6/2024 17:00",10.51
"26/6/2024 18:00",10.09
"26/6/2024 19:00",9.78
"26/6/2024 20:00",10.9
"26/6/2024 21:00",11.91
"26/6/2024 22:00",12.73
"26/6/2024 23:00",12.61
"27/6/2024 0:00",12.66
"27/6/2024 1:00",11.99
"27/6/2024 2:00",12.88
"27/6/2024 3:00",13.67
"27/6/2024 4:00",14.11
"27/6/2024 5:00",15.02
"27/6/2024 6:00",15.11
"27/6/2024 7:00",14.97
"27/6/2024 8:00",13.53
"27/6/2024 9:00",10.97
"27/6/2024 10:00",8.31
"27/6/2024 11:00",6.45
"27/6/2024 12:00",5.38
"27/6/2024 13:00",5.46
"27/6/2024 14:00",5.15
"27/6/2024 15:00",5.25
"27/6/2024 16:00",5.37
"27/6/2024 17:00",5.12
"27/6/2024 18:00",5.02
"27/6/2024 19:00",4.86
"27/6/2024 20:00",4.64
"27/6/2024 21:00",4.44
"27/6/2024 22:00",4.57
"27/6/2024 23:00",4.96
"28/6/2024 0:00",5.1
"28/6/2024 1:00",6.16
"28/6/2024 2:00",6.62
"28/6/2024 3:00",6.42
"28/6/2024 4:00",6.79
"28/6/2024 5:00",6.7
"28/6/2024 6:00",7.02
"28/6/2024 7:00",7.04
"28/6/2024 8:00",5.88
"28/6/2024 9:00",5.62
"28/6/2024 10:00",6.3
"28/6/2024 11:00",6.24
"28/6/2024 12:00",6.06
"28/6/2024 13:00",5.62
"28/6/2024 14:00",5.9
"28/6/2024 15:00",5.54
"28/6/2024 16:00",5.9
"28/6/2024 17:00",5.07
"28/6/2024 18:00",5.05
"28/6/2024 19:00",5.25
"28/6/2024 20:00",5.65
"28/6/2024 21:00",5.63
"28/6/2024 22:00",5.94
"28/6/2024 23:00",6.84
"29/6/2024 0:00",7.77
"29/6/2024 1:00",6.5
"29/6/2024 2:00",6.78
"29/6/2024 3:00",6.49
"29/6/2024 4:00",6.96
"29/6/2024 5:00",7.24
"29/6/2024 6:00",6.76
"29/6/2024 7:00",6.81
"29/6/2024 8:00",6.41
"29/6/2024 9:00",6.18
"29/6/2024 10:00",5.81
