"Category","Nitrogen dioxide"
"23/6/2024 17:00",6.29
"23/6/2024 18:00",8.07
"23/6/2024 19:00",11.55
"23/6/2024 20:00",13.99
"23/6/2024 21:00",16.17
"23/6/2024 22:00",15.91
"23/6/2024 23:00",17.12
"24/6/2024 0:00",16.31
"24/6/2024 1:00",23.98
"24/6/2024 2:00",25.27
"24/6/2024 3:00",26.96
"24/6/2024 4:00",28.04
"24/6/2024 5:00",29.69
"24/6/2024 6:00",29.9
"24/6/2024 7:00",29.07
"24/6/2024 8:00",25.52
"24/6/2024 9:00",23.14
"24/6/2024 10:00",19.52
"24/6/2024 11:00",18.69
"24/6/2024 12:00",15.7
"24/6/2024 13:00",11.82
"24/6/2024 14:00",10.58
"24/6/2024 15:00",9.11
"24/6/2024 16:00",10.08
"24/6/2024 17:00",11.7
"24/6/2024 18:00",13.38
"24/6/2024 19:00",13.47
"24/6/2024 20:00",16.01
"24/6/2024 21:00",20.2
"24/6/2024 22:00",24.01
"24/6/2024 23:00",27.3
"25/6/2024 0:00",29.85
"25/6/2024 1:00",16.9
"25/6/2024 2:00",19.73
"25/6/2024 3:00",21.38
"25/6/2024 4:00",20.67
"25/6/2024 5:00",19.48
"25/6/2024 6:00",15.92
"25/6/2024 7:00",15.84
"25/6/2024 8:00",13.44
"25/6/2024 9:00",15.11
"25/6/2024 10:00",15.97
"25/6/2024 11:00",16.63
"25/6/2024 12:00",21.63
"25/6/2024 13:00",25.57
"25/6/2024 14:00",26.08
"25/6/2024 15:00",24.93
"25/6/2024 16:00",25.1
"25/6/2024 17:00",26.81
"25/6/2024 18:00",25.11
"25/6/2024 19:00",24.31
"25/6/2024 20:00",23.88
"25/6/2024 21:00",24.63
"25/6/2024 22:00",28.29
"25/6/2024 23:00",26.45
"26/6/2024 0:00",23.47
"26/6/2024 1:00",11.64
"26/6/2024 2:00",14.28
"26/6/2024 3:00",14.69
"26/6/2024 4:00",14.56
"26/6/2024 5:00",13.68
"26/6/2024 6:00",12.56
"26/6/2024 7:00",12.34
"26/6/2024 8:00",11.35
"26/6/2024 9:00",11.01
"26/6/2024 10:00",14.36
"26/6/2024 11:00",21.3
"26/6/2024 12:00",30.24
"26/6/2024 13:00",36.86
"26/6/2024 14:00",39.77
"26/6/2024 15:00",35.08
"26/6/2024 16:00",31.95
"26/6/2024 17:00",31.85
"26/6/2024 18:00",27.77
"26/6/2024 19:00",26.6
"26/6/2024 20:00",31.76
"26/6/2024 21:00",32.28
"26/6/2024 22:00",28.95
"26/6/2024 23:00",25.6
"27/6/2024 0:00",28.72
"27/6/2024 1:00",34.01
"27/6/2024 2:00",36.34
"27/6/2024 3:00",37.82
"27/6/2024 4:00",37.58
"27/6/2024 5:00",34.53
"27/6/2024 6:00",32.43
"27/6/2024 7:00",31.79
"27/6/2024 8:00",32.91
"27/6/2024 9:00",28.48
"27/6/2024 10:00",19.67
"27/6/2024 11:00",16.45
"27/6/2024 12:00",15.22
"27/6/2024 13:00",13.02
"27/6/2024 14:00",9.7
"27/6/2024 15:00",7.89
"27/6/2024 16:00",6.01
"27/6/2024 17:00",7
"27/6/2024 18:00",9.04
"27/6/2024 19:00",10.22
"27/6/2024 20:00",10.97
"27/6/2024 21:00",15.46
"27/6/2024 22:00",16.61
"27/6/2024 23:00",18.79
"28/6/2024 0:00",21.54
"28/6/2024 1:00",6.2
"28/6/2024 2:00",4.53
"28/6/2024 3:00",3.48
"28/6/2024 4:00",5.5
"28/6/2024 5:00",7.15
"28/6/2024 6:00",11.54
"28/6/2024 7:00",12.4
"28/6/2024 8:00",8.91
"28/6/2024 9:00",7.86
"28/6/2024 10:00",6.99
"28/6/2024 11:00",10.35
"28/6/2024 12:00",10.37
"28/6/2024 13:00",8.35
"28/6/2024 14:00",7.26
"28/6/2024 15:00",6.68
