"Category","PM<sub>2.5</sub> particulates"
"23/6/2024 17:00",5.69
"23/6/2024 18:00",5.67
"23/6/2024 19:00",5.69
"23/6/2024 20:00",5.56
"23/6/2024 21:00",5.93
"23/6/2024 22:00",6.55
"23/6/2024 23:00",7.1
"24/6/2024 0:00",7.17
"24/6/2024 1:00",4.88
"24/6/2024 2:00",5.48
"24/6/2024 3:00",5.5
"24/6/2024 4:00",5.53
"24/6/2024 5:00",5.33
"24/6/2024 6:00",5.16
"24/6/2024 7:00",5.09
"24/6/2024 8:00",4.74
"24/6/2024 9:00",4.6
"24/6/2024 10:00",4.51
"24/6/2024 11:00",4.41
"24/6/2024 12:00",4.39
"24/6/2024 13:00",4.44
"24/6/2024 14:00",4.54
"24/6/2024 15:00",4.36
"24/6/2024 16:00",4.34
"24/6/2024 17:00",4.39
"24/6/2024 18:00",4.39
"24/6/2024 19:00",4.37
"24/6/2024 20:00",4.28
"24/6/2024 21:00",4.16
"24/6/2024 22:00",3.88
"24/6/2024 23:00",3.87
"25/6/2024 0:00",4.14
"25/6/2024 1:00",7.36
"25/6/2024 2:00",7.9
"25/6/2024 3:00",8.36
"25/6/2024 4:00",8.56
"25/6/2024 5:00",8.51
"25/6/2024 6:00",8.65
"25/6/2024 7:00",8.35
"25/6/2024 8:00",7.74
"25/6/2024 9:00",7.8
"25/6/2024 10:00",7.86
"25/6/2024 11:00",8.21
"25/6/2024 12:00",9.25
"25/6/2024 13:00",9.55
"25/6/2024 14:00",9.3
"25/6/2024 15:00",8.6
"25/6/2024 16:00",8.25
"25/6/2024 17:00",8.48
"25/6/2024 18:00",8.03
"25/6/2024 19:00",7.44
"25/6/2024 20:00",7.65
"25/6/2024 21:00",7.66
"25/6/2024 22:00",8.65
"25/6/2024 23:00",9.78
"26/6/2024 0:00",11.55
"26/6/2024 1:00",12.33
"26/6/2024 2:00",12.63
"26/6/2024 3:00",12.74
"26/6/2024 4:00",12.94
"26/6/2024 5:00",12.57
"26/6/2024 6:00",11.86
"26/6/2024 7:00",11.36
"26/6/2024 8:00",10.18
"26/6/2024 9:00",9.7
"26/6/2024 10:00",9.71
"26/6/2024 11:00",10.36
"26/6/2024 12:00",10.88
"26/6/2024 13:00",11.31
"26/6/2024 14:00",11.31
"26/6/2024 15:00",10.89
"26/6/2024 16:00",10.61
"26/6/2024 17:00",10.56
"26/6/2024 18:00",10.27
"26/6/2024 19:00",10.25
"26/6/2024 20:00",10.64
"26/6/2024 21:00",11.03
"26/6/2024 22:00",11.07
"26/6/2024 23:00",11.3
"27/6/2024 0:00",11.38
"27/6/2024 1:00",11.57
"27/6/2024 2:00",12.38
"27/6/2024 3:00",13.12
"27/6/2024 4:00",13.57
"27/6/2024 5:00",14.2
"27/6/2024 6:00",14.16
"27/6/2024 7:00",13.94
"27/6/2024 8:00",12.71
"27/6/2024 9:00",10.6
"27/6/2024 10:00",8.63
"27/6/2024 11:00",7.23
"27/6/2024 12:00",6.3
"27/6/2024 13:00",6.43
"27/6/2024 14:00",6.12
"27/6/2024 15:00",6.2
"27/6/2024 16:00",6.33
"27/6/2024 17:00",6.17
"27/6/2024 18:00",6.19
"27/6/2024 19:00",6.17
