"Category","PM<sub>2.5</sub> particulates"
"19/2/2021 13:00",5.15
"19/2/2021 14:00",5.81
"19/2/2021 15:00",5.94
"19/2/2021 16:00",6.35
"19/2/2021 17:00",5.44
"19/2/2021 18:00",7.19
"19/2/2021 19:00",10.5
"19/2/2021 20:00",17.71
"19/2/2021 21:00",23.08
"19/2/2021 22:00",19.18
"19/2/2021 23:00",14.35
"20/2/2021 0:00",13.15
"20/2/2021 1:00",9.39
"20/2/2021 2:00",13.47
"20/2/2021 3:00",17.03
"20/2/2021 4:00",18.61
"20/2/2021 5:00",19.21
"20/2/2021 6:00",18.87
"20/2/2021 7:00",17.48
"20/2/2021 8:00",16.52
"20/2/2021 9:00",13.77
"20/2/2021 10:00",11.16
"20/2/2021 11:00",9.39
"20/2/2021 12:00",6.27
"20/2/2021 13:00",4.33
"20/2/2021 14:00",4.06
"20/2/2021 15:00",5.11
"20/2/2021 16:00",8.47
"20/2/2021 17:00",15.8
"20/2/2021 18:00",19.41
"20/2/2021 19:00",18.9
"20/2/2021 20:00",15.99
"20/2/2021 21:00",12.55
"20/2/2021 22:00",15.43
"20/2/2021 23:00",13.59
"21/2/2021 0:00",10.46
"21/2/2021 1:00",10.42
"21/2/2021 2:00",10.61
"21/2/2021 3:00",10.2
"21/2/2021 4:00",10.7
"21/2/2021 5:00",10.73
"21/2/2021 6:00",10.6
"21/2/2021 7:00",11.13
"21/2/2021 8:00",11.79
"21/2/2021 9:00",10.47
"21/2/2021 10:00",9.38
"21/2/2021 11:00",9.28
"21/2/2021 12:00",11.78
"21/2/2021 13:00",15.83
"21/2/2021 14:00",12.83
"21/2/2021 15:00",12.92
"21/2/2021 16:00",12.77
"21/2/2021 17:00",13.73
"21/2/2021 18:00",14.95
"21/2/2021 19:00",15.37
"21/2/2021 20:00",15.48
"21/2/2021 21:00",15.84
"21/2/2021 22:00",14.78
"21/2/2021 23:00",15.87
"22/2/2021 0:00",14.76
"22/2/2021 1:00",14.69
"22/2/2021 2:00",14.02
"22/2/2021 3:00",13.94
"22/2/2021 4:00",16.61
"22/2/2021 5:00",14.27
"22/2/2021 6:00",14.73
"22/2/2021 7:00",15.79
"22/2/2021 8:00",15.1
"22/2/2021 9:00",14.47
"22/2/2021 10:00",14.38
"22/2/2021 11:00",14.97
"22/2/2021 12:00",17.25
"22/2/2021 13:00",20.6
"22/2/2021 14:00",19.87
"22/2/2021 15:00",20.75
"22/2/2021 16:00",21.8
"22/2/2021 17:00",21.68
"22/2/2021 18:00",22.07
"22/2/2021 19:00",21.22
"22/2/2021 20:00",19.65
"22/2/2021 21:00",21.07
"22/2/2021 22:00",21.68
"22/2/2021 23:00",21.78
"23/2/2021 0:00",14.95
"23/2/2021 1:00",12.98
"23/2/2021 2:00",13.42
"23/2/2021 3:00",12.88
"23/2/2021 4:00",11.07
"23/2/2021 5:00",10.23
"23/2/2021 6:00",9.82
"23/2/2021 7:00",9.65
"23/2/2021 8:00",8.37
"23/2/2021 9:00",5.76
"23/2/2021 10:00",4.82
"23/2/2021 11:00",4.39
"23/2/2021 12:00",4.09
"23/2/2021 13:00",4.06
"23/2/2021 14:00",3.91
"23/2/2021 15:00",3.86
"23/2/2021 16:00",3.88
"23/2/2021 17:00",4.02
"23/2/2021 18:00",4.28
"23/2/2021 19:00",4.56
"23/2/2021 20:00",4.48
"23/2/2021 21:00",4.43
"23/2/2021 22:00",4.13
"23/2/2021 23:00",4.01
"24/2/2021 0:00",4.81
"24/2/2021 1:00",5.08
"24/2/2021 2:00",5.18
"24/2/2021 3:00",4.92
"24/2/2021 4:00",4.86
"24/2/2021 5:00",4.92
"24/2/2021 6:00",4.86
"24/2/2021 7:00",4.68
"24/2/2021 8:00",4.39
"24/2/2021 9:00",4.02
"24/2/2021 10:00",3.97
