"Category","Nitrogen dioxide"
"27/7/2022 12:00",16.48
"27/7/2022 13:00",16.6
"27/7/2022 14:00",14.91
"27/7/2022 15:00",19.75
"27/7/2022 16:00",16.83
"27/7/2022 17:00",13.66
"27/7/2022 18:00",16.16
"27/7/2022 19:00",17.12
"27/7/2022 20:00",14.34
"27/7/2022 21:00",12.65
"27/7/2022 22:00",14.78
"27/7/2022 23:00",15.19
"28/7/2022 0:00",9.52
"28/7/2022 1:00",14.62
"28/7/2022 2:00",14.56
"28/7/2022 3:00",17.68
"28/7/2022 4:00",20.99
"28/7/2022 5:00",25.7
"28/7/2022 6:00",30.94
"28/7/2022 7:00",27.09
"28/7/2022 8:00",25.67
"28/7/2022 9:00",23.14
"28/7/2022 10:00",19.36
"28/7/2022 11:00",19.57
"28/7/2022 12:00",19.98
"28/7/2022 13:00",19.08
"28/7/2022 14:00",15.63
"28/7/2022 15:00",11.72
"28/7/2022 16:00",11.13
"28/7/2022 17:00",10.86
"28/7/2022 18:00",13.01
"28/7/2022 19:00",12.51
"28/7/2022 20:00",13.37
"28/7/2022 21:00",15.9
"28/7/2022 22:00",18.42
"28/7/2022 23:00",16.81
"29/7/2022 0:00",16.27
"29/7/2022 1:00",18.45
"29/7/2022 2:00",17.89
"29/7/2022 3:00",16.08
"29/7/2022 4:00",20.16
"29/7/2022 5:00",30.23
"29/7/2022 6:00",35.18
"29/7/2022 7:00",31.11
"29/7/2022 8:00",28.35
"29/7/2022 9:00",20.8
"29/7/2022 10:00",20.21
"29/7/2022 11:00",21.62
"29/7/2022 12:00",18.01
"29/7/2022 13:00",18.87
"29/7/2022 14:00",15.45
"29/7/2022 15:00",13.92
"29/7/2022 16:00",16.31
"29/7/2022 17:00",17.03
"29/7/2022 18:00",25.34
"29/7/2022 19:00",28.07
"29/7/2022 20:00",24.32
"29/7/2022 21:00",25.1
"29/7/2022 22:00",22.8
"29/7/2022 23:00",7.24
"30/7/2022 0:00",8.27
"30/7/2022 1:00",15.6
"30/7/2022 2:00",17.67
"30/7/2022 3:00",19.79
"30/7/2022 4:00",22.04
"30/7/2022 5:00",20.94
"30/7/2022 6:00",20.74
"30/7/2022 7:00",19.42
"30/7/2022 8:00",17.34
"30/7/2022 9:00",10.91
"30/7/2022 10:00",9.32
"30/7/2022 11:00",9.28
"30/7/2022 12:00",10.06
"30/7/2022 13:00",9.85
"30/7/2022 14:00",11.5
"30/7/2022 15:00",10.98
"30/7/2022 16:00",10.02
"30/7/2022 17:00",8.14
"30/7/2022 18:00",7.32
"30/7/2022 19:00",7.24
"30/7/2022 20:00",9.19
"30/7/2022 21:00",9.57
"30/7/2022 22:00",12.29
"30/7/2022 23:00",12.6
"31/7/2022 0:00",11.55
"31/7/2022 1:00",9.35
"31/7/2022 2:00",7.69
"31/7/2022 3:00",7.58
"31/7/2022 4:00",6.34
"31/7/2022 5:00",5.75
"31/7/2022 6:00",4.47
"31/7/2022 7:00",4.84
"31/7/2022 8:00",4.65
"31/7/2022 9:00",4.88
"31/7/2022 10:00",5.81
"31/7/2022 11:00",6.21
"31/7/2022 12:00",7.24
"31/7/2022 13:00",6.65
"31/7/2022 14:00",7.66
"31/7/2022 15:00",7.32
"31/7/2022 16:00",7.88
"31/7/2022 17:00",9.87
"31/7/2022 18:00",9.91
"31/7/2022 19:00",7.25
"31/7/2022 20:00",7.92
"31/7/2022 21:00",10.59
"31/7/2022 22:00",9.94
"31/7/2022 23:00",8.64
"1/8/2022 0:00",9.67
"1/8/2022 1:00",19.35
"1/8/2022 2:00",18.28
"1/8/2022 3:00",17.7
"1/8/2022 4:00",17.3
"1/8/2022 5:00",21.04
"1/8/2022 6:00",23.15
"1/8/2022 7:00",22.05
"1/8/2022 8:00",23.19
"1/8/2022 9:00",20.05
"1/8/2022 10:00",19.2
"1/8/2022 11:00",18.72
"1/8/2022 12:00",17.74
"1/8/2022 13:00",16.34
"1/8/2022 14:00",14.99
"1/8/2022 15:00",11.95
"1/8/2022 16:00",15.93
"1/8/2022 17:00",14.39
"1/8/2022 18:00",16.71
"1/8/2022 19:00",13.31
"1/8/2022 20:00",9.89
"1/8/2022 21:00",9.85
"1/8/2022 22:00",11.65
"1/8/2022 23:00",15.25
"2/8/2022 0:00",18.47
"2/8/2022 1:00",14.02
"2/8/2022 2:00",14.48
"2/8/2022 3:00",14
"2/8/2022 4:00",13.74
"2/8/2022 5:00",13.78
"2/8/2022 6:00",13.23
"2/8/2022 7:00",10.58
"2/8/2022 8:00",8.15
"2/8/2022 9:00",7.17
"2/8/2022 10:00",7.66
"2/8/2022 11:00",8.37
"2/8/2022 12:00",7.47
"2/8/2022 13:00",7.4
"2/8/2022 14:00",6.94
"2/8/2022 15:00",7.24
"2/8/2022 16:00",7.07
"2/8/2022 17:00",8.86
"2/8/2022 18:00",9.21
"2/8/2022 19:00",9.8
"2/8/2022 20:00",9.84
"2/8/2022 21:00",10.43
"2/8/2022 22:00",11.3
"2/8/2022 23:00",10.79
"3/8/2022 0:00",10.66
"3/8/2022 1:00",17.4
"3/8/2022 2:00",18.05
"3/8/2022 3:00",13.64
"3/8/2022 4:00",13.57
"3/8/2022 5:00",13.06
"3/8/2022 6:00",14.38
"3/8/2022 7:00",16.07
"3/8/2022 8:00",15.44
"3/8/2022 9:00",13.83
"3/8/2022 10:00",12.98
"3/8/2022 11:00",13.54
"3/8/2022 12:00",15.17
"3/8/2022 13:00",19.16
"3/8/2022 14:00",17.2
"3/8/2022 15:00",15.15
"3/8/2022 16:00",15.47
"3/8/2022 17:00",18.48
"3/8/2022 18:00",18.23
"3/8/2022 19:00",17.86
"3/8/2022 20:00",24.93
"3/8/2022 21:00",27.39
"3/8/2022 22:00",17.16
"3/8/2022 23:00",15.31
"4/8/2022 0:00",5.87
"4/8/2022 1:00",6.73
"4/8/2022 2:00",6.25
"4/8/2022 3:00",6.99
"4/8/2022 4:00",8.22
"4/8/2022 5:00",12.89
"4/8/2022 6:00",15.77
"4/8/2022 7:00",16.54
"4/8/2022 8:00",12.19
"4/8/2022 9:00",9.4
"4/8/2022 10:00",8.27
"4/8/2022 11:00",11.64
"4/8/2022 12:00",10.44
"4/8/2022 13:00",11.47
"4/8/2022 14:00",10.76
"4/8/2022 15:00",11.93
"4/8/2022 16:00",8.24
"4/8/2022 17:00",9.77
"4/8/2022 18:00",10.6
"4/8/2022 19:00",12.54
"4/8/2022 20:00",13.76
"4/8/2022 21:00",12.23
"4/8/2022 22:00",13.12
"4/8/2022 23:00",12.24
"5/8/2022 0:00",10.8
"5/8/2022 1:00",4.93
"5/8/2022 2:00",5.77
"5/8/2022 3:00",8.52
"5/8/2022 4:00",9.04
"5/8/2022 5:00",13.99
"5/8/2022 6:00",15.17
"5/8/2022 7:00",15.93
"5/8/2022 8:00",13.67
"5/8/2022 9:00",9.82
"5/8/2022 10:00",11.61
"5/8/2022 11:00",13.21
"5/8/2022 12:00",13.37
"5/8/2022 13:00",11.22
"5/8/2022 14:00",8.39
"5/8/2022 15:00",7.7
"5/8/2022 16:00",9.48
"5/8/2022 17:00",13.92
"5/8/2022 18:00",13.87
"5/8/2022 19:00",12.89
"5/8/2022 20:00",15.59
"5/8/2022 21:00",16.58
"5/8/2022 22:00",20.85
"5/8/2022 23:00",23.1
"6/8/2022 0:00",15.66
"6/8/2022 1:00",12.44
"6/8/2022 2:00",10.6
"6/8/2022 3:00",11.48
"6/8/2022 4:00",12.48
"6/8/2022 5:00",15.63
"6/8/2022 6:00",16.45
"6/8/2022 7:00",14.53
"6/8/2022 8:00",12.9
"6/8/2022 9:00",9.89
"6/8/2022 10:00",6.88
"6/8/2022 11:00",10.4
"6/8/2022 12:00",11.95
"6/8/2022 13:00",6.45
"6/8/2022 14:00",7.31
"6/8/2022 15:00",5.6
"6/8/2022 16:00",5.6
"6/8/2022 17:00",6.16
"6/8/2022 18:00",5.13
