"Category","PM<sub>2.5</sub> particulates"
"27/7/2022 12:00",7.62
"27/7/2022 13:00",10.07
"27/7/2022 14:00",8.16
"27/7/2022 15:00",7.85
"27/7/2022 16:00",7.36
"27/7/2022 17:00",7.9
"27/7/2022 18:00",6.18
"27/7/2022 19:00",7.57
"27/7/2022 20:00",9.84
"27/7/2022 21:00",6.24
"27/7/2022 22:00",5.01
"27/7/2022 23:00",5.07
"28/7/2022 0:00",5.14
"28/7/2022 1:00",6.4
"28/7/2022 2:00",6.39
"28/7/2022 3:00",6.89
"28/7/2022 4:00",7.4
"28/7/2022 5:00",7.93
"28/7/2022 6:00",8.48
"28/7/2022 7:00",8.68
"28/7/2022 8:00",9.26
"28/7/2022 9:00",9.07
"28/7/2022 10:00",8.25
"28/7/2022 11:00",8.03
"28/7/2022 12:00",9.82
"28/7/2022 13:00",12.35
"28/7/2022 14:00",10.59
"28/7/2022 15:00",8.52
"28/7/2022 16:00",6.94
"28/7/2022 17:00",7.06
"28/7/2022 18:00",7.57
"28/7/2022 19:00",7.53
"28/7/2022 20:00",8.39
"28/7/2022 21:00",7.28
"28/7/2022 22:00",6.59
"28/7/2022 23:00",7.77
"29/7/2022 0:00",8.67
"29/7/2022 1:00",6.54
"29/7/2022 2:00",6.24
"29/7/2022 3:00",6.21
"29/7/2022 4:00",5.77
"29/7/2022 5:00",6.31
"29/7/2022 6:00",6.2
"29/7/2022 7:00",6.83
"29/7/2022 8:00",7.12
"29/7/2022 9:00",6.03
"29/7/2022 10:00",5.89
"29/7/2022 11:00",5.13
"29/7/2022 12:00",5.9
"29/7/2022 13:00",6.9
"29/7/2022 14:00",7.82
"29/7/2022 15:00",7.31
"29/7/2022 16:00",8.74
"29/7/2022 17:00",6.88
"29/7/2022 18:00",7.71
"29/7/2022 19:00",8.21
"29/7/2022 20:00",10.94
"29/7/2022 21:00",9.63
"29/7/2022 22:00",10.45
"29/7/2022 23:00",9.98
"30/7/2022 0:00",12.06
"30/7/2022 1:00",8.96
"30/7/2022 2:00",10.49
"30/7/2022 3:00",12.04
"30/7/2022 4:00",16.58
"30/7/2022 5:00",18.67
"30/7/2022 6:00",17.83
"30/7/2022 7:00",14.32
"30/7/2022 8:00",11.25
"30/7/2022 9:00",8.15
"30/7/2022 10:00",7.08
