"Category","Nitrogen dioxide"
"30/6/2022 8:00",24.12
"30/6/2022 9:00",22.05
"30/6/2022 10:00",22.24
"30/6/2022 11:00",23.87
"30/6/2022 12:00",23.75
"30/6/2022 13:00",20.32
"30/6/2022 14:00",19.47
"30/6/2022 15:00",19.62
"30/6/2022 16:00",18.03
"30/6/2022 17:00",11.82
"30/6/2022 18:00",14.6
"30/6/2022 19:00",21.26
"30/6/2022 20:00",32.23
"30/6/2022 21:00",23.36
"30/6/2022 22:00",22.59
"30/6/2022 23:00",28.3
"1/7/2022 0:00",27.64
"1/7/2022 1:00",27.47
"1/7/2022 2:00",23.7
"1/7/2022 3:00",23.61
"1/7/2022 4:00",24.12
"1/7/2022 5:00",28.57
"1/7/2022 6:00",29.49
"1/7/2022 7:00",33.21
"1/7/2022 8:00",25.23
"1/7/2022 9:00",19.34
"1/7/2022 10:00",19.28
"1/7/2022 11:00",20.19
"1/7/2022 12:00",23.22
"1/7/2022 13:00",23.68
"1/7/2022 14:00",21.16
"1/7/2022 15:00",13.82
"1/7/2022 16:00",15.38
"1/7/2022 17:00",13.49
"1/7/2022 18:00",16.15
"1/7/2022 19:00",20.22
"1/7/2022 20:00",22.38
"1/7/2022 21:00",22.06
"1/7/2022 22:00",20.01
"1/7/2022 23:00",24.34
"2/7/2022 0:00",21.82
"2/7/2022 1:00",8.51
"2/7/2022 2:00",8.51
"2/7/2022 3:00",8.15
"2/7/2022 4:00",8.02
"2/7/2022 5:00",7.79
"2/7/2022 6:00",7.82
"2/7/2022 7:00",7.81
"2/7/2022 8:00",6.62
"2/7/2022 9:00",5.95
"2/7/2022 10:00",5.03
"2/7/2022 11:00",5.01
"2/7/2022 12:00",5.18
"2/7/2022 13:00",5.02
"2/7/2022 14:00",5.25
"2/7/2022 15:00",5.61
"2/7/2022 16:00",5.87
"2/7/2022 17:00",5.09
"2/7/2022 18:00",6.46
"2/7/2022 19:00",7.43
"2/7/2022 20:00",7.88
"2/7/2022 21:00",8.49
"2/7/2022 22:00",9.59
"2/7/2022 23:00",9.05
"3/7/2022 0:00",7.68
"3/7/2022 1:00",10.46
"3/7/2022 2:00",10.36
"3/7/2022 3:00",11.66
"3/7/2022 4:00",13.87
"3/7/2022 5:00",17.9
"3/7/2022 6:00",15.06
"3/7/2022 7:00",13.15
"3/7/2022 8:00",11.64
"3/7/2022 9:00",11.8
"3/7/2022 10:00",9.2
"3/7/2022 11:00",11.26
"3/7/2022 12:00",10.37
"3/7/2022 13:00",7.55
"3/7/2022 14:00",8.01
"3/7/2022 15:00",6.9
"3/7/2022 16:00",10.27
"3/7/2022 17:00",11.58
"3/7/2022 18:00",12.09
"3/7/2022 19:00",12.35
"3/7/2022 20:00",14.96
"3/7/2022 21:00",16.1
"3/7/2022 22:00",20.94
"3/7/2022 23:00",18.81
"4/7/2022 0:00",18.25
"4/7/2022 1:00",28.68
"4/7/2022 2:00",30.93
"4/7/2022 3:00",33.47
"4/7/2022 4:00",39.33
"4/7/2022 5:00",40.85
"4/7/2022 6:00",42.07
"4/7/2022 7:00",39.85
"4/7/2022 8:00",32.7
"4/7/2022 9:00",30.51
"4/7/2022 10:00",23.79
"4/7/2022 11:00",19.08
"4/7/2022 12:00",17.83
"4/7/2022 13:00",15.31
"4/7/2022 14:00",18.64
"4/7/2022 15:00",14.58
"4/7/2022 16:00",17.61
"4/7/2022 17:00",18.66
"4/7/2022 18:00",12.2
"4/7/2022 19:00",12.67
"4/7/2022 20:00",14.31
"4/7/2022 21:00",18.53
"4/7/2022 22:00",30.37
"4/7/2022 23:00",25.77
"5/7/2022 0:00",18.78
"5/7/2022 1:00",13.36
"5/7/2022 2:00",15.59
"5/7/2022 3:00",19.84
"5/7/2022 4:00",22.09
"5/7/2022 5:00",27.7
"5/7/2022 6:00",28.87
"5/7/2022 7:00",22.57
"5/7/2022 8:00",14.04
"5/7/2022 9:00",12.02
"5/7/2022 10:00",9.68
"5/7/2022 11:00",9
"5/7/2022 12:00",9.98
"5/7/2022 13:00",10.55
"5/7/2022 14:00",11.88
"5/7/2022 15:00",13.13
"5/7/2022 16:00",12.88
"5/7/2022 17:00",13.84
"5/7/2022 18:00",12.98
"5/7/2022 19:00",13.48
"5/7/2022 20:00",12.84
"5/7/2022 21:00",15.72
"5/7/2022 22:00",17.14
"5/7/2022 23:00",14.28
"6/7/2022 0:00",12.71
"6/7/2022 1:00",18.79
"6/7/2022 2:00",18.97
"6/7/2022 3:00",20.84
"6/7/2022 4:00",23.73
"6/7/2022 5:00",28.54
"6/7/2022 6:00",33.36
"6/7/2022 7:00",39.08
"6/7/2022 8:00",40.67
"6/7/2022 9:00",36.86
"6/7/2022 10:00",24.47
"6/7/2022 11:00",21.31
"6/7/2022 12:00",14.57
"6/7/2022 13:00",19.08
"6/7/2022 14:00",19.09
"6/7/2022 15:00",18.84
"6/7/2022 16:00",15.89
"6/7/2022 17:00",13.09
"6/7/2022 18:00",14.42
"6/7/2022 19:00",14.63
"6/7/2022 20:00",15.3
"6/7/2022 21:00",23.21
"6/7/2022 22:00",26.22
"6/7/2022 23:00",27.86
"7/7/2022 0:00",26.04
"7/7/2022 1:00",14.23
"7/7/2022 2:00",11.57
"7/7/2022 3:00",12.18
"7/7/2022 4:00",8.51
"7/7/2022 5:00",6.13
"7/7/2022 6:00",6.82
"7/7/2022 7:00",8.93
"7/7/2022 8:00",11
"7/7/2022 9:00",10.58
"7/7/2022 10:00",12.22
"7/7/2022 11:00",10.66
"7/7/2022 12:00",10.4
"7/7/2022 13:00",10.64
"7/7/2022 14:00",10.25
"7/7/2022 15:00",9.45
"7/7/2022 16:00",7.15
"7/7/2022 17:00",5.55
"7/7/2022 18:00",
"7/7/2022 19:00",
"7/7/2022 20:00",
"7/7/2022 21:00",18.89
"7/7/2022 22:00",26.33
"7/7/2022 23:00",30.61
"8/7/2022 0:00",30.68
"8/7/2022 1:00",53.35
"8/7/2022 2:00",50.8
"8/7/2022 3:00",45.86
"8/7/2022 4:00",43.82
"8/7/2022 5:00",45.11
"8/7/2022 6:00",45.47
"8/7/2022 7:00",43.37
"8/7/2022 8:00",43.73
"8/7/2022 9:00",36.75
"8/7/2022 10:00",33.31
"8/7/2022 11:00",25.19
"8/7/2022 12:00",22.68
"8/7/2022 13:00",22.42
"8/7/2022 14:00",21.04
"8/7/2022 15:00",17.79
"8/7/2022 16:00",16.54
"8/7/2022 17:00",12.49
"8/7/2022 18:00",13.97
"8/7/2022 19:00",17.11
"8/7/2022 20:00",18.21
"8/7/2022 21:00",24.3
"8/7/2022 22:00",28.96
"8/7/2022 23:00",33.89
"9/7/2022 0:00",39.77
"9/7/2022 1:00",13.15
"9/7/2022 2:00",12.22
"9/7/2022 3:00",11.9
"9/7/2022 4:00",11.32
"9/7/2022 5:00",11.46
"9/7/2022 6:00",8.72
"9/7/2022 7:00",7.09
"9/7/2022 8:00",6.99
"9/7/2022 9:00",6.66
"9/7/2022 10:00",7.52
"9/7/2022 11:00",6.91
"9/7/2022 12:00",6.68
"9/7/2022 13:00",6.84
"9/7/2022 14:00",7.02
"9/7/2022 15:00",6.88
"9/7/2022 16:00",6.87
"9/7/2022 17:00",6.7
"9/7/2022 18:00",7.16
"9/7/2022 19:00",11.29
"9/7/2022 20:00",14.4
"9/7/2022 21:00",13.97
"9/7/2022 22:00",13.81
"9/7/2022 23:00",13.15
"10/7/2022 0:00",12.84
"10/7/2022 1:00",30.17
"10/7/2022 2:00",28.79
"10/7/2022 3:00",28.51
"10/7/2022 4:00",26.07
"10/7/2022 5:00",27.94
"10/7/2022 6:00",27.8
"10/7/2022 7:00",26.39
"10/7/2022 8:00",26.47
"10/7/2022 9:00",25.42
"10/7/2022 10:00",21.59
"10/7/2022 11:00",21.13
"10/7/2022 12:00",18
"10/7/2022 13:00",21.2
"10/7/2022 14:00",19.59
"10/7/2022 15:00",15.93
"10/7/2022 16:00",15.62
"10/7/2022 17:00",13.5
"10/7/2022 18:00",8.46
"10/7/2022 19:00",16.97
"10/7/2022 20:00",25.47
"10/7/2022 21:00",27.48
"10/7/2022 22:00",27.37
"10/7/2022 23:00",28.54
"11/7/2022 0:00",27.62
"11/7/2022 1:00",42.73
"11/7/2022 2:00",38.43
"11/7/2022 3:00",38
"11/7/2022 4:00",40.81
"11/7/2022 5:00",48.92
"11/7/2022 6:00",52.61
"11/7/2022 7:00",46.61
"11/7/2022 8:00",41.62
"11/7/2022 9:00",34.15
"11/7/2022 10:00",31.03
"11/7/2022 11:00",17.54
"11/7/2022 12:00",15.6
"11/7/2022 13:00",15.52
"11/7/2022 14:00",15.42
"11/7/2022 15:00",14.68
"11/7/2022 16:00",13.28
"11/7/2022 17:00",13.47
"11/7/2022 18:00",20.58
"11/7/2022 19:00",20.42
"11/7/2022 20:00",22.81
"11/7/2022 21:00",27.26
"11/7/2022 22:00",38.42
"11/7/2022 23:00",46.55
"12/7/2022 0:00",43.31
"12/7/2022 1:00",34.13
"12/7/2022 2:00",33.83
"12/7/2022 3:00",36.59
"12/7/2022 4:00",39.72
"12/7/2022 5:00",51.23
"12/7/2022 6:00",65.51
"12/7/2022 7:00",54.9
"12/7/2022 8:00",45.56
"12/7/2022 9:00",32.83
"12/7/2022 10:00",29.96
"12/7/2022 11:00",23.38
"12/7/2022 12:00",16.65
"12/7/2022 13:00",23.24
"12/7/2022 14:00",17.08
"12/7/2022 15:00",30.06
"12/7/2022 16:00",30.71
"12/7/2022 17:00",35.44
"12/7/2022 18:00",35.83
"12/7/2022 19:00",36.57
"12/7/2022 20:00",36.85
"12/7/2022 21:00",34.77
"12/7/2022 22:00",28.32
"12/7/2022 23:00",42.53
"13/7/2022 0:00",43.02
"13/7/2022 1:00",26.51
"13/7/2022 2:00",26.98
"13/7/2022 3:00",22.78
"13/7/2022 4:00",19.3
"13/7/2022 5:00",17.83
"13/7/2022 6:00",23.49
"13/7/2022 7:00",25.02
"13/7/2022 8:00",26.64
