"Category","PM<sub>2.5</sub> particulates"
"1/7/2021 9:00",6.97
"1/7/2021 10:00",8.95
"1/7/2021 11:00",9.67
"1/7/2021 12:00",9.13
"1/7/2021 13:00",8.38
"1/7/2021 14:00",8.1
"1/7/2021 15:00",8.95
"1/7/2021 16:00",7.49
"1/7/2021 17:00",7.34
"1/7/2021 18:00",7.04
"1/7/2021 19:00",7.73
"1/7/2021 20:00",8.04
"1/7/2021 21:00",8.57
"1/7/2021 22:00",8.62
"1/7/2021 23:00",9.89
"2/7/2021 0:00",8.25
"2/7/2021 1:00",13.35
"2/7/2021 2:00",14.33
"2/7/2021 3:00",15.41
"2/7/2021 4:00",16.14
"2/7/2021 5:00",16.53
"2/7/2021 6:00",18.15
"2/7/2021 7:00",19.02
"2/7/2021 8:00",18.1
"2/7/2021 9:00",18.35
"2/7/2021 10:00",17.82
"2/7/2021 11:00",16.8
"2/7/2021 12:00",15.69
"2/7/2021 13:00",16.1
"2/7/2021 14:00",14.17
"2/7/2021 15:00",10.13
"2/7/2021 16:00",9.1
"2/7/2021 17:00",9.54
"2/7/2021 18:00",10.64
"2/7/2021 19:00",12.69
"2/7/2021 20:00",15.25
"2/7/2021 21:00",13.3
"2/7/2021 22:00",13.51
"2/7/2021 23:00",12.65
"3/7/2021 0:00",12.41
"3/7/2021 1:00",13.53
"3/7/2021 2:00",11.46
"3/7/2021 3:00",9.26
"3/7/2021 4:00",9.73
"3/7/2021 5:00",10.73
"3/7/2021 6:00",12.74
"3/7/2021 7:00",17.49
"3/7/2021 8:00",26.68
"3/7/2021 9:00",24.26
"3/7/2021 10:00",20.2
"3/7/2021 11:00",16.85
"3/7/2021 12:00",17.53
"3/7/2021 13:00",12.6
"3/7/2021 14:00",10.59
"3/7/2021 15:00",8.79
"3/7/2021 16:00",8.14
"3/7/2021 17:00",5.99
"3/7/2021 18:00",5.96
"3/7/2021 19:00",6.97
"3/7/2021 20:00",7.4
"3/7/2021 21:00",5.79
"3/7/2021 22:00",6.04
"3/7/2021 23:00",6.93
"4/7/2021 0:00",8.05
"4/7/2021 1:00",7.44
"4/7/2021 2:00",7.76
"4/7/2021 3:00",7.77
"4/7/2021 4:00",8.1
"4/7/2021 5:00",8.19
"4/7/2021 6:00",8.57
"4/7/2021 7:00",7.17
"4/7/2021 8:00",6.31
"4/7/2021 9:00",4.67
"4/7/2021 10:00",5.11
"4/7/2021 11:00",5.6
"4/7/2021 12:00",5.72
"4/7/2021 13:00",4.96
"4/7/2021 14:00",4.69
"4/7/2021 15:00",4.44
"4/7/2021 16:00",4.53
"4/7/2021 17:00",4.37
"4/7/2021 18:00",5.84
"4/7/2021 19:00",5.67
"4/7/2021 20:00",5.32
"4/7/2021 21:00",6.83
"4/7/2021 22:00",6.95
"4/7/2021 23:00",7.89
"5/7/2021 0:00",8.89
"5/7/2021 1:00",9.05
"5/7/2021 2:00",8.84
"5/7/2021 3:00",8.81
"5/7/2021 4:00",9.21
"5/7/2021 5:00",9.25
"5/7/2021 6:00",9.61
"5/7/2021 7:00",8.07
"5/7/2021 8:00",7.31
"5/7/2021 9:00",6.86
"5/7/2021 10:00",6.54
"5/7/2021 11:00",5.83
"5/7/2021 12:00",6.2
"5/7/2021 13:00",5.79
"5/7/2021 14:00",5.49
"5/7/2021 15:00",6.25
"5/7/2021 16:00",5.48
"5/7/2021 17:00",5.37
"5/7/2021 18:00",4.8
"5/7/2021 19:00",5.51
"5/7/2021 20:00",5.92
"5/7/2021 21:00",5.72
"5/7/2021 22:00",5.6
"5/7/2021 23:00",5.24
"6/7/2021 0:00",4.29
"6/7/2021 1:00",1.35
"6/7/2021 2:00",2.74
"6/7/2021 3:00",3.68
"6/7/2021 4:00",3.54
"6/7/2021 5:00",4.13
"6/7/2021 6:00",3.41
"6/7/2021 7:00",4.21
"6/7/2021 8:00",3.26
"6/7/2021 9:00",2.64
"6/7/2021 10:00",2.95
"6/7/2021 11:00",3.44
"6/7/2021 12:00",3.81
"6/7/2021 13:00",4.54
"6/7/2021 14:00",6.37
"6/7/2021 15:00",5.87
"6/7/2021 16:00",5.7
"6/7/2021 17:00",6.5
"6/7/2021 18:00",11.58
"6/7/2021 19:00",12.34
"6/7/2021 20:00",10.27
"6/7/2021 21:00",8.44
"6/7/2021 22:00",9
"6/7/2021 23:00",31.53
"7/7/2021 0:00",9.85
"7/7/2021 1:00",10.15
"7/7/2021 2:00",10.74
"7/7/2021 3:00",11.19
"7/7/2021 4:00",10.62
"7/7/2021 5:00",15.54
"7/7/2021 6:00",15.2
"7/7/2021 7:00",16.6
"7/7/2021 8:00",16.31
"7/7/2021 9:00",13.39
"7/7/2021 10:00",18.46
"7/7/2021 11:00",13.94
"7/7/2021 12:00",14.41
"7/7/2021 13:00",10.58
"7/7/2021 14:00",10.22
"7/7/2021 15:00",10.61
"7/7/2021 16:00",12.25
"7/7/2021 17:00",10.64
"7/7/2021 18:00",10.19
"7/7/2021 19:00",12.31
"7/7/2021 20:00",12.57
"7/7/2021 21:00",12.91
"7/7/2021 22:00",13.17
"7/7/2021 23:00",13.08
"8/7/2021 0:00",16.14
"8/7/2021 1:00",15.73
"8/7/2021 2:00",17.2
"8/7/2021 3:00",19.98
"8/7/2021 4:00",20.01
"8/7/2021 5:00",23
"8/7/2021 6:00",24
"8/7/2021 7:00",19.21
"8/7/2021 8:00",20.33
"8/7/2021 9:00",14.66
"8/7/2021 10:00",11.07
"8/7/2021 11:00",12.77
"8/7/2021 12:00",15.63
"8/7/2021 13:00",8.05
"8/7/2021 14:00",9.06
"8/7/2021 15:00",9.25
"8/7/2021 16:00",9.2
"8/7/2021 17:00",12.63
"8/7/2021 18:00",16.73
"8/7/2021 19:00",13.41
"8/7/2021 20:00",15.37
"8/7/2021 21:00",16.44
"8/7/2021 22:00",18.38
"8/7/2021 23:00",18.85
"9/7/2021 0:00",21.35
"9/7/2021 1:00",6.75
"9/7/2021 2:00",6.95
"9/7/2021 3:00",7.06
"9/7/2021 4:00",7.25
"9/7/2021 5:00",7.17
"9/7/2021 6:00",7.01
"9/7/2021 7:00",6.84
"9/7/2021 8:00",6.63
"9/7/2021 9:00",6.54
"9/7/2021 10:00",6.36
"9/7/2021 11:00",6.59
"9/7/2021 12:00",6.08
"9/7/2021 13:00",6.4
"9/7/2021 14:00",6.2
"9/7/2021 15:00",6.02
"9/7/2021 16:00",5.74
"9/7/2021 17:00",5.84
"9/7/2021 18:00",5.67
"9/7/2021 19:00",5.52
"9/7/2021 20:00",5.38
"9/7/2021 21:00",5.34
"9/7/2021 22:00",5.3
"9/7/2021 23:00",5.23
"10/7/2021 0:00",5.16
"10/7/2021 1:00",4.9
"10/7/2021 2:00",5.26
"10/7/2021 3:00",5.38
"10/7/2021 4:00",5.7
"10/7/2021 5:00",5.92
"10/7/2021 6:00",6.02
"10/7/2021 7:00",5.76
"10/7/2021 8:00",5.5
"10/7/2021 9:00",6.06
"10/7/2021 10:00",5.27
"10/7/2021 11:00",6.03
"10/7/2021 12:00",6.32
"10/7/2021 13:00",6.17
"10/7/2021 14:00",8.56
"10/7/2021 15:00",9.32
"10/7/2021 16:00",10.21
"10/7/2021 17:00",7.7
"10/7/2021 18:00",7.93
"10/7/2021 19:00",9.65
"10/7/2021 20:00",11.27
"10/7/2021 21:00",10
"10/7/2021 22:00",12.08
"10/7/2021 23:00",11.13
"11/7/2021 0:00",11.58
"11/7/2021 1:00",10.22
"11/7/2021 2:00",9.13
"11/7/2021 3:00",10.54
"11/7/2021 4:00",11.12
"11/7/2021 5:00",12.22
"11/7/2021 6:00",12.6
"11/7/2021 7:00",11.11
"11/7/2021 8:00",9.06
"11/7/2021 9:00",6.72
"11/7/2021 10:00",6.14
"11/7/2021 11:00",6.44
"11/7/2021 12:00",6.43
