"Category","Nitrogen dioxide"
"23/6/2024 17:00",6.5
"23/6/2024 18:00",6.97
"23/6/2024 19:00",8.18
"23/6/2024 20:00",9.46
"23/6/2024 21:00",9.93
"23/6/2024 22:00",9.86
"23/6/2024 23:00",10.47
"24/6/2024 0:00",10.33
"24/6/2024 1:00",33.89
"24/6/2024 2:00",36.36
"24/6/2024 3:00",39.84
"24/6/2024 4:00",40.76
"24/6/2024 5:00",42.18
"24/6/2024 6:00",40.87
"24/6/2024 7:00",39.64
"24/6/2024 8:00",36.07
"24/6/2024 9:00",30.32
"24/6/2024 10:00",24.58
"24/6/2024 11:00",23.04
"24/6/2024 12:00",20.79
"24/6/2024 13:00",15.75
"24/6/2024 14:00",11.02
"24/6/2024 15:00",9.9
"24/6/2024 16:00",9.59
"24/6/2024 17:00",12.18
"24/6/2024 18:00",16.45
"24/6/2024 19:00",17.58
"24/6/2024 20:00",22.52
"24/6/2024 21:00",30.64
"24/6/2024 22:00",38.9
"24/6/2024 23:00",49.19
"25/6/2024 0:00",52.23
"25/6/2024 1:00",52.17
"25/6/2024 2:00",51.66
"25/6/2024 3:00",51.54
"25/6/2024 4:00",52.45
"25/6/2024 5:00",53.27
"25/6/2024 6:00",50.21
"25/6/2024 7:00",46.07
"25/6/2024 8:00",40.84
"25/6/2024 9:00",29.28
"25/6/2024 10:00",17.58
"25/6/2024 11:00",14.77
"25/6/2024 12:00",23.66
"25/6/2024 13:00",23
"25/6/2024 14:00",18.94
"25/6/2024 15:00",22.34
"25/6/2024 16:00",28.48
"25/6/2024 17:00",32.53
"25/6/2024 18:00",33.61
"25/6/2024 19:00",34.76
"25/6/2024 20:00",37.8
"25/6/2024 21:00",40.72
"25/6/2024 22:00",45.46
"25/6/2024 23:00",46.77
"26/6/2024 0:00",49.79
"26/6/2024 1:00",41.04
"26/6/2024 2:00",40.74
"26/6/2024 3:00",41.47
"26/6/2024 4:00",41.99
"26/6/2024 5:00",40.94
"26/6/2024 6:00",38.11
"26/6/2024 7:00",35.69
"26/6/2024 8:00",33.49
"26/6/2024 9:00",29.25
"26/6/2024 10:00",19.71
"26/6/2024 11:00",16.07
"26/6/2024 12:00",11.52
"26/6/2024 13:00",10.16
"26/6/2024 14:00",10.67
"26/6/2024 15:00",14.27
"26/6/2024 16:00",13.08
"26/6/2024 17:00",14.45
"26/6/2024 18:00",17.06
"26/6/2024 19:00",20.43
"26/6/2024 20:00",25.09
"26/6/2024 21:00",25.34
"26/6/2024 22:00",28.57
"26/6/2024 23:00",30.14
"27/6/2024 0:00",30.49
"27/6/2024 1:00",19.05
"27/6/2024 2:00",20.1
"27/6/2024 3:00",19.67
"27/6/2024 4:00",19.32
"27/6/2024 5:00",18.11
"27/6/2024 6:00",18.31
"27/6/2024 7:00",19.01
"27/6/2024 8:00",18.18
"27/6/2024 9:00",15.22
"27/6/2024 10:00",8.26
"27/6/2024 11:00",8.1
"27/6/2024 12:00",9.18
"27/6/2024 13:00",8.46
"27/6/2024 14:00",6.38
"27/6/2024 15:00",6.15
"27/6/2024 16:00",7.17
"27/6/2024 17:00",7.56
"27/6/2024 18:00",8.66
"27/6/2024 19:00",9
"27/6/2024 20:00",8.71
"27/6/2024 21:00",10.86
"27/6/2024 22:00",10.67
"27/6/2024 23:00",11.73
"28/6/2024 0:00",12.61
"28/6/2024 1:00",4.78
"28/6/2024 2:00",3.54
"28/6/2024 3:00",4.13
"28/6/2024 4:00",5.1
"28/6/2024 5:00",6.44
"28/6/2024 6:00",8.58
"28/6/2024 7:00",8.81
"28/6/2024 8:00",6.85
"28/6/2024 9:00",5.49
"28/6/2024 10:00",4.76
"28/6/2024 11:00",6.34
"28/6/2024 12:00",6.5
"28/6/2024 13:00",4.39
"28/6/2024 14:00",3.58
"28/6/2024 15:00",2.98
"28/6/2024 16:00",4.83
"28/6/2024 17:00",5.61
"28/6/2024 18:00",5.87
"28/6/2024 19:00",7.73
"28/6/2024 20:00",7.93
"28/6/2024 21:00",11.34
"28/6/2024 22:00",16.08
"28/6/2024 23:00",19.81
"29/6/2024 0:00",20.26
"29/6/2024 1:00",28.98
"29/6/2024 2:00",30.5
"29/6/2024 3:00",29
"29/6/2024 4:00",30.26
"29/6/2024 5:00",30.09
"29/6/2024 6:00",27.12
"29/6/2024 7:00",25.11
"29/6/2024 8:00",23.49
"29/6/2024 9:00",20.07
"29/6/2024 10:00",10.75
"29/6/2024 11:00",8.57
"29/6/2024 12:00",8.85
"29/6/2024 13:00",9.32
"29/6/2024 14:00",11.52
"29/6/2024 15:00",14.13
"29/6/2024 16:00",16.11
"29/6/2024 17:00",15.09
"29/6/2024 18:00",16.89
"29/6/2024 19:00",18.61
"29/6/2024 20:00",18.59
"29/6/2024 21:00",18.71
"29/6/2024 22:00",22.09
"29/6/2024 23:00",31.67
"30/6/2024 0:00",32.9
"30/6/2024 1:00",21.84
"30/6/2024 2:00",21.26
"30/6/2024 3:00",20.01
"30/6/2024 4:00",18.23
"30/6/2024 5:00",19.78
"30/6/2024 6:00",22.01
"30/6/2024 7:00",20.52
"30/6/2024 8:00",16.58
"30/6/2024 9:00",16.61
"30/6/2024 10:00",16.43
"30/6/2024 11:00",20.85
"30/6/2024 12:00",15.62
"30/6/2024 13:00",9.78
"30/6/2024 14:00",5.52
"30/6/2024 15:00",8.64
"30/6/2024 16:00",11.97
"30/6/2024 17:00",14.67
"30/6/2024 18:00",15.42
"30/6/2024 19:00",16.27
"30/6/2024 20:00",15.88
"30/6/2024 21:00",17.89
"30/6/2024 22:00",18.18
"30/6/2024 23:00",18.51
"1/7/2024 0:00",18.02
"1/7/2024 1:00",14.31
"1/7/2024 2:00",13.81
"1/7/2024 3:00",13.66
"1/7/2024 4:00",13.7
"1/7/2024 5:00",13.9
"1/7/2024 6:00",14.1
"1/7/2024 7:00",15.14
"1/7/2024 8:00",14.28
"1/7/2024 9:00",10.1
"1/7/2024 10:00",7.5
"1/7/2024 11:00",10.01
"1/7/2024 12:00",8.72
"1/7/2024 13:00",11.17
"1/7/2024 14:00",10.98
"1/7/2024 15:00",10.95
"1/7/2024 16:00",13.05
"1/7/2024 17:00",16.01
"1/7/2024 18:00",15.44
"1/7/2024 19:00",12.17
"1/7/2024 20:00",13.06
"1/7/2024 21:00",13.75
"1/7/2024 22:00",14.45
"1/7/2024 23:00",16.57
"2/7/2024 0:00",16.11
"2/7/2024 1:00",26.98
"2/7/2024 2:00",26.28
"2/7/2024 3:00",16.98
"2/7/2024 4:00",11.69
"2/7/2024 5:00",18.46
"2/7/2024 6:00",19.1
"2/7/2024 7:00",19.35
"2/7/2024 8:00",19.72
"2/7/2024 9:00",20.72
"2/7/2024 10:00",20.49
"2/7/2024 11:00",22.11
"2/7/2024 12:00",27.55
"2/7/2024 13:00",16.73
"2/7/2024 14:00",15.16
"2/7/2024 15:00",10.75
"2/7/2024 16:00",8.46
"2/7/2024 17:00",9.56
"2/7/2024 18:00",12.06
"2/7/2024 19:00",17.14
"2/7/2024 20:00",22.47
"2/7/2024 21:00",28.11
"2/7/2024 22:00",32.83
"2/7/2024 23:00",33.69
"3/7/2024 0:00",30.41
"3/7/2024 1:00",21.44
"3/7/2024 2:00",20.25
"3/7/2024 3:00",24.41
"3/7/2024 4:00",28.34
"3/7/2024 5:00",28.84
"3/7/2024 6:00",28.77
"3/7/2024 7:00",28.65
"3/7/2024 8:00",31.41
"3/7/2024 9:00",25.58
"3/7/2024 10:00",14.79
"3/7/2024 11:00",16.85
"3/7/2024 12:00",17.54
"3/7/2024 13:00",13.46
"3/7/2024 14:00",11.46
"3/7/2024 15:00",8.14
"3/7/2024 16:00",9.17
"3/7/2024 17:00",12.65
"3/7/2024 18:00",15.89
"3/7/2024 19:00",17.27
"3/7/2024 20:00",17.86
"3/7/2024 21:00",18.84
"3/7/2024 22:00",19.47
"3/7/2024 23:00",16.68
"4/7/2024 0:00",17.68
"4/7/2024 1:00",5.85
"4/7/2024 2:00",5.95
"4/7/2024 3:00",6.58
"4/7/2024 4:00",6.84
"4/7/2024 5:00",6.66
"4/7/2024 6:00",6.9
"4/7/2024 7:00",7.15
"4/7/2024 8:00",6.88
"4/7/2024 9:00",6.99
"4/7/2024 10:00",7.49
"4/7/2024 11:00",7.43
"4/7/2024 12:00",6.74
"4/7/2024 13:00",6.45
"4/7/2024 14:00",5.86
"4/7/2024 15:00",5.4
"4/7/2024 16:00",5.07
"4/7/2024 17:00",4.62
"4/7/2024 18:00",4.79
"4/7/2024 19:00",5.08
"4/7/2024 20:00",5.53
"4/7/2024 21:00",5.64
"4/7/2024 22:00",5.42
"4/7/2024 23:00",5.44
"5/7/2024 0:00",5.45
"5/7/2024 1:00",4.94
"5/7/2024 2:00",3.28
"5/7/2024 3:00",4.82
"5/7/2024 4:00",6.48
"5/7/2024 5:00",9.15
"5/7/2024 6:00",13.74
"5/7/2024 7:00",15.6
"5/7/2024 8:00",14.52
"5/7/2024 9:00",13.67
"5/7/2024 10:00",12.5
"5/7/2024 11:00",11.08
