"Category","PM<sub>2.5</sub> particulates"
"23/6/2024 17:00",3.58
"23/6/2024 18:00",3.56
"23/6/2024 19:00",3.68
"23/6/2024 20:00",4.04
"23/6/2024 21:00",4.61
"23/6/2024 22:00",5.3
"23/6/2024 23:00",5.82
"24/6/2024 0:00",6.38
"24/6/2024 1:00",6.09
"24/6/2024 2:00",7.6
"24/6/2024 3:00",7.04
"24/6/2024 4:00",6.78
"24/6/2024 5:00",6.69
"24/6/2024 6:00",6.61
"24/6/2024 7:00",6.94
"24/6/2024 8:00",6.29
"24/6/2024 9:00",5.62
"24/6/2024 10:00",5.37
"24/6/2024 11:00",5.33
"24/6/2024 12:00",5.27
"24/6/2024 13:00",5.42
"24/6/2024 14:00",5.63
"24/6/2024 15:00",5.47
"24/6/2024 16:00",5.49
"24/6/2024 17:00",5.4
"24/6/2024 18:00",5.24
"24/6/2024 19:00",5.23
"24/6/2024 20:00",4.96
"24/6/2024 21:00",4.74
"24/6/2024 22:00",4.44
"24/6/2024 23:00",4.42
"25/6/2024 0:00",4.74
"25/6/2024 1:00",6.99
"25/6/2024 2:00",7.53
"25/6/2024 3:00",7.89
"25/6/2024 4:00",7.92
"25/6/2024 5:00",8.25
"25/6/2024 6:00",8.62
"25/6/2024 7:00",8.38
"25/6/2024 8:00",7.76
"25/6/2024 9:00",7.59
"25/6/2024 10:00",7.56
"25/6/2024 11:00",7.79
"25/6/2024 12:00",8.33
"25/6/2024 13:00",9.69
"25/6/2024 14:00",9.46
"25/6/2024 15:00",8.91
"25/6/2024 16:00",8.44
"25/6/2024 17:00",8.68
"25/6/2024 18:00",8.34
"25/6/2024 19:00",7.68
"25/6/2024 20:00",7.49
"25/6/2024 21:00",7.45
"25/6/2024 22:00",8.17
"25/6/2024 23:00",9.2
"26/6/2024 0:00",10.76
"26/6/2024 1:00",12.81
"26/6/2024 2:00",14.12
"26/6/2024 3:00",14.14
"26/6/2024 4:00",14.96
"26/6/2024 5:00",14.26
"26/6/2024 6:00",12.79
"26/6/2024 7:00",11.72
"26/6/2024 8:00",10.46
"26/6/2024 9:00",9.05
"26/6/2024 10:00",8.5
"26/6/2024 11:00",9.74
"26/6/2024 12:00",11.32
"26/6/2024 13:00",11.88
"26/6/2024 14:00",11.99
"26/6/2024 15:00",11.71
"26/6/2024 16:00",11.24
"26/6/2024 17:00",10.81
"26/6/2024 18:00",10.48
"26/6/2024 19:00",10.79
"26/6/2024 20:00",11.94
"26/6/2024 21:00",11.95
"26/6/2024 22:00",12.33
"26/6/2024 23:00",12.48
"27/6/2024 0:00",12.83
"27/6/2024 1:00",12.1
"27/6/2024 2:00",12.87
"27/6/2024 3:00",13.48
"27/6/2024 4:00",13.97
"27/6/2024 5:00",14.57
"27/6/2024 6:00",14.64
"27/6/2024 7:00",14.73
"27/6/2024 8:00",13.2
"27/6/2024 9:00",10.64
"27/6/2024 10:00",7.92
"27/6/2024 11:00",6.1
"27/6/2024 12:00",5.2
"27/6/2024 13:00",5.23
"27/6/2024 14:00",5.03
"27/6/2024 15:00",5.26
"27/6/2024 16:00",5.28
"27/6/2024 17:00",4.99
"27/6/2024 18:00",4.89
"27/6/2024 19:00",4.72
"27/6/2024 20:00",4.46
"27/6/2024 21:00",4.38
"27/6/2024 22:00",4.53
"27/6/2024 23:00",4.93
"28/6/2024 0:00",4.83
"28/6/2024 1:00",5.94
"28/6/2024 2:00",6.43
"28/6/2024 3:00",6.54
"28/6/2024 4:00",6.46
"28/6/2024 5:00",6.58
"28/6/2024 6:00",6.94
"28/6/2024 7:00",6.94
"28/6/2024 8:00",5.82
"28/6/2024 9:00",5
"28/6/2024 10:00",4.97
"28/6/2024 11:00",5.44
"28/6/2024 12:00",5.81
"28/6/2024 13:00",5.54
"28/6/2024 14:00",5.61
"28/6/2024 15:00",5.22
"28/6/2024 16:00",5.4
"28/6/2024 17:00",4.85
"28/6/2024 18:00",4.37
"28/6/2024 19:00",4.96
"28/6/2024 20:00",5.13
"28/6/2024 21:00",5.55
"28/6/2024 22:00",5.9
"28/6/2024 23:00",6.77
"29/6/2024 0:00",7.62
"29/6/2024 1:00",6.12
"29/6/2024 2:00",6.6
"29/6/2024 3:00",6.66
"29/6/2024 4:00",6.94
"29/6/2024 5:00",7.08
