"Category","Nitrogen dioxide"
"26/2/2023 17:00",9.31
"26/2/2023 18:00",19.65
"26/2/2023 19:00",24.1
"26/2/2023 20:00",26.66
"26/2/2023 21:00",24.63
"26/2/2023 22:00",23.16
"26/2/2023 23:00",21.66
"27/2/2023 0:00",42.98
"27/2/2023 1:00",39.17
"27/2/2023 2:00",38.62
"27/2/2023 3:00",35.22
"27/2/2023 4:00",37.68
"27/2/2023 5:00",39.92
"27/2/2023 6:00",45.2
"27/2/2023 7:00",50.76
"27/2/2023 8:00",50.84
"27/2/2023 9:00",46.49
"27/2/2023 10:00",30.64
"27/2/2023 11:00",21.74
"27/2/2023 12:00",17.07
"27/2/2023 13:00",24.2
"27/2/2023 14:00",27.99
"27/2/2023 15:00",28.43
"27/2/2023 16:00",29.53
"27/2/2023 17:00",35.28
"27/2/2023 18:00",42.68
"27/2/2023 19:00",33.01
"27/2/2023 20:00",30.24
"27/2/2023 21:00",36.3
"27/2/2023 22:00",41.09
"27/2/2023 23:00",43.35
"28/2/2023 0:00",39.92
"28/2/2023 1:00",38.44
"28/2/2023 2:00",34.71
"28/2/2023 3:00",32.95
"28/2/2023 4:00",28.42
"28/2/2023 5:00",34.79
"28/2/2023 6:00",41.98
"28/2/2023 7:00",45.98
"28/2/2023 8:00",49.58
"28/2/2023 9:00",37.17
"28/2/2023 10:00",25.1
"28/2/2023 11:00",27.64
"28/2/2023 12:00",27.15
"28/2/2023 13:00",23.43
"28/2/2023 14:00",20.63
"28/2/2023 15:00",24.53
"28/2/2023 16:00",30.22
"28/2/2023 17:00",31.74
"28/2/2023 18:00",29.59
"28/2/2023 19:00",25.52
"28/2/2023 20:00",17.14
"28/2/2023 21:00",20.97
"28/2/2023 22:00",20.02
"28/2/2023 23:00",28.16
"1/3/2023 0:00",24.39
"1/3/2023 1:00",26.7
"1/3/2023 2:00",21.49
"1/3/2023 3:00",21.93
"1/3/2023 4:00",22.78
"1/3/2023 5:00",22.61
"1/3/2023 6:00",27.23
"1/3/2023 7:00",33.7
"1/3/2023 8:00",29.46
"1/3/2023 9:00",22.18
"1/3/2023 10:00",11.63
"1/3/2023 11:00",17.67
"1/3/2023 12:00",21.42
"1/3/2023 13:00",17.03
"1/3/2023 14:00",16.02
"1/3/2023 15:00",20.8
"1/3/2023 16:00",24.51
"1/3/2023 17:00",30.42
"1/3/2023 18:00",33.71
"1/3/2023 19:00",38.39
"1/3/2023 20:00",36.2
"1/3/2023 21:00",28
"1/3/2023 22:00",20.77
"1/3/2023 23:00",17.66
"2/3/2023 0:00",24.42
"2/3/2023 1:00",25.7
"2/3/2023 2:00",26.48
"2/3/2023 3:00",26.83
"2/3/2023 4:00",29.34
"2/3/2023 5:00",34.94
"2/3/2023 6:00",39.27
"2/3/2023 7:00",44.33
"2/3/2023 8:00",40.83
"2/3/2023 9:00",37.7
"2/3/2023 10:00",24.35
"2/3/2023 11:00",18.97
"2/3/2023 12:00",17.84
"2/3/2023 13:00",16.71
"2/3/2023 14:00",15.51
"2/3/2023 15:00",21.07
"2/3/2023 16:00",28.12
"2/3/2023 17:00",34.85
"2/3/2023 18:00",42.76
"2/3/2023 19:00",44.43
"2/3/2023 20:00",42.55
"2/3/2023 21:00",39.88
"2/3/2023 22:00",37.26
"2/3/2023 23:00",30.9
"3/3/2023 0:00",17.97
"3/3/2023 1:00",13.59
"3/3/2023 2:00",15.69
"3/3/2023 3:00",15.22
"3/3/2023 4:00",14.18
"3/3/2023 5:00",19.44
"3/3/2023 6:00",24
"3/3/2023 7:00",31.05
"3/3/2023 8:00",32.85
"3/3/2023 9:00",29.16
"3/3/2023 10:00",19.34
"3/3/2023 11:00",11.27
"3/3/2023 12:00",12.31
"3/3/2023 13:00",19.63
"3/3/2023 14:00",23.37
"3/3/2023 15:00",21.45
"3/3/2023 16:00",28.75
"3/3/2023 17:00",28.71
"3/3/2023 18:00",38.28
"3/3/2023 19:00",41.15
"3/3/2023 20:00",29.36
"3/3/2023 21:00",21.58
"3/3/2023 22:00",15.53
"3/3/2023 23:00",14.28
"4/3/2023 0:00",8.5
"4/3/2023 1:00",6.76
"4/3/2023 2:00",6.69
"4/3/2023 3:00",5.82
"4/3/2023 4:00",9.16
"4/3/2023 5:00",14.01
"4/3/2023 6:00",15.02
"4/3/2023 7:00",16.23
"4/3/2023 8:00",15.38
"4/3/2023 9:00",14.82
"4/3/2023 10:00",13.2
"4/3/2023 11:00",12.69
"4/3/2023 12:00",13.72
"4/3/2023 13:00",10.42
"4/3/2023 14:00",12.14
"4/3/2023 15:00",13.83
"4/3/2023 16:00",15.93
"4/3/2023 17:00",17.29
"4/3/2023 18:00",18.85
"4/3/2023 19:00",19.94
"4/3/2023 20:00",22.68
"4/3/2023 21:00",27.67
"4/3/2023 22:00",30.54
"4/3/2023 23:00",29.27
"5/3/2023 0:00",34.22
"5/3/2023 1:00",31.87
"5/3/2023 2:00",27.63
"5/3/2023 3:00",28.76
"5/3/2023 4:00",28.81
"5/3/2023 5:00",27.87
"5/3/2023 6:00",26.02
"5/3/2023 7:00",25.71
"5/3/2023 8:00",21.08
"5/3/2023 9:00",17.81
"5/3/2023 10:00",17.54
"5/3/2023 11:00",17.21
"5/3/2023 12:00",16.99
"5/3/2023 13:00",21.7
"5/3/2023 14:00",24.79
"5/3/2023 15:00",21.5
"5/3/2023 16:00",25.41
"5/3/2023 17:00",34
"5/3/2023 18:00",36.31
"5/3/2023 19:00",33.45
"5/3/2023 20:00",34.93
"5/3/2023 21:00",44.45
"5/3/2023 22:00",62.62
"5/3/2023 23:00",61.02
