"Category","PM<sub>2.5</sub> particulates"
"26/2/2023 17:00",4.64
"26/2/2023 18:00",5.96
"26/2/2023 19:00",6.57
"26/2/2023 20:00",8.36
"26/2/2023 21:00",6.37
"26/2/2023 22:00",6.19
"26/2/2023 23:00",5.87
"27/2/2023 0:00",6.65
"27/2/2023 1:00",6.46
"27/2/2023 2:00",6.76
"27/2/2023 3:00",7.22
"27/2/2023 4:00",8.04
"27/2/2023 5:00",7.44
"27/2/2023 6:00",7.37
"27/2/2023 7:00",7.38
"27/2/2023 8:00",7.06
"27/2/2023 9:00",6.98
"27/2/2023 10:00",6.08
"27/2/2023 11:00",5.77
"27/2/2023 12:00",5.23
"27/2/2023 13:00",5.3
"27/2/2023 14:00",6.16
"27/2/2023 15:00",6.25
"27/2/2023 16:00",5.82
"27/2/2023 17:00",6.58
"27/2/2023 18:00",6.87
"27/2/2023 19:00",5.84
"27/2/2023 20:00",5.77
"27/2/2023 21:00",6.64
"27/2/2023 22:00",8.03
"27/2/2023 23:00",7.05
"28/2/2023 0:00",5.28
"28/2/2023 1:00",5.97
"28/2/2023 2:00",5.69
"28/2/2023 3:00",6.27
"28/2/2023 4:00",8.09
"28/2/2023 5:00",10.42
"28/2/2023 6:00",10.51
"28/2/2023 7:00",10.98
"28/2/2023 8:00",9.28
"28/2/2023 9:00",5.52
"28/2/2023 10:00",3.94
"28/2/2023 11:00",4.81
"28/2/2023 12:00",5.24
"28/2/2023 13:00",4.18
"28/2/2023 14:00",4.04
"28/2/2023 15:00",3.88
"28/2/2023 16:00",3.65
"28/2/2023 17:00",3.69
"28/2/2023 18:00",3.83
"28/2/2023 19:00",4.47
"28/2/2023 20:00",4.57
"28/2/2023 21:00",5.77
"28/2/2023 22:00",5.9
"28/2/2023 23:00",6.56
"1/3/2023 0:00",5.97
"1/3/2023 1:00",5.93
"1/3/2023 2:00",4.94
"1/3/2023 3:00",4.28
"1/3/2023 4:00",4.18
"1/3/2023 5:00",4.12
"1/3/2023 6:00",4.19
"1/3/2023 7:00",4.34
"1/3/2023 8:00",4.55
"1/3/2023 9:00",3.71
"1/3/2023 10:00",3.14
"1/3/2023 11:00",3.71
"1/3/2023 12:00",4.44
"1/3/2023 13:00",3.78
"1/3/2023 14:00",3.72
"1/3/2023 15:00",3.9
