"Category","Nitrogen dioxide"
"11/6/2021 15:00",16.22
"11/6/2021 16:00",14.92
"11/6/2021 17:00",15.54
"11/6/2021 18:00",13.47
"11/6/2021 19:00",11.7
"11/6/2021 20:00",11.37
"11/6/2021 21:00",12.07
"11/6/2021 22:00",11.81
"11/6/2021 23:00",9.14
"12/6/2021 0:00",7.56
"12/6/2021 1:00",11.68
"12/6/2021 2:00",14.68
"12/6/2021 3:00",10.27
"12/6/2021 4:00",9.97
"12/6/2021 5:00",10.7
"12/6/2021 6:00",10.51
"12/6/2021 7:00",10.59
"12/6/2021 8:00",9.77
"12/6/2021 9:00",10.06
"12/6/2021 10:00",9.25
"12/6/2021 11:00",12.26
"12/6/2021 12:00",17.97
"12/6/2021 13:00",23.02
"12/6/2021 14:00",25.63
"12/6/2021 15:00",27.41
"12/6/2021 16:00",27.69
"12/6/2021 17:00",25.1
"12/6/2021 18:00",21.84
"12/6/2021 19:00",20.71
"12/6/2021 20:00",20.96
"12/6/2021 21:00",27.21
"12/6/2021 22:00",38.74
"12/6/2021 23:00",48.5
"13/6/2021 0:00",47.02
"13/6/2021 1:00",30.07
"13/6/2021 2:00",28.07
"13/6/2021 3:00",27.41
"13/6/2021 4:00",27.8
"13/6/2021 5:00",29.14
"13/6/2021 6:00",28.86
"13/6/2021 7:00",25.14
"13/6/2021 8:00",21.55
"13/6/2021 9:00",18.96
"13/6/2021 10:00",14.94
"13/6/2021 11:00",12.55
"13/6/2021 12:00",10.41
"13/6/2021 13:00",9.04
"13/6/2021 14:00",9.02
"13/6/2021 15:00",10.71
"13/6/2021 16:00",11.93
"13/6/2021 17:00",12.21
"13/6/2021 18:00",12.14
"13/6/2021 19:00",11.33
"13/6/2021 20:00",12.32
"13/6/2021 21:00",14.75
"13/6/2021 22:00",17.63
"13/6/2021 23:00",20.59
"14/6/2021 0:00",23.43
"14/6/2021 1:00",14.85
"14/6/2021 2:00",13.92
"14/6/2021 3:00",14.47
"14/6/2021 4:00",14.04
"14/6/2021 5:00",13.63
"14/6/2021 6:00",13.67
"14/6/2021 7:00",13.46
"14/6/2021 8:00",13.16
"14/6/2021 9:00",11.6
"14/6/2021 10:00",12.64
"14/6/2021 11:00",12.07
"14/6/2021 12:00",11.34
"14/6/2021 13:00",9.41
"14/6/2021 14:00",10.32
"14/6/2021 15:00",13.29
"14/6/2021 16:00",14.81
"14/6/2021 17:00",15.3
"14/6/2021 18:00",14.79
"14/6/2021 19:00",15.26
"14/6/2021 20:00",14.39
"14/6/2021 21:00",13.82
"14/6/2021 22:00",14.27
"14/6/2021 23:00",13.08
"15/6/2021 0:00",11.93
"15/6/2021 1:00",8.7
"15/6/2021 2:00",9.93
"15/6/2021 3:00",10.8
"15/6/2021 4:00",9.35
"15/6/2021 5:00",8.57
"15/6/2021 6:00",9.65
"15/6/2021 7:00",10.44
"15/6/2021 8:00",10.95
"15/6/2021 9:00",9.52
"15/6/2021 10:00",8.53
"15/6/2021 11:00",7.78
"15/6/2021 12:00",
"15/6/2021 13:00",
"15/6/2021 14:00",
"15/6/2021 15:00",
"15/6/2021 16:00",
"15/6/2021 17:00",
"15/6/2021 18:00",
"15/6/2021 19:00",
"15/6/2021 20:00",
