"Category","Nitrogen dioxide"
"30/4/2022 10:00",19.09
"30/4/2022 11:00",18.9
"30/4/2022 12:00",16.5
"30/4/2022 13:00",15.87
"30/4/2022 14:00",13.16
"30/4/2022 15:00",15.55
"30/4/2022 16:00",15.6
"30/4/2022 17:00",18.11
"30/4/2022 18:00",21.55
"30/4/2022 19:00",23.47
"30/4/2022 20:00",30.31
"30/4/2022 21:00",32.65
"30/4/2022 22:00",31.19
"30/4/2022 23:00",32.12
"1/5/2022 0:00",30.13
"1/5/2022 1:00",25.01
"1/5/2022 2:00",19.19
"1/5/2022 3:00",21.87
"1/5/2022 4:00",21.53
"1/5/2022 5:00",21.99
"1/5/2022 6:00",24.68
"1/5/2022 7:00",24.42
"1/5/2022 8:00",21.34
"1/5/2022 9:00",10.63
"1/5/2022 10:00",9.34
"1/5/2022 11:00",10.6
"1/5/2022 12:00",15.4
"1/5/2022 13:00",22.52
"1/5/2022 14:00",21.18
"1/5/2022 15:00",16.5
"1/5/2022 16:00",16.51
"1/5/2022 17:00",19.17
"1/5/2022 18:00",18.85
"1/5/2022 19:00",17.47
"1/5/2022 20:00",24.41
"1/5/2022 21:00",26.12
"1/5/2022 22:00",23.65
"1/5/2022 23:00",21.47
"2/5/2022 0:00",20.11
"2/5/2022 1:00",14.09
"2/5/2022 2:00",11.61
"2/5/2022 3:00",14.62
"2/5/2022 4:00",17.2
"2/5/2022 5:00",20.67
"2/5/2022 6:00",21.2
"2/5/2022 7:00",19.39
"2/5/2022 8:00",14.12
"2/5/2022 9:00",11.76
"2/5/2022 10:00",10.95
"2/5/2022 11:00",14.65
"2/5/2022 12:00",19.11
"2/5/2022 13:00",18.25
"2/5/2022 14:00",12.66
"2/5/2022 15:00",17.03
"2/5/2022 16:00",18.12
"2/5/2022 17:00",19.65
"2/5/2022 18:00",26.67
"2/5/2022 19:00",25.16
"2/5/2022 20:00",29.59
"2/5/2022 21:00",32.6
"2/5/2022 22:00",35.2
"2/5/2022 23:00",34.87
"3/5/2022 0:00",34.58
"3/5/2022 1:00",36.71
"3/5/2022 2:00",28.05
"3/5/2022 3:00",22.37
"3/5/2022 4:00",23.25
"3/5/2022 5:00",25.73
"3/5/2022 6:00",24.49
"3/5/2022 7:00",21.14
"3/5/2022 8:00",21.79
"3/5/2022 9:00",21.41
"3/5/2022 10:00",18.12
"3/5/2022 11:00",18.34
"3/5/2022 12:00",23.18
"3/5/2022 13:00",21.86
"3/5/2022 14:00",16.06
"3/5/2022 15:00",19.14
"3/5/2022 16:00",18.96
"3/5/2022 17:00",18.38
"3/5/2022 18:00",21.23
"3/5/2022 19:00",26.11
"3/5/2022 20:00",25.17
"3/5/2022 21:00",26.32
"3/5/2022 22:00",24.34
"3/5/2022 23:00",25.89
"4/5/2022 0:00",25.23
"4/5/2022 1:00",23.83
"4/5/2022 2:00",17.5
"4/5/2022 3:00",20.97
"4/5/2022 4:00",14.45
"4/5/2022 5:00",19.15
"4/5/2022 6:00",29.44
"4/5/2022 7:00",33.92
"4/5/2022 8:00",33.79
"4/5/2022 9:00",27.88
"4/5/2022 10:00",22.37
"4/5/2022 11:00",19.11
"4/5/2022 12:00",16.96
"4/5/2022 13:00",20.64
"4/5/2022 14:00",13.8
"4/5/2022 15:00",16.21
"4/5/2022 16:00",16.53
"4/5/2022 17:00",33.92
"4/5/2022 18:00",40.42
"4/5/2022 19:00",39.32
"4/5/2022 20:00",44.96
"4/5/2022 21:00",38.13
"4/5/2022 22:00",25.62
"4/5/2022 23:00",25.06
"5/5/2022 0:00",18.72
"5/5/2022 1:00",24.74
"5/5/2022 2:00",21.88
"5/5/2022 3:00",27.41
"5/5/2022 4:00",33.35
"5/5/2022 5:00",36.99
"5/5/2022 6:00",37.32
"5/5/2022 7:00",34.81
"5/5/2022 8:00",29.64
"5/5/2022 9:00",23.67
"5/5/2022 10:00",20.79
"5/5/2022 11:00",17.17
"5/5/2022 12:00",15.42
"5/5/2022 13:00",14.78
"5/5/2022 14:00",15.13
"5/5/2022 15:00",17.21
"5/5/2022 16:00",18.13
"5/5/2022 17:00",15.16
"5/5/2022 18:00",17.01
"5/5/2022 19:00",25.74
"5/5/2022 20:00",30.76
"5/5/2022 21:00",43.77
"5/5/2022 22:00",51.66
"5/5/2022 23:00",50.89
"6/5/2022 0:00",47.61
"6/5/2022 1:00",52.86
"6/5/2022 2:00",41.69
"6/5/2022 3:00",36.6
"6/5/2022 4:00",30.86
"6/5/2022 5:00",32.69
"6/5/2022 6:00",33.65
"6/5/2022 7:00",29.77
"6/5/2022 8:00",31.47
"6/5/2022 9:00",25.26
"6/5/2022 10:00",21.69
"6/5/2022 11:00",16.54
"6/5/2022 12:00",18.23
"6/5/2022 13:00",17.73
"6/5/2022 14:00",18.28
"6/5/2022 15:00",14.55
"6/5/2022 16:00",17.6
"6/5/2022 17:00",25.04
"6/5/2022 18:00",31.91
"6/5/2022 19:00",31.7
"6/5/2022 20:00",32.13
"6/5/2022 21:00",27.24
"6/5/2022 22:00",25.26
"6/5/2022 23:00",23.59
"7/5/2022 0:00",19.23
"7/5/2022 1:00",27.61
"7/5/2022 2:00",23.28
"7/5/2022 3:00",21.85
"7/5/2022 4:00",20.77
"7/5/2022 5:00",22.79
"7/5/2022 6:00",24.39
"7/5/2022 7:00",23.01
"7/5/2022 8:00",18.84
"7/5/2022 9:00",18.82
"7/5/2022 10:00",15.9
"7/5/2022 11:00",16.38
"7/5/2022 12:00",19.49
"7/5/2022 13:00",16.33
"7/5/2022 14:00",13.92
"7/5/2022 15:00",13.12
"7/5/2022 16:00",14.92
"7/5/2022 17:00",19.29
"7/5/2022 18:00",16.69
"7/5/2022 19:00",17.54
"7/5/2022 20:00",20.21
"7/5/2022 21:00",23.9
"7/5/2022 22:00",21.86
"7/5/2022 23:00",18.05
"8/5/2022 0:00",12.78
"8/5/2022 1:00",16.61
"8/5/2022 2:00",13.91
"8/5/2022 3:00",14.01
"8/5/2022 4:00",13.17
"8/5/2022 5:00",13.43
"8/5/2022 6:00",12.96
"8/5/2022 7:00",10.51
"8/5/2022 8:00",9.6
"8/5/2022 9:00",9.63
"8/5/2022 10:00",10.85
"8/5/2022 11:00",10.26
"8/5/2022 12:00",8.33
"8/5/2022 13:00",9.66
"8/5/2022 14:00",7.13
"8/5/2022 15:00",9.06
"8/5/2022 16:00",9.19
"8/5/2022 17:00",9.84
"8/5/2022 18:00",11.02
"8/5/2022 19:00",13.88
"8/5/2022 20:00",16.6
"8/5/2022 21:00",17.09
"8/5/2022 22:00",17.82
"8/5/2022 23:00",20.17
"9/5/2022 0:00",19.02
"9/5/2022 1:00",20.38
"9/5/2022 2:00",19.64
"9/5/2022 3:00",32.26
"9/5/2022 4:00",35.87
"9/5/2022 5:00",50.58
"9/5/2022 6:00",52.99
"9/5/2022 7:00",44.1
"9/5/2022 8:00",42.91
"9/5/2022 9:00",41.86
"9/5/2022 10:00",24.26
"9/5/2022 11:00",17.96
"9/5/2022 12:00",18.62
"9/5/2022 13:00",14.45
"9/5/2022 14:00",15.85
"9/5/2022 15:00",16.39
