"Category","Nitrogen dioxide"
"28/7/2023 1:00",13.58
"28/7/2023 2:00",16.19
"28/7/2023 3:00",13.07
"28/7/2023 4:00",14.17
"28/7/2023 5:00",12.46
"28/7/2023 6:00",12.4
"28/7/2023 7:00",13.31
"28/7/2023 8:00",15.52
"28/7/2023 9:00",21.66
"28/7/2023 10:00",21.43
"28/7/2023 11:00",23.12
"28/7/2023 12:00",25.75
"28/7/2023 13:00",30.68
"28/7/2023 14:00",33.14
"28/7/2023 15:00",31.33
"28/7/2023 16:00",30.87
"28/7/2023 17:00",26.27
"28/7/2023 18:00",27.84
"28/7/2023 19:00",26.29
"28/7/2023 20:00",23.06
"28/7/2023 21:00",19.07
"28/7/2023 22:00",12.68
"28/7/2023 23:00",8.43
"29/7/2023 0:00",8.46
"29/7/2023 1:00",9.78
"29/7/2023 2:00",4.3
"29/7/2023 3:00",5.08
"29/7/2023 4:00",6.19
"29/7/2023 5:00",8.61
"29/7/2023 6:00",9.71
"29/7/2023 7:00",7.65
"29/7/2023 8:00",8.3
"29/7/2023 9:00",9.44
"29/7/2023 10:00",6.85
"29/7/2023 11:00",4.29
"29/7/2023 12:00",6.47
"29/7/2023 13:00",8.61
"29/7/2023 14:00",7.72
"29/7/2023 15:00",9
"29/7/2023 16:00",15.4
"29/7/2023 17:00",11.86
"29/7/2023 18:00",12.23
"29/7/2023 19:00",14.27
"29/7/2023 20:00",18.02
"29/7/2023 21:00",17.04
"29/7/2023 22:00",14.82
"29/7/2023 23:00",15.54
"30/7/2023 0:00",12.19
"30/7/2023 1:00",5.53
"30/7/2023 2:00",4.81
"30/7/2023 3:00",4.1
"30/7/2023 4:00",3.11
"30/7/2023 5:00",3.24
"30/7/2023 6:00",4.73
"30/7/2023 7:00",5.19
"30/7/2023 8:00",5.49
"30/7/2023 9:00",4.46
"30/7/2023 10:00",4.69
"30/7/2023 11:00",8.13
"30/7/2023 12:00",8
"30/7/2023 13:00",7.75
"30/7/2023 14:00",7.49
"30/7/2023 15:00",15.07
"30/7/2023 16:00",18.62
"30/7/2023 17:00",15.35
"30/7/2023 18:00",15.11
"30/7/2023 19:00",15.69
"30/7/2023 20:00",10.53
"30/7/2023 21:00",7.96
"30/7/2023 22:00",5.92
"30/7/2023 23:00",5.15
"31/7/2023 0:00",4.02
"31/7/2023 1:00",5.03
"31/7/2023 2:00",4.17
"31/7/2023 3:00",4.05
"31/7/2023 4:00",5.82
"31/7/2023 5:00",8.21
"31/7/2023 6:00",8.89
"31/7/2023 7:00",9.51
"31/7/2023 8:00",10.47
"31/7/2023 9:00",14.44
"31/7/2023 10:00",15.99
"31/7/2023 11:00",13.26
"31/7/2023 12:00",12.43
"31/7/2023 13:00",13.59
"31/7/2023 14:00",17.26
"31/7/2023 15:00",18.15
"31/7/2023 16:00",13.57
"31/7/2023 17:00",11.93
"31/7/2023 18:00",15.66
"31/7/2023 19:00",14.41
"31/7/2023 20:00",14.84
"31/7/2023 21:00",15.21
"31/7/2023 22:00",15.44
"31/7/2023 23:00",12.15
"1/8/2023 0:00",8.73
"1/8/2023 1:00",3.32
"1/8/2023 2:00",4
"1/8/2023 3:00",4.48
"1/8/2023 4:00",5.34
"1/8/2023 5:00",8.22
"1/8/2023 6:00",10.6
"1/8/2023 7:00",11.75
"1/8/2023 8:00",10.11
"1/8/2023 9:00",9.38
"1/8/2023 10:00",10.95
"1/8/2023 11:00",10.03
"1/8/2023 12:00",11.17
"1/8/2023 13:00",9.95
"1/8/2023 14:00",9.16
"1/8/2023 15:00",6.8
"1/8/2023 16:00",5.48
"1/8/2023 17:00",12.27
"1/8/2023 18:00",13.55
"1/8/2023 19:00",
"1/8/2023 20:00",
"1/8/2023 21:00",5.7
"1/8/2023 22:00",7.39
"1/8/2023 23:00",6.36
"2/8/2023 0:00",5.97
"2/8/2023 1:00",7.49
"2/8/2023 2:00",5.81
"2/8/2023 3:00",9.46
"2/8/2023 4:00",14.87
"2/8/2023 5:00",16.62
"2/8/2023 6:00",16.14
"2/8/2023 7:00",13.57
"2/8/2023 8:00",10.23
"2/8/2023 9:00",7.59
"2/8/2023 10:00",9.48
"2/8/2023 11:00",10.86
"2/8/2023 12:00",18.26
"2/8/2023 13:00",15.62
"2/8/2023 14:00",16.28
"2/8/2023 15:00",15.78
"2/8/2023 16:00",12.52
