"Category","Nitrogen dioxide"
"28/7/2023 10:00",22.68
"28/7/2023 11:00",23.78
"28/7/2023 12:00",25.16
"28/7/2023 13:00",30.14
"28/7/2023 14:00",32.45
"28/7/2023 15:00",32.62
"28/7/2023 16:00",31.34
"28/7/2023 17:00",26.88
"28/7/2023 18:00",26.54
"28/7/2023 19:00",25.03
"28/7/2023 20:00",22.22
"28/7/2023 21:00",18.18
"28/7/2023 22:00",12.54
"28/7/2023 23:00",8.48
"29/7/2023 0:00",7.83
"29/7/2023 1:00",9.96
"29/7/2023 2:00",5.06
"29/7/2023 3:00",5.62
"29/7/2023 4:00",6.11
"29/7/2023 5:00",7.42
"29/7/2023 6:00",8.5
"29/7/2023 7:00",8.63
"29/7/2023 8:00",8.14
"29/7/2023 9:00",8.3
"29/7/2023 10:00",7.46
"29/7/2023 11:00",6.15
"29/7/2023 12:00",7.8
"29/7/2023 13:00",11.26
"29/7/2023 14:00",12.44
"29/7/2023 15:00",12.14
"29/7/2023 16:00",15.23
"29/7/2023 17:00",14.06
"29/7/2023 18:00",14.1
"29/7/2023 19:00",15.06
"29/7/2023 20:00",17.64
"29/7/2023 21:00",17.09
"29/7/2023 22:00",14.56
"29/7/2023 23:00",15.26
"30/7/2023 0:00",12.22
"30/7/2023 1:00",5.34
"30/7/2023 2:00",4.8
"30/7/2023 3:00",3.72
"30/7/2023 4:00",2.99
"30/7/2023 5:00",2.94
"30/7/2023 6:00",4.45
"30/7/2023 7:00",5.21
"30/7/2023 8:00",5.43
"30/7/2023 9:00",4.74
"30/7/2023 10:00",4.59
"30/7/2023 11:00",7.65
"30/7/2023 12:00",8.76
"30/7/2023 13:00",5.66
"30/7/2023 14:00",5.28
"30/7/2023 15:00",10.12
"30/7/2023 16:00",15.33
"30/7/2023 17:00",10.5
"30/7/2023 18:00",10.51
"30/7/2023 19:00",11.85
"30/7/2023 20:00",8.68
"30/7/2023 21:00",7.86
"30/7/2023 22:00",6.48
"30/7/2023 23:00",5.4
"31/7/2023 0:00",4.29
"31/7/2023 1:00",5.99
"31/7/2023 2:00",5.48
"31/7/2023 3:00",5.86
"31/7/2023 4:00",7.61
"31/7/2023 5:00",8.88
"31/7/2023 6:00",11.59
"31/7/2023 7:00",12.33
"31/7/2023 8:00",14.32
"31/7/2023 9:00",15.05
"31/7/2023 10:00",17.64
"31/7/2023 11:00",13.78
"31/7/2023 12:00",13.98
"31/7/2023 13:00",13.32
"31/7/2023 14:00",18.02
"31/7/2023 15:00",15.56
"31/7/2023 16:00",11.05
"31/7/2023 17:00",11.01
"31/7/2023 18:00",14.49
"31/7/2023 19:00",14.72
"31/7/2023 20:00",15.32
"31/7/2023 21:00",16.19
"31/7/2023 22:00",16.9
"31/7/2023 23:00",13.42
"1/8/2023 0:00",9.79
"1/8/2023 1:00",4.04
"1/8/2023 2:00",5.27
"1/8/2023 3:00",4.94
"1/8/2023 4:00",5.91
"1/8/2023 5:00",8.36
"1/8/2023 6:00",11.04
"1/8/2023 7:00",12.23
"1/8/2023 8:00",9.96
"1/8/2023 9:00",10.86
"1/8/2023 10:00",12.03
"1/8/2023 11:00",12.26
"1/8/2023 12:00",13.2
"1/8/2023 13:00",13.08
"1/8/2023 14:00",12.02
"1/8/2023 15:00",9.08
"1/8/2023 16:00",8.81
"1/8/2023 17:00",12.89
"1/8/2023 18:00",11.65
"1/8/2023 19:00",
"1/8/2023 20:00",
"1/8/2023 21:00",3.32
"1/8/2023 22:00",6.16
"1/8/2023 23:00",5.37
"2/8/2023 0:00",4.85
"2/8/2023 1:00",11.16
"2/8/2023 2:00",7
"2/8/2023 3:00",9.35
"2/8/2023 4:00",14.8
"2/8/2023 5:00",20.56
"2/8/2023 6:00",21.77
"2/8/2023 7:00",18.28
"2/8/2023 8:00",16.18
"2/8/2023 9:00",12.57
"2/8/2023 10:00",11.89
"2/8/2023 11:00",16.04
"2/8/2023 12:00",23.23
"2/8/2023 13:00",18.94
"2/8/2023 14:00",19.06
"2/8/2023 15:00",19.37
"2/8/2023 16:00",15.68
"2/8/2023 17:00",26.18
"2/8/2023 18:00",26.51
"2/8/2023 19:00",28.13
"2/8/2023 20:00",28.99
"2/8/2023 21:00",25.55
"2/8/2023 22:00",22.86
"2/8/2023 23:00",17.58
"3/8/2023 0:00",12.24
"3/8/2023 1:00",6.32
"3/8/2023 2:00",7.37
"3/8/2023 3:00",6.63
"3/8/2023 4:00",7.78
"3/8/2023 5:00",9.71
"3/8/2023 6:00",10.9
"3/8/2023 7:00",11.92
"3/8/2023 8:00",11.12
"3/8/2023 9:00",11.55
"3/8/2023 10:00",14.88
"3/8/2023 11:00",16.46
"3/8/2023 12:00",18.05
"3/8/2023 13:00",17.7
"3/8/2023 14:00",18.09
"3/8/2023 15:00",18.89
"3/8/2023 16:00",20.88
"3/8/2023 17:00",21.45
"3/8/2023 18:00",19.84
"3/8/2023 19:00",20.01
"3/8/2023 20:00",20.32
"3/8/2023 21:00",19.9
"3/8/2023 22:00",17.34
"3/8/2023 23:00",16.03
"4/8/2023 0:00",14.29
"4/8/2023 1:00",11.38
"4/8/2023 2:00",12.29
"4/8/2023 3:00",11.26
"4/8/2023 4:00",13.68
"4/8/2023 5:00",15.37
"4/8/2023 6:00",19.61
"4/8/2023 7:00",17.39
"4/8/2023 8:00",15.47
"4/8/2023 9:00",14.58
"4/8/2023 10:00",14.54
"4/8/2023 11:00",18.02
"4/8/2023 12:00",19.75
"4/8/2023 13:00",22.75
"4/8/2023 14:00",23.76
"4/8/2023 15:00",26.09
"4/8/2023 16:00",27.04
"4/8/2023 17:00",26.67
"4/8/2023 18:00",24.72
"4/8/2023 19:00",28.18
"4/8/2023 20:00",27.6
"4/8/2023 21:00",24.08
"4/8/2023 22:00",26.65
"4/8/2023 23:00",36.25
"5/8/2023 0:00",30.86
"5/8/2023 1:00",19.15
"5/8/2023 2:00",17.62
"5/8/2023 3:00",17.13
"5/8/2023 4:00",16.26
"5/8/2023 5:00",14.84
"5/8/2023 6:00",14.85
"5/8/2023 7:00",17.68
"5/8/2023 8:00",21.15
"5/8/2023 9:00",22.24
"5/8/2023 10:00",13.31
"5/8/2023 11:00",14.38
"5/8/2023 12:00",17.47
"5/8/2023 13:00",20.26
"5/8/2023 14:00",23.19
"5/8/2023 15:00",22.96
"5/8/2023 16:00",21.62
"5/8/2023 17:00",17.46
"5/8/2023 18:00",11.54
"5/8/2023 19:00",16.08
"5/8/2023 20:00",11.62
"5/8/2023 21:00",7.7
"5/8/2023 22:00",6.04
"5/8/2023 23:00",12.49
"6/8/2023 0:00",7.56
"6/8/2023 1:00",4.05
"6/8/2023 2:00",6.21
"6/8/2023 3:00",6.8
"6/8/2023 4:00",7.15
"6/8/2023 5:00",8.09
"6/8/2023 6:00",8.59
"6/8/2023 7:00",8.48
"6/8/2023 8:00",7.29
"6/8/2023 9:00",6.82
"6/8/2023 10:00",6.76
"6/8/2023 11:00",8.68
"6/8/2023 12:00",10.37
"6/8/2023 13:00",10.05
"6/8/2023 14:00",8.73
"6/8/2023 15:00",6.58
"6/8/2023 16:00",6.31
"6/8/2023 17:00",8.38
"6/8/2023 18:00",8.49
"6/8/2023 19:00",9.07
"6/8/2023 20:00",8.57
"6/8/2023 21:00",10.44
"6/8/2023 22:00",11.49
"6/8/2023 23:00",12.44
"7/8/2023 0:00",14.34
"7/8/2023 1:00",16.43
"7/8/2023 2:00",7.91
"7/8/2023 3:00",11.2
"7/8/2023 4:00",14.91
"7/8/2023 5:00",16.16
"7/8/2023 6:00",15.82
"7/8/2023 7:00",15.36
"7/8/2023 8:00",12.21
"7/8/2023 9:00",9.82
"7/8/2023 10:00",10.67
"7/8/2023 11:00",11.43
"7/8/2023 12:00",11.05
"7/8/2023 13:00",11.58
"7/8/2023 14:00",11.3
"7/8/2023 15:00",13.38
"7/8/2023 16:00",10.71
"7/8/2023 17:00",11.66
"7/8/2023 18:00",12.68
"7/8/2023 19:00",14.35
"7/8/2023 20:00",11.43
"7/8/2023 21:00",13.61
"7/8/2023 22:00",13.6
"7/8/2023 23:00",10.22
"8/8/2023 0:00",9.26
"8/8/2023 1:00",13.77
"8/8/2023 2:00",13.86
"8/8/2023 3:00",16.69
"8/8/2023 4:00",13.86
"8/8/2023 5:00",15.27
"8/8/2023 6:00",20.27
"8/8/2023 7:00",23.32
"8/8/2023 8:00",23.18
"8/8/2023 9:00",22.98
"8/8/2023 10:00",30.16
"8/8/2023 11:00",34.38
"8/8/2023 12:00",28.4
"8/8/2023 13:00",29.37
"8/8/2023 14:00",27.24
"8/8/2023 15:00",25.2
"8/8/2023 16:00",24.79
"8/8/2023 17:00",24.73
"8/8/2023 18:00",21.6
"8/8/2023 19:00",22.19
"8/8/2023 20:00",21.78
"8/8/2023 21:00",32.21
"8/8/2023 22:00",26.58
"8/8/2023 23:00",25.73
"9/8/2023 0:00",27.53
"9/8/2023 1:00",17.74
"9/8/2023 2:00",18.34
"9/8/2023 3:00",18.53
"9/8/2023 4:00",19.61
"9/8/2023 5:00",21.8
"9/8/2023 6:00",22.56
"9/8/2023 7:00",20.76
"9/8/2023 8:00",20.43
"9/8/2023 9:00",19.33
"9/8/2023 10:00",16.88
"9/8/2023 11:00",18.94
"9/8/2023 12:00",19.4
"9/8/2023 13:00",18.83
"9/8/2023 14:00",15.49
"9/8/2023 15:00",11.34
"9/8/2023 16:00",11.31
"9/8/2023 17:00",10.77
"9/8/2023 18:00",11.69
"9/8/2023 19:00",13.97
"9/8/2023 20:00",14.74
"9/8/2023 21:00",11.79
"9/8/2023 22:00",11.17
"9/8/2023 23:00",13.74
"10/8/2023 0:00",15.65
"10/8/2023 1:00",19.47
"10/8/2023 2:00",22.2
"10/8/2023 3:00",24.03
"10/8/2023 4:00",28.01
"10/8/2023 5:00",30.74
"10/8/2023 6:00",28.61
"10/8/2023 7:00",24.57
"10/8/2023 8:00",19.67
"10/8/2023 9:00",16.3
"10/8/2023 10:00",15.52
"10/8/2023 11:00",15.71
"10/8/2023 12:00",15.16
"10/8/2023 13:00",15.32
"10/8/2023 14:00",14.01
"10/8/2023 15:00",13.09
"10/8/2023 16:00",11.17
"10/8/2023 17:00",10.09
"10/8/2023 18:00",7.96
"10/8/2023 19:00",6.87
"10/8/2023 20:00",10.41
"10/8/2023 21:00",12.66
"10/8/2023 22:00",8.87
"10/8/2023 23:00",7.43
"11/8/2023 0:00",9.04
"11/8/2023 1:00",6.53
"11/8/2023 2:00",8.12
"11/8/2023 3:00",8.04
"11/8/2023 4:00",9.4
"11/8/2023 5:00",8.58
"11/8/2023 6:00",8.99
"11/8/2023 7:00",6.9
"11/8/2023 8:00",6.88
"11/8/2023 9:00",7.6
"11/8/2023 10:00",8.25
"11/8/2023 11:00",8.53
"11/8/2023 12:00",10.12
"11/8/2023 13:00",8.92
"11/8/2023 14:00",10.72
"11/8/2023 15:00",10.94
"11/8/2023 16:00",8.79
"11/8/2023 17:00",9.84
"11/8/2023 18:00",10.65
"11/8/2023 19:00",9.85
"11/8/2023 20:00",9.82
"11/8/2023 21:00",9.15
"11/8/2023 22:00",9.16
"11/8/2023 23:00",9.66
"12/8/2023 0:00",10.26
"12/8/2023 1:00",7.15
"12/8/2023 2:00",6.87
"12/8/2023 3:00",6.8
"12/8/2023 4:00",5.91
"12/8/2023 5:00",4.23
"12/8/2023 6:00",4.54
"12/8/2023 7:00",4.07
"12/8/2023 8:00",4.4
"12/8/2023 9:00",5.41
"12/8/2023 10:00",6.06
"12/8/2023 11:00",6.79
"12/8/2023 12:00",6.55
"12/8/2023 13:00",6.52
"12/8/2023 14:00",6.39
"12/8/2023 15:00",6.81
"12/8/2023 16:00",6.56
"12/8/2023 17:00",6.66
"12/8/2023 18:00",6.86
"12/8/2023 19:00",6.12
"12/8/2023 20:00",5.74
"12/8/2023 21:00",5.54
"12/8/2023 22:00",5.54
"12/8/2023 23:00",5.5
"13/8/2023 0:00",5.72
"13/8/2023 1:00",5.06
"13/8/2023 2:00",4.38
"13/8/2023 3:00",4.75
"13/8/2023 4:00",5.4
"13/8/2023 5:00",5.45
"13/8/2023 6:00",5.9
"13/8/2023 7:00",5.29
"13/8/2023 8:00",5.25
"13/8/2023 9:00",5.31
"13/8/2023 10:00",6.59
"13/8/2023 11:00",7.31
"13/8/2023 12:00",6.65
"13/8/2023 13:00",6.28
"13/8/2023 14:00",7.33
"13/8/2023 15:00",7.47
"13/8/2023 16:00",7.91
"13/8/2023 17:00",8.86
"13/8/2023 18:00",8.43
"13/8/2023 19:00",7.86
"13/8/2023 20:00",7.44
"13/8/2023 21:00",7.13
"13/8/2023 22:00",6.91
"13/8/2023 23:00",6.86
"14/8/2023 0:00",6.82
"14/8/2023 1:00",8.01
"14/8/2023 2:00",9.44
"14/8/2023 3:00",9.23
"14/8/2023 4:00",10.26
"14/8/2023 5:00",15.77
"14/8/2023 6:00",16.92
"14/8/2023 7:00",17.7
"14/8/2023 8:00",16.34
"14/8/2023 9:00",11.85
"14/8/2023 10:00",9.97
"14/8/2023 11:00",8.69
"14/8/2023 12:00",8.17
"14/8/2023 13:00",10.75
"14/8/2023 14:00",8.57
"14/8/2023 15:00",7.28
"14/8/2023 16:00",7.03
"14/8/2023 17:00",7.35
"14/8/2023 18:00",6.54
"14/8/2023 19:00",6.38
"14/8/2023 20:00",6.45
"14/8/2023 21:00",6.97
"14/8/2023 22:00",7.38
"14/8/2023 23:00",9.39
"15/8/2023 0:00",9.04
"15/8/2023 1:00",12.23
"15/8/2023 2:00",16.93
"15/8/2023 3:00",16.65
"15/8/2023 4:00",19.51
"15/8/2023 5:00",25.57
"15/8/2023 6:00",22.81
"15/8/2023 7:00",23.23
"15/8/2023 8:00",21.67
"15/8/2023 9:00",16.55
"15/8/2023 10:00",21.78
"15/8/2023 11:00",25.46
"15/8/2023 12:00",27.23
"15/8/2023 13:00",27.22
"15/8/2023 14:00",20.88
"15/8/2023 15:00",19.32
"15/8/2023 16:00",17.56
"15/8/2023 17:00",21.89
"15/8/2023 18:00",20.93
"15/8/2023 19:00",9.9
"15/8/2023 20:00",8.56
"15/8/2023 21:00",16.54
"15/8/2023 22:00",19.37
"15/8/2023 23:00",27.43
"16/8/2023 0:00",34.42
"16/8/2023 1:00",19.72
"16/8/2023 2:00",21.01
"16/8/2023 3:00",22.23
"16/8/2023 4:00",21.98
"16/8/2023 5:00",22.53
"16/8/2023 6:00",23.07
"16/8/2023 7:00",21.77
"16/8/2023 8:00",20.29
"16/8/2023 9:00",18.6
"16/8/2023 10:00",17.11
"16/8/2023 11:00",14.03
"16/8/2023 12:00",11.75
"16/8/2023 13:00",10.26
"16/8/2023 14:00",10.29
"16/8/2023 15:00",10.28
"16/8/2023 16:00",10.57
"16/8/2023 17:00",10.94
"16/8/2023 18:00",11.42
"16/8/2023 19:00",11.71
"16/8/2023 20:00",9.79
