"Category","PM<sub>2.5</sub> particulates"
"28/7/2023 10:00",2.2
"28/7/2023 11:00",2.35
"28/7/2023 12:00",2.27
"28/7/2023 13:00",2.81
"28/7/2023 14:00",2.94
"28/7/2023 15:00",2.59
"28/7/2023 16:00",2.47
"28/7/2023 17:00",2.9
"28/7/2023 18:00",3.26
"28/7/2023 19:00",3.13
"28/7/2023 20:00",2.9
"28/7/2023 21:00",2.92
"28/7/2023 22:00",2.8
"28/7/2023 23:00",2.93
"29/7/2023 0:00",2.86
"29/7/2023 1:00",5.9
"29/7/2023 2:00",6.17
"29/7/2023 3:00",6.26
"29/7/2023 4:00",6.67
"29/7/2023 5:00",7.29
"29/7/2023 6:00",7.41
"29/7/2023 7:00",6.91
"29/7/2023 8:00",5.83
"29/7/2023 9:00",5.76
"29/7/2023 10:00",5.58
"29/7/2023 11:00",5.96
"29/7/2023 12:00",5.68
"29/7/2023 13:00",5.63
"29/7/2023 14:00",5.16
"29/7/2023 15:00",4.69
"29/7/2023 16:00",5.04
"29/7/2023 17:00",5.24
"29/7/2023 18:00",5.3
"29/7/2023 19:00",5.08
"29/7/2023 20:00",5.68
"29/7/2023 21:00",5.82
"29/7/2023 22:00",5.42
"29/7/2023 23:00",5.62
"30/7/2023 0:00",5.42
"30/7/2023 1:00",3.57
"30/7/2023 2:00",3.6
"30/7/2023 3:00",3.37
"30/7/2023 4:00",3.2
"30/7/2023 5:00",3.23
"30/7/2023 6:00",3.43
"30/7/2023 7:00",3.49
"30/7/2023 8:00",3.45
"30/7/2023 9:00",3.26
"30/7/2023 10:00",3.38
"30/7/2023 11:00",3.48
"30/7/2023 12:00",3.58
"30/7/2023 13:00",3.92
"30/7/2023 14:00",4.43
"30/7/2023 15:00",5.23
"30/7/2023 16:00",3.8
"30/7/2023 17:00",3.63
"30/7/2023 18:00",5.23
"30/7/2023 19:00",6.79
"30/7/2023 20:00",6.78
"30/7/2023 21:00",6.61
"30/7/2023 22:00",6.26
"30/7/2023 23:00",6.45
"31/7/2023 0:00",5.76
"31/7/2023 1:00",5.6
"31/7/2023 2:00",2.69
"31/7/2023 3:00",3.02
"31/7/2023 4:00",2.84
"31/7/2023 5:00",2.44
"31/7/2023 6:00",2.19
"31/7/2023 7:00",2.54
"31/7/2023 8:00",2.74
"31/7/2023 9:00",2.49
"31/7/2023 10:00",3.07
"31/7/2023 11:00",2.55
"31/7/2023 12:00",2.93
"31/7/2023 13:00",3.65
"31/7/2023 14:00",4.86
"31/7/2023 15:00",5.79
"31/7/2023 16:00",5.32
"31/7/2023 17:00",4.06
"31/7/2023 18:00",4
"31/7/2023 19:00",4.02
"31/7/2023 20:00",3.99
"31/7/2023 21:00",4.43
"31/7/2023 22:00",4.16
"31/7/2023 23:00",4.19
"1/8/2023 0:00",4.41
"1/8/2023 1:00",6.96
"1/8/2023 2:00",7.07
"1/8/2023 3:00",7.08
"1/8/2023 4:00",7.44
"1/8/2023 5:00",7.11
"1/8/2023 6:00",6.79
"1/8/2023 7:00",6.58
"1/8/2023 8:00",6.04
"1/8/2023 9:00",5.59
"1/8/2023 10:00",5.35
"1/8/2023 11:00",5.44
"1/8/2023 12:00",5.51
"1/8/2023 13:00",5.49
"1/8/2023 14:00",5.34
"1/8/2023 15:00",5.68
"1/8/2023 16:00",5.3
"1/8/2023 17:00",6.06
"1/8/2023 18:00",7.27
"1/8/2023 19:00",
"1/8/2023 20:00",
"1/8/2023 21:00",6.7
"1/8/2023 22:00",6.51
"1/8/2023 23:00",6.36
"2/8/2023 0:00",6.45
"2/8/2023 1:00",6.8
"2/8/2023 2:00",5.18
"2/8/2023 3:00",5.09
"2/8/2023 4:00",2.55
"2/8/2023 5:00",1.53
"2/8/2023 6:00",2.58
"2/8/2023 7:00",2.97
"2/8/2023 8:00",2.35
"2/8/2023 9:00",1.87
"2/8/2023 10:00",1.84
"2/8/2023 11:00",2.92
"2/8/2023 12:00",4.05
"2/8/2023 13:00",3.95
"2/8/2023 14:00",5.11
"2/8/2023 15:00",4.55
"2/8/2023 16:00",5.08
"2/8/2023 17:00",5.48
"2/8/2023 18:00",10.9
"2/8/2023 19:00",4.95
"2/8/2023 20:00",4.14
"2/8/2023 21:00",4.3
"2/8/2023 22:00",4.44
"2/8/2023 23:00",3.97
"3/8/2023 0:00",1.94
"3/8/2023 1:00",2.15
"3/8/2023 2:00",3.11
"3/8/2023 3:00",4.09
"3/8/2023 4:00",3.52
"3/8/2023 5:00",3.28
"3/8/2023 6:00",3.23
"3/8/2023 7:00",3.53
"3/8/2023 8:00",3.25
"3/8/2023 9:00",3.16
"3/8/2023 10:00",3.45
"3/8/2023 11:00",3.14
"3/8/2023 12:00",2.99
"3/8/2023 13:00",3.82
"3/8/2023 14:00",3.55
"3/8/2023 15:00",3.6
"3/8/2023 16:00",3.94
"3/8/2023 17:00",5.31
"3/8/2023 18:00",6.44
"3/8/2023 19:00",6.06
"3/8/2023 20:00",6.9
"3/8/2023 21:00",5.2
"3/8/2023 22:00",5.14
"3/8/2023 23:00",5.03
"4/8/2023 0:00",4.85
"4/8/2023 1:00",4.79
"4/8/2023 2:00",4.89
"4/8/2023 3:00",4.77
"4/8/2023 4:00",5.45
"4/8/2023 5:00",6.36
"4/8/2023 6:00",6.72
"4/8/2023 7:00",6.82
"4/8/2023 8:00",6.23
"4/8/2023 9:00",5.75
"4/8/2023 10:00",5.81
"4/8/2023 11:00",5.52
"4/8/2023 12:00",5.59
"4/8/2023 13:00",4.52
"4/8/2023 14:00",4.35
"4/8/2023 15:00",4.51
"4/8/2023 16:00",4.27
"4/8/2023 17:00",3.84
"4/8/2023 18:00",3.77
"4/8/2023 19:00",4.68
"4/8/2023 20:00",4.68
"4/8/2023 21:00",5.09
"4/8/2023 22:00",4.69
"4/8/2023 23:00",4.93
"5/8/2023 0:00",5.21
"5/8/2023 1:00",5.48
"5/8/2023 2:00",5.93
"5/8/2023 3:00",6.25
"5/8/2023 4:00",6.8
"5/8/2023 5:00",6.9
"5/8/2023 6:00",7.78
"5/8/2023 7:00",9.33
"5/8/2023 8:00",9.31
"5/8/2023 9:00",8.4
"5/8/2023 10:00",5.75
"5/8/2023 11:00",3.95
"5/8/2023 12:00",3.39
"5/8/2023 13:00",3.63
"5/8/2023 14:00",4.25
"5/8/2023 15:00",4.36
"5/8/2023 16:00",4.48
"5/8/2023 17:00",4.84
"5/8/2023 18:00",4.36
"5/8/2023 19:00",3.79
"5/8/2023 20:00",3.91
"5/8/2023 21:00",3.73
"5/8/2023 22:00",4.07
"5/8/2023 23:00",5.56
"6/8/2023 0:00",4.21
"6/8/2023 1:00",3.68
"6/8/2023 2:00",4.46
"6/8/2023 3:00",4.53
"6/8/2023 4:00",4.72
"6/8/2023 5:00",4.72
"6/8/2023 6:00",5.25
"6/8/2023 7:00",4.78
"6/8/2023 8:00",4.61
"6/8/2023 9:00",3.94
"6/8/2023 10:00",3.7
"6/8/2023 11:00",3.93
"6/8/2023 12:00",4.45
"6/8/2023 13:00",4.98
"6/8/2023 14:00",5.16
