"Category","Nitrogen dioxide"
"23/4/2022 13:00",23.04
"23/4/2022 14:00",24.01
"23/4/2022 15:00",26.84
"23/4/2022 16:00",27.33
"23/4/2022 17:00",28.31
"23/4/2022 18:00",25.91
"23/4/2022 19:00",27.8
"23/4/2022 20:00",28.72
"23/4/2022 21:00",26.08
"23/4/2022 22:00",24.64
"23/4/2022 23:00",25.93
"24/4/2022 0:00",29.03
"24/4/2022 1:00",10.11
"24/4/2022 2:00",10.91
"24/4/2022 3:00",11.23
"24/4/2022 4:00",12.13
"24/4/2022 5:00",13.09
"24/4/2022 6:00",14.42
"24/4/2022 7:00",12.5
"24/4/2022 8:00",9.54
"24/4/2022 9:00",9.5
"24/4/2022 10:00",7.68
"24/4/2022 11:00",5.79
"24/4/2022 12:00",4.26
"24/4/2022 13:00",4.32
"24/4/2022 14:00",4.17
"24/4/2022 15:00",4.95
"24/4/2022 16:00",5.7
"24/4/2022 17:00",5.68
"24/4/2022 18:00",6.01
"24/4/2022 19:00",6.45
"24/4/2022 20:00",9.33
"24/4/2022 21:00",9.4
"24/4/2022 22:00",10.6
"24/4/2022 23:00",11.38
"25/4/2022 0:00",11.63
"25/4/2022 1:00",25.07
"25/4/2022 2:00",22.37
"25/4/2022 3:00",24.55
"25/4/2022 4:00",23.34
"25/4/2022 5:00",27.94
"25/4/2022 6:00",28.79
"25/4/2022 7:00",30.01
"25/4/2022 8:00",29.4
"25/4/2022 9:00",28.96
"25/4/2022 10:00",26.67
"25/4/2022 11:00",26.27
"25/4/2022 12:00",24.08
"25/4/2022 13:00",19.63
"25/4/2022 14:00",21.16
"25/4/2022 15:00",24.16
"25/4/2022 16:00",27.55
"25/4/2022 17:00",
"25/4/2022 18:00",
"25/4/2022 19:00",
"25/4/2022 20:00",
"25/4/2022 21:00",
"25/4/2022 22:00",45.18
"25/4/2022 23:00",43.12
"26/4/2022 0:00",33.73
"26/4/2022 1:00",30.52
"26/4/2022 2:00",26.19
"26/4/2022 3:00",29.64
"26/4/2022 4:00",36
"26/4/2022 5:00",45.05
"26/4/2022 6:00",52.26
"26/4/2022 7:00",45.01
"26/4/2022 8:00",34.04
"26/4/2022 9:00",33.7
"26/4/2022 10:00",22.48
"26/4/2022 11:00",19.82
"26/4/2022 12:00",16.25
"26/4/2022 13:00",17.23
"26/4/2022 14:00",14.17
"26/4/2022 15:00",18.75
"26/4/2022 16:00",22.23
"26/4/2022 17:00",23.73
"26/4/2022 18:00",25.24
"26/4/2022 19:00",27.51
"26/4/2022 20:00",33.5
