"Category","PM<sub>2.5</sub> particulates"
"23/4/2022 13:00",16.71
"23/4/2022 14:00",16.43
"23/4/2022 15:00",16.64
"23/4/2022 16:00",18.13
"23/4/2022 17:00",20.51
"23/4/2022 18:00",20.06
"23/4/2022 19:00",19.4
"23/4/2022 20:00",18.66
"23/4/2022 21:00",17.54
"23/4/2022 22:00",16.43
"23/4/2022 23:00",15.99
"24/4/2022 0:00",16.76
"24/4/2022 1:00",16.98
"24/4/2022 2:00",17.33
"24/4/2022 3:00",17.43
"24/4/2022 4:00",18.35
"24/4/2022 5:00",19.24
"24/4/2022 6:00",20.5
"24/4/2022 7:00",19.58
"24/4/2022 8:00",17.78
"24/4/2022 9:00",16.64
"24/4/2022 10:00",14.98
"24/4/2022 11:00",13.64
"24/4/2022 12:00",12.75
"24/4/2022 13:00",12.36
"24/4/2022 14:00",12.27
"24/4/2022 15:00",11.43
"24/4/2022 16:00",11.43
"24/4/2022 17:00",11.15
"24/4/2022 18:00",10.46
"24/4/2022 19:00",9.63
"24/4/2022 20:00",8.78
"24/4/2022 21:00",8.5
"24/4/2022 22:00",8.81
"24/4/2022 23:00",9.46
"25/4/2022 0:00",10.46
"25/4/2022 1:00",16.9
"25/4/2022 2:00",17.91
"25/4/2022 3:00",20.82
"25/4/2022 4:00",27.05
"25/4/2022 5:00",28.43
"25/4/2022 6:00",29.29
"25/4/2022 7:00",23.13
"25/4/2022 8:00",18.49
"25/4/2022 9:00",17.31
"25/4/2022 10:00",17.4
"25/4/2022 11:00",20.4
"25/4/2022 12:00",16.8
"25/4/2022 13:00",18.66
"25/4/2022 14:00",14.55
"25/4/2022 15:00",14.59
"25/4/2022 16:00",18.13
"25/4/2022 17:00",
"25/4/2022 18:00",
"25/4/2022 19:00",
"25/4/2022 20:00",
"25/4/2022 21:00",
"25/4/2022 22:00",10.7
"25/4/2022 23:00",14.73
"26/4/2022 0:00",12.44
"26/4/2022 1:00",9.83
"26/4/2022 2:00",10.66
"26/4/2022 3:00",11.15
"26/4/2022 4:00",11.1
"26/4/2022 5:00",11.03
"26/4/2022 6:00",10.56
"26/4/2022 7:00",10.72
"26/4/2022 8:00",8.2
"26/4/2022 9:00",7.72
"26/4/2022 10:00",6.5
"26/4/2022 11:00",6.6
"26/4/2022 12:00",6.52
"26/4/2022 13:00",6.69
"26/4/2022 14:00",7.1
"26/4/2022 15:00",7.17
"26/4/2022 16:00",7.02
"26/4/2022 17:00",7.06
"26/4/2022 18:00",7.73
"26/4/2022 19:00",8.11
"26/4/2022 20:00",9.35
"26/4/2022 21:00",9.74
"26/4/2022 22:00",10.95
"26/4/2022 23:00",13.76
"27/4/2022 0:00",12.23
"27/4/2022 1:00",9.89
"27/4/2022 2:00",6.4
"27/4/2022 3:00",6.23
"27/4/2022 4:00",7.62
"27/4/2022 5:00",6.66
"27/4/2022 6:00",5.87
"27/4/2022 7:00",5.31
"27/4/2022 8:00",4.62
"27/4/2022 9:00",5.01
"27/4/2022 10:00",4.85
"27/4/2022 11:00",5.44
"27/4/2022 12:00",5.12
"27/4/2022 13:00",6.34
"27/4/2022 14:00",6.93
"27/4/2022 15:00",6.24
"27/4/2022 16:00",9.16
"27/4/2022 17:00",8.13
"27/4/2022 18:00",7.54
"27/4/2022 19:00",7.31
"27/4/2022 20:00",6.92
"27/4/2022 21:00",7.12
"27/4/2022 22:00",7.85
"27/4/2022 23:00",7.53
"28/4/2022 0:00",6.61
"28/4/2022 1:00",10.43
"28/4/2022 2:00",12.29
"28/4/2022 3:00",11.38
"28/4/2022 4:00",12.34
"28/4/2022 5:00",16.59
"28/4/2022 6:00",17.49
"28/4/2022 7:00",18.24
"28/4/2022 8:00",14.34
"28/4/2022 9:00",16.71
"28/4/2022 10:00",18.39
"28/4/2022 11:00",19.14
"28/4/2022 12:00",25.16
"28/4/2022 13:00",29.49
"28/4/2022 14:00",26.77
"28/4/2022 15:00",24.52
"28/4/2022 16:00",27.24
"28/4/2022 17:00",24.08
"28/4/2022 18:00",24.04
"28/4/2022 19:00",25.05
"28/4/2022 20:00",29.39
"28/4/2022 21:00",25.2
"28/4/2022 22:00",29.08
"28/4/2022 23:00",25.64
"29/4/2022 0:00",21.78
"29/4/2022 1:00",11.92
"29/4/2022 2:00",12.66
"29/4/2022 3:00",12.92
"29/4/2022 4:00",13.05
"29/4/2022 5:00",12.84
"29/4/2022 6:00",12.37
"29/4/2022 7:00",11.32
"29/4/2022 8:00",9.32
"29/4/2022 9:00",8.51
"29/4/2022 10:00",8.78
"29/4/2022 11:00",8.65
"29/4/2022 12:00",8.78
"29/4/2022 13:00",9.2
"29/4/2022 14:00",9.58
"29/4/2022 15:00",10.04
"29/4/2022 16:00",11.28
"29/4/2022 17:00",9.75
"29/4/2022 18:00",9.27
"29/4/2022 19:00",9.26
"29/4/2022 20:00",9.58
"29/4/2022 21:00",10.06
"29/4/2022 22:00",10.93
"29/4/2022 23:00",10.4
"30/4/2022 0:00",12.18
"30/4/2022 1:00",14.37
"30/4/2022 2:00",14.94
"30/4/2022 3:00",13.56
"30/4/2022 4:00",11.6
"30/4/2022 5:00",15.55
"30/4/2022 6:00",17.62
"30/4/2022 7:00",16.82
"30/4/2022 8:00",12.99
"30/4/2022 9:00",14.47
"30/4/2022 10:00",15.11
"30/4/2022 11:00",13.89
"30/4/2022 12:00",12.93
"30/4/2022 13:00",12.48
"30/4/2022 14:00",12.74
"30/4/2022 15:00",10.75
"30/4/2022 16:00",12.94
"30/4/2022 17:00",10.43
"30/4/2022 18:00",11.06
"30/4/2022 19:00",11.89
"30/4/2022 20:00",13.02
"30/4/2022 21:00",14.27
"30/4/2022 22:00",16.44
"30/4/2022 23:00",15.67
"1/5/2022 0:00",17.15
"1/5/2022 1:00",12.54
"1/5/2022 2:00",12.42
"1/5/2022 3:00",12.33
"1/5/2022 4:00",12.57
"1/5/2022 5:00",12.34
"1/5/2022 6:00",12.1
"1/5/2022 7:00",12.01
"1/5/2022 8:00",10.98
"1/5/2022 9:00",8.44
"1/5/2022 10:00",7.97
"1/5/2022 11:00",7.81
"1/5/2022 12:00",8.07
"1/5/2022 13:00",11.07
"1/5/2022 14:00",13.54
"1/5/2022 15:00",11.36
"1/5/2022 16:00",10.28
"1/5/2022 17:00",9.55
"1/5/2022 18:00",9.47
"1/5/2022 19:00",9.25
"1/5/2022 20:00",10.4
"1/5/2022 21:00",14.91
"1/5/2022 22:00",15.55
"1/5/2022 23:00",14.79
"2/5/2022 0:00",11.7
"2/5/2022 1:00",10.67
"2/5/2022 2:00",10.69
"2/5/2022 3:00",13.02
"2/5/2022 4:00",15.18
"2/5/2022 5:00",17.84
"2/5/2022 6:00",18.66
"2/5/2022 7:00",18.71
"2/5/2022 8:00",16.17
"2/5/2022 9:00",12.91
"2/5/2022 10:00",15.01
"2/5/2022 11:00",13.48
"2/5/2022 12:00",13.32
"2/5/2022 13:00",11.61
"2/5/2022 14:00",11.59
"2/5/2022 15:00",13.55
"2/5/2022 16:00",13.87
"2/5/2022 17:00",12.72
"2/5/2022 18:00",13.99
"2/5/2022 19:00",13.35
"2/5/2022 20:00",13.28
"2/5/2022 21:00",13.7
"2/5/2022 22:00",13.73
"2/5/2022 23:00",15.25
