"Category","Nitrogen dioxide"
"29/7/2023 4:00",14.2
"29/7/2023 5:00",15.76
"29/7/2023 6:00",16.27
"29/7/2023 7:00",14
"29/7/2023 8:00",13.8
"29/7/2023 9:00",14.28
"29/7/2023 10:00",9.55
"29/7/2023 11:00",5.2
"29/7/2023 12:00",10.53
"29/7/2023 13:00",11.3
"29/7/2023 14:00",12.79
"29/7/2023 15:00",14.52
"29/7/2023 16:00",18.28
"29/7/2023 17:00",17.09
"29/7/2023 18:00",17.08
"29/7/2023 19:00",19.67
"29/7/2023 20:00",24
"29/7/2023 21:00",23.57
"29/7/2023 22:00",22.7
"29/7/2023 23:00",21.78
"30/7/2023 0:00",18.43
"30/7/2023 1:00",6.6
"30/7/2023 2:00",6.17
"30/7/2023 3:00",4.43
"30/7/2023 4:00",3.05
"30/7/2023 5:00",3.06
"30/7/2023 6:00",4.57
"30/7/2023 7:00",4.17
"30/7/2023 8:00",4.32
"30/7/2023 9:00",3.16
"30/7/2023 10:00",3.62
"30/7/2023 11:00",6.52
"30/7/2023 12:00",8.58
"30/7/2023 13:00",6.41
"30/7/2023 14:00",6.28
"30/7/2023 15:00",13.62
"30/7/2023 16:00",19.74
"30/7/2023 17:00",13.38
"30/7/2023 18:00",12.5
"30/7/2023 19:00",13.86
"30/7/2023 20:00",9.79
"30/7/2023 21:00",8.22
"30/7/2023 22:00",6.24
"30/7/2023 23:00",5.41
"31/7/2023 0:00",4.43
"31/7/2023 1:00",8.76
"31/7/2023 2:00",8.1
"31/7/2023 3:00",7.21
"31/7/2023 4:00",9.45
"31/7/2023 5:00",11.95
"31/7/2023 6:00",13.23
"31/7/2023 7:00",13.2
"31/7/2023 8:00",14.89
"31/7/2023 9:00",16.56
"31/7/2023 10:00",16.22
"31/7/2023 11:00",13.74
"31/7/2023 12:00",13.39
"31/7/2023 13:00",12.27
"31/7/2023 14:00",17.91
"31/7/2023 15:00",18.64
"31/7/2023 16:00",10.54
"31/7/2023 17:00",8.9
"31/7/2023 18:00",14.35
"31/7/2023 19:00",14.9
"31/7/2023 20:00",15.85
"31/7/2023 21:00",17.15
"31/7/2023 22:00",18.79
"31/7/2023 23:00",15.57
"1/8/2023 0:00",10.35
"1/8/2023 1:00",3.61
"1/8/2023 2:00",3.39
"1/8/2023 3:00",3.88
"1/8/2023 4:00",4.73
"1/8/2023 5:00",6.87
"1/8/2023 6:00",9.08
"1/8/2023 7:00",10.46
"1/8/2023 8:00",9.7
"1/8/2023 9:00",8.05
"1/8/2023 10:00",8.46
"1/8/2023 11:00",9.84
"1/8/2023 12:00",8.04
"1/8/2023 13:00",8.79
"1/8/2023 14:00",9.28
"1/8/2023 15:00",5.96
"1/8/2023 16:00",6.52
"1/8/2023 17:00",12.48
"1/8/2023 18:00",13.32
"1/8/2023 19:00",
"1/8/2023 20:00",
"1/8/2023 21:00",6.22
"1/8/2023 22:00",9.82
"1/8/2023 23:00",7.29
"2/8/2023 0:00",5.99
