"Category","PM<sub>2.5</sub> particulates"
"29/7/2023 4:00",7.72
"29/7/2023 5:00",7.84
"29/7/2023 6:00",8.48
"29/7/2023 7:00",7.62
"29/7/2023 8:00",6.54
"29/7/2023 9:00",6.03
"29/7/2023 10:00",5.93
"29/7/2023 11:00",6.18
"29/7/2023 12:00",6.01
"29/7/2023 13:00",5.49
"29/7/2023 14:00",5.34
"29/7/2023 15:00",5.04
"29/7/2023 16:00",5.39
"29/7/2023 17:00",5.23
"29/7/2023 18:00",5.59
"29/7/2023 19:00",5.28
"29/7/2023 20:00",5.6
"29/7/2023 21:00",6.03
"29/7/2023 22:00",6.1
"29/7/2023 23:00",6.23
"30/7/2023 0:00",6.17
"30/7/2023 1:00",4.25
"30/7/2023 2:00",4.03
"30/7/2023 3:00",3.99
"30/7/2023 4:00",3.62
"30/7/2023 5:00",3.67
"30/7/2023 6:00",3.8
"30/7/2023 7:00",3.94
"30/7/2023 8:00",3.9
"30/7/2023 9:00",3.8
"30/7/2023 10:00",4.12
"30/7/2023 11:00",3.92
"30/7/2023 12:00",3.79
"30/7/2023 13:00",3.89
"30/7/2023 14:00",4.53
"30/7/2023 15:00",4.88
"30/7/2023 16:00",3.96
"30/7/2023 17:00",3.93
"30/7/2023 18:00",5.21
"30/7/2023 19:00",6.78
"30/7/2023 20:00",7.17
"30/7/2023 21:00",6.89
"30/7/2023 22:00",6.99
"30/7/2023 23:00",7.15
"31/7/2023 0:00",6.45
"31/7/2023 1:00",6.55
"31/7/2023 2:00",3.24
"31/7/2023 3:00",3.78
"31/7/2023 4:00",3.56
"31/7/2023 5:00",2.69
"31/7/2023 6:00",2.77
"31/7/2023 7:00",3.02
"31/7/2023 8:00",3.13
"31/7/2023 9:00",3.14
"31/7/2023 10:00",3.37
"31/7/2023 11:00",2.79
"31/7/2023 12:00",3.49
"31/7/2023 13:00",4.07
"31/7/2023 14:00",5.02
"31/7/2023 15:00",6.36
"31/7/2023 16:00",5.8
"31/7/2023 17:00",4.42
"31/7/2023 18:00",4.69
"31/7/2023 19:00",4.51
"31/7/2023 20:00",4.7
"31/7/2023 21:00",4.76
"31/7/2023 22:00",5.32
"31/7/2023 23:00",5.06
"1/8/2023 0:00",5.24
"1/8/2023 1:00",7.47
"1/8/2023 2:00",7.81
"1/8/2023 3:00",7.62
"1/8/2023 4:00",8.15
"1/8/2023 5:00",7.53
"1/8/2023 6:00",7.44
"1/8/2023 7:00",6.92
"1/8/2023 8:00",6.66
"1/8/2023 9:00",6.08
"1/8/2023 10:00",5.78
"1/8/2023 11:00",5.7
"1/8/2023 12:00",5.62
"1/8/2023 13:00",5.52
"1/8/2023 14:00",5.58
"1/8/2023 15:00",5.75
"1/8/2023 16:00",5.42
"1/8/2023 17:00",5.94
"1/8/2023 18:00",6.46
"1/8/2023 19:00",
