"Category","Nitrogen dioxide"
"26/5/2021 11:00",24.71
"26/5/2021 12:00",15.26
"26/5/2021 13:00",17.44
"26/5/2021 14:00",16.82
"26/5/2021 15:00",15.9
"26/5/2021 16:00",25.44
"26/5/2021 17:00",27.05
"26/5/2021 18:00",28.28
"26/5/2021 19:00",32.84
"26/5/2021 20:00",33.25
"26/5/2021 21:00",37.83
"26/5/2021 22:00",35.66
"26/5/2021 23:00",42.11
"27/5/2021 0:00",51.03
"27/5/2021 1:00",54.49
"27/5/2021 2:00",58.84
"27/5/2021 3:00",57.1
"27/5/2021 4:00",55.87
"27/5/2021 5:00",55.15
"27/5/2021 6:00",54.07
"27/5/2021 7:00",51.28
"27/5/2021 8:00",28.2
"27/5/2021 9:00",15.08
"27/5/2021 10:00",17.6
"27/5/2021 11:00",23.05
"27/5/2021 12:00",24.81
"27/5/2021 13:00",23.44
"27/5/2021 14:00",24.08
"27/5/2021 15:00",27.3
"27/5/2021 16:00",27.49
"27/5/2021 17:00",38.2
"27/5/2021 18:00",36.12
"27/5/2021 19:00",39.78
"27/5/2021 20:00",42.43
"27/5/2021 21:00",47.85
"27/5/2021 22:00",52.05
"27/5/2021 23:00",56.81
"28/5/2021 0:00",55.01
"28/5/2021 1:00",58.76
"28/5/2021 2:00",54.5
"28/5/2021 3:00",50.03
"28/5/2021 4:00",45.62
"28/5/2021 5:00",48.01
"28/5/2021 6:00",48.04
"28/5/2021 7:00",47.03
"28/5/2021 8:00",33.78
"28/5/2021 9:00",23.21
"28/5/2021 10:00",28.13
"28/5/2021 11:00",39.76
"28/5/2021 12:00",34.37
"28/5/2021 13:00",34.28
"28/5/2021 14:00",35.12
"28/5/2021 15:00",51.03
"28/5/2021 16:00",60.95
"28/5/2021 17:00",54.65
"28/5/2021 18:00",61.58
"28/5/2021 19:00",52.24
"28/5/2021 20:00",48.6
"28/5/2021 21:00",59.85
"28/5/2021 22:00",59.66
"28/5/2021 23:00",64.1
"29/5/2021 0:00",61.42
"29/5/2021 1:00",47.37
"29/5/2021 2:00",49.99
"29/5/2021 3:00",43.09
"29/5/2021 4:00",35.02
"29/5/2021 5:00",33.9
"29/5/2021 6:00",34.06
"29/5/2021 7:00",31.6
"29/5/2021 8:00",28.58
"29/5/2021 9:00",27.99
"29/5/2021 10:00",26.85
"29/5/2021 11:00",28.33
"29/5/2021 12:00",24.46
"29/5/2021 13:00",21.39
"29/5/2021 14:00",16.47
"29/5/2021 15:00",16.24
"29/5/2021 16:00",17.61
"29/5/2021 17:00",17.29
"29/5/2021 18:00",18.92
"29/5/2021 19:00",26.08
"29/5/2021 20:00",32.31
"29/5/2021 21:00",38.44
"29/5/2021 22:00",39.64
"29/5/2021 23:00",37.56
"30/5/2021 0:00",34.05
"30/5/2021 1:00",29.42
"30/5/2021 2:00",25.94
"30/5/2021 3:00",22.13
"30/5/2021 4:00",20.42
"30/5/2021 5:00",18.91
"30/5/2021 6:00",18.59
"30/5/2021 7:00",17.79
"30/5/2021 8:00",17.67
"30/5/2021 9:00",19
"30/5/2021 10:00",20.43
"30/5/2021 11:00",18.32
"30/5/2021 12:00",11.21
"30/5/2021 13:00",9.6
"30/5/2021 14:00",12.22
"30/5/2021 15:00",20.13
"30/5/2021 16:00",21.71
"30/5/2021 17:00",22.05
"30/5/2021 18:00",23.99
"30/5/2021 19:00",25.01
"30/5/2021 20:00",25.63
"30/5/2021 21:00",24.96
"30/5/2021 22:00",25.5
"30/5/2021 23:00",25
"31/5/2021 0:00",24.14
"31/5/2021 1:00",25.88
"31/5/2021 2:00",27.01
"31/5/2021 3:00",27.15
"31/5/2021 4:00",25.71
"31/5/2021 5:00",25.56
"31/5/2021 6:00",27.49
"31/5/2021 7:00",29.52
"31/5/2021 8:00",30.58
"31/5/2021 9:00",35.28
"31/5/2021 10:00",26.7
"31/5/2021 11:00",21.78
"31/5/2021 12:00",17.29
"31/5/2021 13:00",15.6
"31/5/2021 14:00",17.11
"31/5/2021 15:00",20.24
"31/5/2021 16:00",23.99
"31/5/2021 17:00",23.11
"31/5/2021 18:00",26.67
"31/5/2021 19:00",29.29
"31/5/2021 20:00",38.26
"31/5/2021 21:00",40.28
"31/5/2021 22:00",43.51
"31/5/2021 23:00",42.09
"1/6/2021 0:00",42.21
"1/6/2021 1:00",58.57
"1/6/2021 2:00",60.99
"1/6/2021 3:00",61.39
"1/6/2021 4:00",63.9
"1/6/2021 5:00",64.64
"1/6/2021 6:00",63.79
"1/6/2021 7:00",63.83
"1/6/2021 8:00",56.49
