"Category","PM<sub>2.5</sub> particulates"
"26/5/2021 11:00",6.06
"26/5/2021 12:00",5.19
"26/5/2021 13:00",4.87
"26/5/2021 14:00",5.02
"26/5/2021 15:00",5
"26/5/2021 16:00",5.71
"26/5/2021 17:00",5.62
"26/5/2021 18:00",6.17
"26/5/2021 19:00",7.23
"26/5/2021 20:00",6.28
"26/5/2021 21:00",7.27
"26/5/2021 22:00",6.7
"26/5/2021 23:00",7.23
"27/5/2021 0:00",8.22
"27/5/2021 1:00",10.73
"27/5/2021 2:00",11.63
"27/5/2021 3:00",13.19
"27/5/2021 4:00",13.8
"27/5/2021 5:00",13.76
"27/5/2021 6:00",14.75
"27/5/2021 7:00",15.19
"27/5/2021 8:00",8.93
"27/5/2021 9:00",5.86
"27/5/2021 10:00",5.64
"27/5/2021 11:00",5.96
"27/5/2021 12:00",5.72
"27/5/2021 13:00",5.78
"27/5/2021 14:00",5.76
"27/5/2021 15:00",5.82
"27/5/2021 16:00",6.02
"27/5/2021 17:00",7.72
"27/5/2021 18:00",8.17
"27/5/2021 19:00",9.29
"27/5/2021 20:00",11.56
"27/5/2021 21:00",14.83
"27/5/2021 22:00",16.55
"27/5/2021 23:00",17.5
"28/5/2021 0:00",17.35
"28/5/2021 1:00",15.85
"28/5/2021 2:00",17.26
"28/5/2021 3:00",17.44
"28/5/2021 4:00",16.43
"28/5/2021 5:00",15.73
"28/5/2021 6:00",14.95
"28/5/2021 7:00",14.9
"28/5/2021 8:00",15.46
"28/5/2021 9:00",13.34
"28/5/2021 10:00",11.99
"28/5/2021 11:00",12.7
"28/5/2021 12:00",11.73
"28/5/2021 13:00",10.77
"28/5/2021 14:00",10.15
"28/5/2021 15:00",11.36
"28/5/2021 16:00",12.57
"28/5/2021 17:00",11.82
"28/5/2021 18:00",13.15
"28/5/2021 19:00",11.42
"28/5/2021 20:00",10.01
"28/5/2021 21:00",11.77
"28/5/2021 22:00",13.16
"28/5/2021 23:00",14.45
"29/5/2021 0:00",12.93
"29/5/2021 1:00",13.01
"29/5/2021 2:00",15.39
"29/5/2021 3:00",16.54
"29/5/2021 4:00",18.03
"29/5/2021 5:00",19.68
"29/5/2021 6:00",20.63
"29/5/2021 7:00",19.98
"29/5/2021 8:00",18.15
"29/5/2021 9:00",15.56
"29/5/2021 10:00",12.91
"29/5/2021 11:00",14.12
"29/5/2021 12:00",13.69
"29/5/2021 13:00",14
"29/5/2021 14:00",14.77
"29/5/2021 15:00",13.47
"29/5/2021 16:00",12.14
"29/5/2021 17:00",10.18
"29/5/2021 18:00",9.34
"29/5/2021 19:00",9.06
"29/5/2021 20:00",8.8
"29/5/2021 21:00",10.02
"29/5/2021 22:00",11.93
"29/5/2021 23:00",11.5
"30/5/2021 0:00",13.96
"30/5/2021 1:00",13.75
"30/5/2021 2:00",16.6
"30/5/2021 3:00",16.38
"30/5/2021 4:00",15
"30/5/2021 5:00",15.7
"30/5/2021 6:00",15.62
"30/5/2021 7:00",14.58
"30/5/2021 8:00",12.54
"30/5/2021 9:00",13.32
"30/5/2021 10:00",14.55
"30/5/2021 11:00",14.85
"30/5/2021 12:00",13.35
"30/5/2021 13:00",10.4
"30/5/2021 14:00",9.81
"30/5/2021 15:00",10.4
"30/5/2021 16:00",11.74
"30/5/2021 17:00",12.55
"30/5/2021 18:00",13.42
"30/5/2021 19:00",13.59
"30/5/2021 20:00",14.13
"30/5/2021 21:00",14.27
"30/5/2021 22:00",15.75
"30/5/2021 23:00",17.23
"31/5/2021 0:00",17.26
"31/5/2021 1:00",19.57
"31/5/2021 2:00",19.37
"31/5/2021 3:00",18.61
"31/5/2021 4:00",18.62
"31/5/2021 5:00",18.96
"31/5/2021 6:00",19.07
"31/5/2021 7:00",19.48
"31/5/2021 8:00",20.22
"31/5/2021 9:00",20.36
"31/5/2021 10:00",19.31
"31/5/2021 11:00",16.72
"31/5/2021 12:00",12.72
"31/5/2021 13:00",10.56
"31/5/2021 14:00",9.91
"31/5/2021 15:00",9.75
"31/5/2021 16:00",10.4
"31/5/2021 17:00",10.71
"31/5/2021 18:00",11.78
"31/5/2021 19:00",11.17
"31/5/2021 20:00",12.31
"31/5/2021 21:00",15.08
"31/5/2021 22:00",16.01
"31/5/2021 23:00",16.48
"1/6/2021 0:00",15.96
"1/6/2021 1:00",20.28
"1/6/2021 2:00",18.27
"1/6/2021 3:00",17.5
"1/6/2021 4:00",18.68
"1/6/2021 5:00",20.82
"1/6/2021 6:00",22.19
"1/6/2021 7:00",22.55
"1/6/2021 8:00",21.5
"1/6/2021 9:00",20.66
"1/6/2021 10:00",19.32
"1/6/2021 11:00",13.77
