"Category","PM<sub>2.5</sub> particulates"
"28/1/2021 23:00",1.41
"29/1/2021 0:00",1.31
"29/1/2021 1:00",0.97
"29/1/2021 2:00",4.43
"29/1/2021 3:00",4.34
"29/1/2021 4:00",4.79
"29/1/2021 5:00",3.73
"29/1/2021 6:00",2.19
"29/1/2021 7:00",2.41
"29/1/2021 8:00",2.26
"29/1/2021 9:00",2.87
"29/1/2021 10:00",3.6
"29/1/2021 11:00",1.41
"29/1/2021 12:00",1.7
"29/1/2021 13:00",1.28
"29/1/2021 14:00",1.87
"29/1/2021 15:00",0.91
"29/1/2021 16:00",1.77
"29/1/2021 17:00",1.35
"29/1/2021 18:00",3.71
"29/1/2021 19:00",9.28
"29/1/2021 20:00",11.36
"29/1/2021 21:00",9.89
"29/1/2021 22:00",8.87
"29/1/2021 23:00",7.79
"30/1/2021 0:00",7.67
"30/1/2021 1:00",6.78
"30/1/2021 2:00",6.51
"30/1/2021 3:00",6.68
"30/1/2021 4:00",11.1
"30/1/2021 5:00",11.85
"30/1/2021 6:00",7.75
"30/1/2021 7:00",3.01
"30/1/2021 8:00",4.61
"30/1/2021 9:00",5.79
"30/1/2021 10:00",9.52
"30/1/2021 11:00",12.84
"30/1/2021 12:00",14.25
"30/1/2021 13:00",16.35
"30/1/2021 14:00",14.87
"30/1/2021 15:00",19.24
"30/1/2021 16:00",25.68
"30/1/2021 17:00",39.64
"30/1/2021 18:00",36.44
"30/1/2021 19:00",25.23
"30/1/2021 20:00",25.86
"30/1/2021 21:00",29.49
"30/1/2021 22:00",23.18
"30/1/2021 23:00",16.97
"31/1/2021 0:00",13.48
"31/1/2021 1:00",4.09
"31/1/2021 2:00",1.91
"31/1/2021 3:00",1.89
"31/1/2021 4:00",2.88
"31/1/2021 5:00",4.09
"31/1/2021 6:00",7.77
"31/1/2021 7:00",9.04
"31/1/2021 8:00",10.73
"31/1/2021 9:00",10.93
"31/1/2021 10:00",20.74
"31/1/2021 11:00",19.15
"31/1/2021 12:00",24.19
"31/1/2021 13:00",24.62
"31/1/2021 14:00",30.11
"31/1/2021 15:00",44.55
"31/1/2021 16:00",49.3
"31/1/2021 17:00",56
"31/1/2021 18:00",51.58
"31/1/2021 19:00",46.87
"31/1/2021 20:00",50.82
"31/1/2021 21:00",56.42
"31/1/2021 22:00",45.67
"31/1/2021 23:00",44.38
"1/2/2021 0:00",34.46
"1/2/2021 1:00",23.93
"1/2/2021 2:00",33.15
"1/2/2021 3:00",45.11
"1/2/2021 4:00",45.97
"1/2/2021 5:00",36.88
"1/2/2021 6:00",40.6
"1/2/2021 7:00",36.52
"1/2/2021 8:00",40
"1/2/2021 9:00",33.62
"1/2/2021 10:00",18.99
"1/2/2021 11:00",26.64
"1/2/2021 12:00",18.08
"1/2/2021 13:00",27.17
"1/2/2021 14:00",37.65
"1/2/2021 15:00",30.82
"1/2/2021 16:00",37.4
"1/2/2021 17:00",41.41
"1/2/2021 18:00",44.27
"1/2/2021 19:00",53.97
"1/2/2021 20:00",53.83
"1/2/2021 21:00",52.97
"1/2/2021 22:00",52.32
"1/2/2021 23:00",52.91
"2/2/2021 0:00",61.04
"2/2/2021 1:00",55.5
"2/2/2021 2:00",50.29
"2/2/2021 3:00",26.93
"2/2/2021 4:00",25
"2/2/2021 5:00",27.06
"2/2/2021 6:00",28.6
"2/2/2021 7:00",21.52
"2/2/2021 8:00",8.31
"2/2/2021 9:00",2.84
"2/2/2021 10:00",2.69
"2/2/2021 11:00",4.9
"2/2/2021 12:00",8.15
"2/2/2021 13:00",8.95
"2/2/2021 14:00",8.73
"2/2/2021 15:00",8.69
"2/2/2021 16:00",9.46
"2/2/2021 17:00",10.41
"2/2/2021 18:00",8.99
"2/2/2021 19:00",4.86
"2/2/2021 20:00",4.74
"2/2/2021 21:00",5.58
"2/2/2021 22:00",5.12
"2/2/2021 23:00",1.92
"3/2/2021 0:00",2.05
"3/2/2021 1:00",2.16
"3/2/2021 2:00",1.34
"3/2/2021 3:00",2.13
"3/2/2021 4:00",2.9
"3/2/2021 5:00",2.89
"3/2/2021 6:00",3.8
"3/2/2021 7:00",5.61
"3/2/2021 8:00",8.21
"3/2/2021 9:00",8.93
"3/2/2021 10:00",7.13
"3/2/2021 11:00",4.29
"3/2/2021 12:00",15.13
"3/2/2021 13:00",11.5
"3/2/2021 14:00",3.62
"3/2/2021 15:00",1.95
"3/2/2021 16:00",1.93
"3/2/2021 17:00",3.03
"3/2/2021 18:00",3.15
"3/2/2021 19:00",4.3
"3/2/2021 20:00",4.5
"3/2/2021 21:00",5.38
"3/2/2021 22:00",4.21
"3/2/2021 23:00",3.66
"4/2/2021 0:00",4.49
"4/2/2021 1:00",4.59
"4/2/2021 2:00",4.46
"4/2/2021 3:00",4.38
"4/2/2021 4:00",4.64
"4/2/2021 5:00",4.72
"4/2/2021 6:00",5.12
"4/2/2021 7:00",6.71
"4/2/2021 8:00",7.44
"4/2/2021 9:00",6.72
"4/2/2021 10:00",6.65
"4/2/2021 11:00",6.76
"4/2/2021 12:00",7.05
"4/2/2021 13:00",9.38
"4/2/2021 14:00",8
"4/2/2021 15:00",7.92
"4/2/2021 16:00",7.14
"4/2/2021 17:00",7.26
"4/2/2021 18:00",8.36
"4/2/2021 19:00",9.21
"4/2/2021 20:00",8.02
"4/2/2021 21:00",4.86
"4/2/2021 22:00",5.46
"4/2/2021 23:00",4.71
"5/2/2021 0:00",2.6
"5/2/2021 1:00",3.13
"5/2/2021 2:00",4.54
"5/2/2021 3:00",4.94
"5/2/2021 4:00",4.57
"5/2/2021 5:00",3.9
"5/2/2021 6:00",3.82
