"Category","Nitrogen dioxide"
"23/6/2022 13:00",32.18
"23/6/2022 14:00",28.99
"23/6/2022 15:00",17.81
"23/6/2022 16:00",14.9
"23/6/2022 17:00",18.43
"23/6/2022 18:00",23.91
"23/6/2022 19:00",24.72
"23/6/2022 20:00",21.15
"23/6/2022 21:00",26.41
"23/6/2022 22:00",27.87
"23/6/2022 23:00",19.35
"24/6/2022 0:00",17.88
"24/6/2022 1:00",5.96
"24/6/2022 2:00",6.95
"24/6/2022 3:00",7.09
"24/6/2022 4:00",9.04
"24/6/2022 5:00",12.78
"24/6/2022 6:00",14.55
"24/6/2022 7:00",14.1
"24/6/2022 8:00",13.48
"24/6/2022 9:00",13.63
"24/6/2022 10:00",14.21
"24/6/2022 11:00",12.9
"24/6/2022 12:00",11.6
"24/6/2022 13:00",11.4
"24/6/2022 14:00",11.4
"24/6/2022 15:00",11.09
"24/6/2022 16:00",10.22
"24/6/2022 17:00",9.58
"24/6/2022 18:00",9.57
"24/6/2022 19:00",10.54
"24/6/2022 20:00",11.15
"24/6/2022 21:00",11.57
"24/6/2022 22:00",10.94
"24/6/2022 23:00",11.58
"25/6/2022 0:00",15.88
"25/6/2022 1:00",24.61
"25/6/2022 2:00",26.03
"25/6/2022 3:00",25.2
"25/6/2022 4:00",25.16
"25/6/2022 5:00",25.06
"25/6/2022 6:00",25.11
"25/6/2022 7:00",19.9
"25/6/2022 8:00",12.3
"25/6/2022 9:00",11.53
"25/6/2022 10:00",9.1
"25/6/2022 11:00",6.42
"25/6/2022 12:00",10.31
"25/6/2022 13:00",10.96
"25/6/2022 14:00",9.47
"25/6/2022 15:00",10.85
"25/6/2022 16:00",11.5
"25/6/2022 17:00",13.65
"25/6/2022 18:00",17.38
"25/6/2022 19:00",19.34
"25/6/2022 20:00",22.77
"25/6/2022 21:00",24.58
"25/6/2022 22:00",24.55
"25/6/2022 23:00",27.33
"26/6/2022 0:00",27.26
"26/6/2022 1:00",14.71
"26/6/2022 2:00",14.71
"26/6/2022 3:00",14.88
"26/6/2022 4:00",15.28
"26/6/2022 5:00",15.71
"26/6/2022 6:00",13.86
"26/6/2022 7:00",11.83
"26/6/2022 8:00",7.02
"26/6/2022 9:00",6.03
"26/6/2022 10:00",4.67
"26/6/2022 11:00",3.23
"26/6/2022 12:00",4.82
"26/6/2022 13:00",3.23
"26/6/2022 14:00",3.94
"26/6/2022 15:00",4.6
"26/6/2022 16:00",6.28
"26/6/2022 17:00",7.97
