"Category","PM<sub>2.5</sub> particulates"
"23/6/2022 13:00",8.07
"23/6/2022 14:00",9.56
"23/6/2022 15:00",10.28
"23/6/2022 16:00",8.14
"23/6/2022 17:00",9.85
"23/6/2022 18:00",8.72
"23/6/2022 19:00",9
"23/6/2022 20:00",7.66
"23/6/2022 21:00",7.45
"23/6/2022 22:00",7.15
"23/6/2022 23:00",7.75
"24/6/2022 0:00",5.67
"24/6/2022 1:00",7.69
"24/6/2022 2:00",10.65
"24/6/2022 3:00",12.66
"24/6/2022 4:00",13.13
"24/6/2022 5:00",13.24
"24/6/2022 6:00",13.55
"24/6/2022 7:00",12.45
"24/6/2022 8:00",9.05
"24/6/2022 9:00",6.04
"24/6/2022 10:00",5.03
"24/6/2022 11:00",4.82
"24/6/2022 12:00",5.19
"24/6/2022 13:00",5.12
"24/6/2022 14:00",5.34
"24/6/2022 15:00",5.66
"24/6/2022 16:00",6.11
"24/6/2022 17:00",5.77
"24/6/2022 18:00",5.34
"24/6/2022 19:00",5.24
"24/6/2022 20:00",6.27
"24/6/2022 21:00",5.74
"24/6/2022 22:00",6.12
"24/6/2022 23:00",6.08
"25/6/2022 0:00",5.01
"25/6/2022 1:00",8.38
"25/6/2022 2:00",7.07
"25/6/2022 3:00",8.77
"25/6/2022 4:00",8.11
"25/6/2022 5:00",8.05
"25/6/2022 6:00",7.94
"25/6/2022 7:00",7.85
"25/6/2022 8:00",10.1
"25/6/2022 9:00",11.84
"25/6/2022 10:00",6.14
"25/6/2022 11:00",4.84
"25/6/2022 12:00",5.66
"25/6/2022 13:00",5.81
"25/6/2022 14:00",5.31
"25/6/2022 15:00",6.35
"25/6/2022 16:00",5.43
"25/6/2022 17:00",6.41
"25/6/2022 18:00",7.86
"25/6/2022 19:00",8.58
"25/6/2022 20:00",9.48
"25/6/2022 21:00",10.15
"25/6/2022 22:00",9.54
"25/6/2022 23:00",10.39
"26/6/2022 0:00",10.25
"26/6/2022 1:00",4.35
"26/6/2022 2:00",4.11
"26/6/2022 3:00",4.12
"26/6/2022 4:00",3.98
"26/6/2022 5:00",4.98
"26/6/2022 6:00",3.86
"26/6/2022 7:00",3.83
"26/6/2022 8:00",3.57
"26/6/2022 9:00",3.55
"26/6/2022 10:00",3.52
"26/6/2022 11:00",3.4
"26/6/2022 12:00",3.56
"26/6/2022 13:00",3.39
"26/6/2022 14:00",3.35
"26/6/2022 15:00",3.4
"26/6/2022 16:00",3.34
"26/6/2022 17:00",3.39
"26/6/2022 18:00",3.53
"26/6/2022 19:00",3.59
"26/6/2022 20:00",3.57
"26/6/2022 21:00",3.65
"26/6/2022 22:00",3.74
"26/6/2022 23:00",3.88
"27/6/2022 0:00",3.94
"27/6/2022 1:00",3.86
"27/6/2022 2:00",3.97
"27/6/2022 3:00",3.9
"27/6/2022 4:00",4.06
"27/6/2022 5:00",4.28
"27/6/2022 6:00",4.62
"27/6/2022 7:00",4.08
"27/6/2022 8:00",3.34
"27/6/2022 9:00",3.05
"27/6/2022 10:00",2.98
"27/6/2022 11:00",3.37
"27/6/2022 12:00",2.76
"27/6/2022 13:00",2.83
"27/6/2022 14:00",2.55
"27/6/2022 15:00",4.12
"27/6/2022 16:00",2.9
"27/6/2022 17:00",3.69
"27/6/2022 18:00",4.13
"27/6/2022 19:00",3.77
"27/6/2022 20:00",3.77
"27/6/2022 21:00",3.92
"27/6/2022 22:00",4.51
"27/6/2022 23:00",4.65
"28/6/2022 0:00",5.29
"28/6/2022 1:00",4.77
"28/6/2022 2:00",5.24
"28/6/2022 3:00",5
"28/6/2022 4:00",5.18
"28/6/2022 5:00",5.03
"28/6/2022 6:00",4.8
"28/6/2022 7:00",5.01
"28/6/2022 8:00",4.47
"28/6/2022 9:00",3.95
"28/6/2022 10:00",3.79
"28/6/2022 11:00",4.75
"28/6/2022 12:00",4.19
"28/6/2022 13:00",3.57
"28/6/2022 14:00",3.5
"28/6/2022 15:00",3.06
"28/6/2022 16:00",3.24
"28/6/2022 17:00",3.17
"28/6/2022 18:00",3.92
"28/6/2022 19:00",3.57
"28/6/2022 20:00",3.94
"28/6/2022 21:00",4.22
"28/6/2022 22:00",3.95
"28/6/2022 23:00",4.54
"29/6/2022 0:00",4.53
"29/6/2022 1:00",2.59
"29/6/2022 2:00",2.82
"29/6/2022 3:00",2.34
"29/6/2022 4:00",1.72
"29/6/2022 5:00",7.83
"29/6/2022 6:00",2.66
"29/6/2022 7:00",2.64
"29/6/2022 8:00",6.08
"29/6/2022 9:00",3.22
"29/6/2022 10:00",4.4
"29/6/2022 11:00",8.23
"29/6/2022 12:00",3.68
"29/6/2022 13:00",2.19
"29/6/2022 14:00",1.43
"29/6/2022 15:00",1.17
"29/6/2022 16:00",0.78
"29/6/2022 17:00",1.36
"29/6/2022 18:00",2.73
"29/6/2022 19:00",14.19
"29/6/2022 20:00",3.18
"29/6/2022 21:00",3.13
"29/6/2022 22:00",4.22
"29/6/2022 23:00",4.79
"30/6/2022 0:00",8.56
"30/6/2022 1:00",4.66
"30/6/2022 2:00",4.97
"30/6/2022 3:00",9.27
"30/6/2022 4:00",5.28
"30/6/2022 5:00",3.97
"30/6/2022 6:00",3.44
"30/6/2022 7:00",4.88
"30/6/2022 8:00",3.19
"30/6/2022 9:00",2.69
"30/6/2022 10:00",2.84
"30/6/2022 11:00",2.03
"30/6/2022 12:00",2.1
"30/6/2022 13:00",2.91
"30/6/2022 14:00",2.57
"30/6/2022 15:00",2.79
"30/6/2022 16:00",2.02
"30/6/2022 17:00",2.1
"30/6/2022 18:00",1.87
"30/6/2022 19:00",3.78
"30/6/2022 20:00",3.3
"30/6/2022 21:00",3.07
"30/6/2022 22:00",3.63
"30/6/2022 23:00",3.76
"1/7/2022 0:00",5.07
"1/7/2022 1:00",3.54
"1/7/2022 2:00",3.92
"1/7/2022 3:00",3.94
"1/7/2022 4:00",4.09
"1/7/2022 5:00",4.14
"1/7/2022 6:00",5.1
"1/7/2022 7:00",4.29
"1/7/2022 8:00",4.69
"1/7/2022 9:00",4.19
"1/7/2022 10:00",3.52
"1/7/2022 11:00",3.41
"1/7/2022 12:00",3.29
"1/7/2022 13:00",3.03
"1/7/2022 14:00",3.26
"1/7/2022 15:00",3.11
"1/7/2022 16:00",2.98
"1/7/2022 17:00",2.98
"1/7/2022 18:00",3.06
"1/7/2022 19:00",2.97
"1/7/2022 20:00",2.91
"1/7/2022 21:00",3.03
"1/7/2022 22:00",3.28
"1/7/2022 23:00",3.34
"2/7/2022 0:00",3.86
"2/7/2022 1:00",3.28
"2/7/2022 2:00",3.64
"2/7/2022 3:00",3.96
"2/7/2022 4:00",3.58
"2/7/2022 5:00",4.07
"2/7/2022 6:00",3.49
"2/7/2022 7:00",2.87
"2/7/2022 8:00",2.17
"2/7/2022 9:00",1.89
"2/7/2022 10:00",1.73
"2/7/2022 11:00",1.6
"2/7/2022 12:00",1.64
"2/7/2022 13:00",2.11
"2/7/2022 14:00",1.67
"2/7/2022 15:00",1.67
"2/7/2022 16:00",1.76
"2/7/2022 17:00",1.84
"2/7/2022 18:00",2.37
"2/7/2022 19:00",2.9
"2/7/2022 20:00",3.01
"2/7/2022 21:00",2.83
"2/7/2022 22:00",2.39
"2/7/2022 23:00",2.35
"3/7/2022 0:00",2.44
"3/7/2022 1:00",2.52
"3/7/2022 2:00",2.59
"3/7/2022 3:00",2.62
"3/7/2022 4:00",2.86
"3/7/2022 5:00",2.74
"3/7/2022 6:00",2.87
"3/7/2022 7:00",2.9
"3/7/2022 8:00",2.9
"3/7/2022 9:00",2.76
"3/7/2022 10:00",2.49
"3/7/2022 11:00",2.42
"3/7/2022 12:00",2.63
"3/7/2022 13:00",2.35
"3/7/2022 14:00",2.37
"3/7/2022 15:00",2.53
"3/7/2022 16:00",2.39
"3/7/2022 17:00",2.68
"3/7/2022 18:00",2.71
"3/7/2022 19:00",2.91
"3/7/2022 20:00",3.03
"3/7/2022 21:00",3.34
"3/7/2022 22:00",3.19
"3/7/2022 23:00",3.51
"4/7/2022 0:00",2.92
"4/7/2022 1:00",3.88
"4/7/2022 2:00",3.24
"4/7/2022 3:00",3.34
"4/7/2022 4:00",3.42
"4/7/2022 5:00",3.83
"4/7/2022 6:00",4.55
"4/7/2022 7:00",3.45
"4/7/2022 8:00",2.89
"4/7/2022 9:00",2.42
"4/7/2022 10:00",2.42
"4/7/2022 11:00",2.69
"4/7/2022 12:00",2.52
"4/7/2022 13:00",2.7
"4/7/2022 14:00",2.87
"4/7/2022 15:00",3.79
"4/7/2022 16:00",3.88
"4/7/2022 17:00",3.44
"4/7/2022 18:00",3.62
"4/7/2022 19:00",3.44
"4/7/2022 20:00",2.98
"4/7/2022 21:00",3.11
"4/7/2022 22:00",3.58
"4/7/2022 23:00",3.59
"5/7/2022 0:00",11.75
"5/7/2022 1:00",43.6
"5/7/2022 2:00",2.85
"5/7/2022 3:00",3.08
"5/7/2022 4:00",2.95
"5/7/2022 5:00",2.96
"5/7/2022 6:00",3.59
"5/7/2022 7:00",3.11
"5/7/2022 8:00",2.79
"5/7/2022 9:00",2.83
"5/7/2022 10:00",2.77
"5/7/2022 11:00",2.75
"5/7/2022 12:00",2.59
"5/7/2022 13:00",2.51
"5/7/2022 14:00",2.54
"5/7/2022 15:00",2.56
"5/7/2022 16:00",2.56
"5/7/2022 17:00",2.75
"5/7/2022 18:00",2.61
"5/7/2022 19:00",2.8
"5/7/2022 20:00",3.13
"5/7/2022 21:00",3.07
"5/7/2022 22:00",3
"5/7/2022 23:00",2.69
"6/7/2022 0:00",2.72
"6/7/2022 1:00",2.51
"6/7/2022 2:00",2.87
"6/7/2022 3:00",3.62
"6/7/2022 4:00",4.46
"6/7/2022 5:00",3.85
"6/7/2022 6:00",5.48
"6/7/2022 7:00",4.51
"6/7/2022 8:00",4.64
"6/7/2022 9:00",2.95
"6/7/2022 10:00",2.44
"6/7/2022 11:00",1.36
"6/7/2022 12:00",0.74
"6/7/2022 13:00",0.31
"6/7/2022 14:00",0.5
"6/7/2022 15:00",1.03
"6/7/2022 16:00",0.44
"6/7/2022 17:00",0.16
"6/7/2022 18:00",0.42
"6/7/2022 19:00",2.13
"6/7/2022 20:00",2.82
"6/7/2022 21:00",1.49
"6/7/2022 22:00",0.9
"6/7/2022 23:00",1.11
"7/7/2022 0:00",1.06
"7/7/2022 1:00",
"7/7/2022 2:00",
"7/7/2022 3:00",
"7/7/2022 4:00",
"7/7/2022 5:00",
"7/7/2022 6:00",
"7/7/2022 7:00",
"7/7/2022 8:00",
"7/7/2022 9:00",
"7/7/2022 10:00",
"7/7/2022 11:00",
"7/7/2022 12:00",
"7/7/2022 13:00",
"7/7/2022 14:00",2.96
"7/7/2022 15:00",2.27
"7/7/2022 16:00",2.25
"7/7/2022 17:00",2.17
"7/7/2022 18:00",2.21
"7/7/2022 19:00",2.73
"7/7/2022 20:00",2.63
"7/7/2022 21:00",4.26
"7/7/2022 22:00",6.36
"7/7/2022 23:00",8.18
"8/7/2022 0:00",11.18
"8/7/2022 1:00",7.74
"8/7/2022 2:00",7.61
"8/7/2022 3:00",7.48
"8/7/2022 4:00",8.25
"8/7/2022 5:00",8.91
"8/7/2022 6:00",7.84
"8/7/2022 7:00",7.53
"8/7/2022 8:00",6.73
"8/7/2022 9:00",6.69
"8/7/2022 10:00",6.21
"8/7/2022 11:00",5.61
"8/7/2022 12:00",5.1
"8/7/2022 13:00",4.73
"8/7/2022 14:00",4.55
"8/7/2022 15:00",4.47
"8/7/2022 16:00",4.38
"8/7/2022 17:00",4.43
"8/7/2022 18:00",4.85
"8/7/2022 19:00",5.24
"8/7/2022 20:00",5.07
"8/7/2022 21:00",5.32
"8/7/2022 22:00",5.53
"8/7/2022 23:00",5.16
"9/7/2022 0:00",4.91
"9/7/2022 1:00",2.46
"9/7/2022 2:00",2.08
"9/7/2022 3:00",1.86
"9/7/2022 4:00",2.51
"9/7/2022 5:00",3.21
"9/7/2022 6:00",2.75
"9/7/2022 7:00",2.83
"9/7/2022 8:00",2.58
"9/7/2022 9:00",1.83
"9/7/2022 10:00",1.83
"9/7/2022 11:00",1.93
"9/7/2022 12:00",1.55
"9/7/2022 13:00",2.15
"9/7/2022 14:00",1.75
"9/7/2022 15:00",1.96
"9/7/2022 16:00",1.74
"9/7/2022 17:00",1.74
"9/7/2022 18:00",1.42
"9/7/2022 19:00",3.01
"9/7/2022 20:00",3.18
"9/7/2022 21:00",3.68
"9/7/2022 22:00",4.9
"9/7/2022 23:00",5.15
"10/7/2022 0:00",6.04
"10/7/2022 1:00",5.91
"10/7/2022 2:00",5.79
"10/7/2022 3:00",5.4
"10/7/2022 4:00",5.18
"10/7/2022 5:00",5.63
"10/7/2022 6:00",4.77
"10/7/2022 7:00",4.58
"10/7/2022 8:00",4.29
"10/7/2022 9:00",4.12
