"Category","PM<sub>2.5</sub> particulates"
"3/3/2022 15:00",0.71
"3/3/2022 16:00",0.6
"3/3/2022 17:00",1.3
"3/3/2022 18:00",4.85
"3/3/2022 19:00",9.36
"3/3/2022 20:00",14.61
"3/3/2022 21:00",19.44
"3/3/2022 22:00",23.32
"3/3/2022 23:00",16.98
"4/3/2022 0:00",6.75
"4/3/2022 1:00",5.28
"4/3/2022 2:00",5.24
"4/3/2022 3:00",6.95
"4/3/2022 4:00",10.47
"4/3/2022 5:00",13.61
"4/3/2022 6:00",16.17
"4/3/2022 7:00",14.49
"4/3/2022 8:00",13.43
"4/3/2022 9:00",15.26
"4/3/2022 10:00",14.84
"4/3/2022 11:00",12.02
"4/3/2022 12:00",10.77
"4/3/2022 13:00",13.06
"4/3/2022 14:00",15.5
"4/3/2022 15:00",9.04
"4/3/2022 16:00",7.39
"4/3/2022 17:00",6.85
"4/3/2022 18:00",8.36
"4/3/2022 19:00",5.92
"4/3/2022 20:00",4.13
"4/3/2022 21:00",7.08
"4/3/2022 22:00",9.55
"4/3/2022 23:00",10.82
"5/3/2022 0:00",11.55
"5/3/2022 1:00",10.81
"5/3/2022 2:00",6.41
"5/3/2022 3:00",9.6
"5/3/2022 4:00",5.8
"5/3/2022 5:00",4.7
"5/3/2022 6:00",3.07
"5/3/2022 7:00",3.31
"5/3/2022 8:00",3.52
"5/3/2022 9:00",2.88
"5/3/2022 10:00",2.6
"5/3/2022 11:00",2.16
"5/3/2022 12:00",1.72
"5/3/2022 13:00",0.82
"5/3/2022 14:00",0
"5/3/2022 15:00",1.36
"5/3/2022 16:00",1.07
"5/3/2022 17:00",1.71
"5/3/2022 18:00",6.06
"5/3/2022 19:00",31.05
"5/3/2022 20:00",33.23
"5/3/2022 21:00",29.09
"5/3/2022 22:00",23.48
"5/3/2022 23:00",16.43
"6/3/2022 0:00",14.22
"6/3/2022 1:00",12.73
"6/3/2022 2:00",12.18
"6/3/2022 3:00",10.85
"6/3/2022 4:00",8.44
"6/3/2022 5:00",6.37
"6/3/2022 6:00",6.89
"6/3/2022 7:00",7.07
"6/3/2022 8:00",7.23
"6/3/2022 9:00",6.37
"6/3/2022 10:00",5.26
"6/3/2022 11:00",5.08
"6/3/2022 12:00",3.44
"6/3/2022 13:00",3.59
"6/3/2022 14:00",3.49
"6/3/2022 15:00",3.79
"6/3/2022 16:00",3.88
"6/3/2022 17:00",4.47
"6/3/2022 18:00",4.31
"6/3/2022 19:00",4.86
"6/3/2022 20:00",4.8
"6/3/2022 21:00",4.46
"6/3/2022 22:00",4.05
"6/3/2022 23:00",3.69
"7/3/2022 0:00",3.72
"7/3/2022 1:00",3.58
"7/3/2022 2:00",3.48
"7/3/2022 3:00",3.74
"7/3/2022 4:00",3.92
"7/3/2022 5:00",4.08
"7/3/2022 6:00",4.36
"7/3/2022 7:00",4.46
"7/3/2022 8:00",4.72
"7/3/2022 9:00",4.95
"7/3/2022 10:00",6.93
"7/3/2022 11:00",7.23
"7/3/2022 12:00",9.33
"7/3/2022 13:00",13.4
"7/3/2022 14:00",12.89
"7/3/2022 15:00",13.56
"7/3/2022 16:00",16.55
"7/3/2022 17:00",16.64
"7/3/2022 18:00",16.52
"7/3/2022 19:00",17.43
"7/3/2022 20:00",16.96
"7/3/2022 21:00",18.78
"7/3/2022 22:00",18.48
"7/3/2022 23:00",18.16
"8/3/2022 0:00",24.12
"8/3/2022 1:00",23.13
"8/3/2022 2:00",24.99
"8/3/2022 3:00",28.68
"8/3/2022 4:00",30.03
"8/3/2022 5:00",31.77
"8/3/2022 6:00",34.67
"8/3/2022 7:00",34.49
"8/3/2022 8:00",28.44
"8/3/2022 9:00",24.52
"8/3/2022 10:00",23.21
"8/3/2022 11:00",18.45
"8/3/2022 12:00",18.76
"8/3/2022 13:00",15.9
"8/3/2022 14:00",19.12
"8/3/2022 15:00",18.76
"8/3/2022 16:00",23.25
"8/3/2022 17:00",23.51
"8/3/2022 18:00",31.75
"8/3/2022 19:00",32.81
"8/3/2022 20:00",34.36
"8/3/2022 21:00",30.69
"8/3/2022 22:00",28.33
"8/3/2022 23:00",25.94
"9/3/2022 0:00",20.03
"9/3/2022 1:00",19.72
