"Category","Nitrogen dioxide"
"28/7/2023 11:00",30.52
"28/7/2023 12:00",32.01
"28/7/2023 13:00",28.21
"28/7/2023 14:00",28.97
"28/7/2023 15:00",28.21
"28/7/2023 16:00",32.15
"28/7/2023 17:00",23.3
"28/7/2023 18:00",31.09
"28/7/2023 19:00",30.18
"28/7/2023 20:00",33.36
"28/7/2023 21:00",35.99
"28/7/2023 22:00",32.33
"28/7/2023 23:00",29
"29/7/2023 0:00",26.97
"29/7/2023 1:00",32.38
"29/7/2023 2:00",23.15
"29/7/2023 3:00",26.62
"29/7/2023 4:00",31.01
"29/7/2023 5:00",32.42
"29/7/2023 6:00",33.52
"29/7/2023 7:00",27.71
"29/7/2023 8:00",28.57
"29/7/2023 9:00",30.43
"29/7/2023 10:00",21.68
"29/7/2023 11:00",13.43
"29/7/2023 12:00",13.67
"29/7/2023 13:00",20.12
"29/7/2023 14:00",18.15
"29/7/2023 15:00",19.44
"29/7/2023 16:00",27.1
"29/7/2023 17:00",25.53
"29/7/2023 18:00",29.3
"29/7/2023 19:00",28.64
"29/7/2023 20:00",35.89
"29/7/2023 21:00",34.99
"29/7/2023 22:00",30.7
"29/7/2023 23:00",34.01
"30/7/2023 0:00",29.62
"30/7/2023 1:00",11.5
"30/7/2023 2:00",12.3
"30/7/2023 3:00",9.44
"30/7/2023 4:00",8.16
"30/7/2023 5:00",9.46
"30/7/2023 6:00",10.36
"30/7/2023 7:00",8.74
"30/7/2023 8:00",7.95
"30/7/2023 9:00",4.64
"30/7/2023 10:00",5.79
"30/7/2023 11:00",9.19
"30/7/2023 12:00",12.49
"30/7/2023 13:00",13.43
"30/7/2023 14:00",15.19
"30/7/2023 15:00",26.82
"30/7/2023 16:00",24.54
"30/7/2023 17:00",20.57
"30/7/2023 18:00",16.79
"30/7/2023 19:00",21.41
"30/7/2023 20:00",17.05
"30/7/2023 21:00",15.9
"30/7/2023 22:00",13.22
"30/7/2023 23:00",14.01
"31/7/2023 0:00",11.6
"31/7/2023 1:00",29.26
"31/7/2023 2:00",25.76
"31/7/2023 3:00",25.94
"31/7/2023 4:00",28.27
"31/7/2023 5:00",30.29
"31/7/2023 6:00",30.89
"31/7/2023 7:00",30.45
"31/7/2023 8:00",31.31
"31/7/2023 9:00",34.06
"31/7/2023 10:00",35.75
"31/7/2023 11:00",27.84
"31/7/2023 12:00",20.49
"31/7/2023 13:00",22.7
"31/7/2023 14:00",38.22
"31/7/2023 15:00",43.88
"31/7/2023 16:00",28.86
"31/7/2023 17:00",20.4
"31/7/2023 18:00",28.96
"31/7/2023 19:00",29.57
"31/7/2023 20:00",30.33
"31/7/2023 21:00",33.48
"31/7/2023 22:00",35.42
"31/7/2023 23:00",31.12
"1/8/2023 0:00",26.72
"1/8/2023 1:00",9.26
"1/8/2023 2:00",11.08
"1/8/2023 3:00",10.11
"1/8/2023 4:00",9.68
"1/8/2023 5:00",13.59
"1/8/2023 6:00",15.56
"1/8/2023 7:00",16.37
"1/8/2023 8:00",12.84
"1/8/2023 9:00",14.71
"1/8/2023 10:00",12.6
"1/8/2023 11:00",13.39
"1/8/2023 12:00",16.88
"1/8/2023 13:00",13.77
"1/8/2023 14:00",13.8
"1/8/2023 15:00",12.43
"1/8/2023 16:00",10.2
"1/8/2023 17:00",24.29
"1/8/2023 18:00",20.83
"1/8/2023 19:00",
"1/8/2023 20:00",
"1/8/2023 21:00",13.15
"1/8/2023 22:00",16.13
"1/8/2023 23:00",12.77
"2/8/2023 0:00",10.68
"2/8/2023 1:00",17.03
