"Category","Nitrogen dioxide"
"13/8/2022 13:00",20.12
"13/8/2022 14:00",10.97
"13/8/2022 15:00",15.91
"13/8/2022 16:00",22.95
"13/8/2022 17:00",25.14
"13/8/2022 18:00",27.43
"13/8/2022 19:00",39.36
"13/8/2022 20:00",49.85
"13/8/2022 21:00",57.35
"13/8/2022 22:00",61.33
"13/8/2022 23:00",61.54
"14/8/2022 0:00",58.8
"14/8/2022 1:00",55.44
"14/8/2022 2:00",45.9
"14/8/2022 3:00",37.8
"14/8/2022 4:00",31.58
"14/8/2022 5:00",33.16
"14/8/2022 6:00",32.88
"14/8/2022 7:00",32.06
"14/8/2022 8:00",33.68
"14/8/2022 9:00",31.16
"14/8/2022 10:00",26.38
"14/8/2022 11:00",19
"14/8/2022 12:00",11.58
"14/8/2022 13:00",9.37
"14/8/2022 14:00",10.03
"14/8/2022 15:00",12.31
"14/8/2022 16:00",11.78
"14/8/2022 17:00",16.1
"14/8/2022 18:00",26.31
"14/8/2022 19:00",29.27
"14/8/2022 20:00",43.12
"14/8/2022 21:00",49.12
"14/8/2022 22:00",50.31
"14/8/2022 23:00",47.11
"15/8/2022 0:00",51.98
"15/8/2022 1:00",46.07
"15/8/2022 2:00",45.62
"15/8/2022 3:00",43.76
"15/8/2022 4:00",45.23
"15/8/2022 5:00",52.05
"15/8/2022 6:00",61.1
"15/8/2022 7:00",58.31
"15/8/2022 8:00",53.66
"15/8/2022 9:00",41.93
"15/8/2022 10:00",35.73
"15/8/2022 11:00",28.42
"15/8/2022 12:00",22.95
"15/8/2022 13:00",16.66
"15/8/2022 14:00",15.94
"15/8/2022 15:00",18.57
"15/8/2022 16:00",12.62
"15/8/2022 17:00",13.73
"15/8/2022 18:00",17.72
"15/8/2022 19:00",23.9
"15/8/2022 20:00",28.61
"15/8/2022 21:00",44.29
"15/8/2022 22:00",54.97
"15/8/2022 23:00",55.88
"16/8/2022 0:00",44.01
"16/8/2022 1:00",37.09
"16/8/2022 2:00",30.66
"16/8/2022 3:00",33.78
"16/8/2022 4:00",32.72
"16/8/2022 5:00",35.65
"16/8/2022 6:00",41.99
"16/8/2022 7:00",45.72
"16/8/2022 8:00",44.38
"16/8/2022 9:00",50.52
"16/8/2022 10:00",37.98
"16/8/2022 11:00",41.44
"16/8/2022 12:00",47.44
"16/8/2022 13:00",17.74
"16/8/2022 14:00",22.25
"16/8/2022 15:00",25.08
"16/8/2022 16:00",34.1
"16/8/2022 17:00",45.09
"16/8/2022 18:00",35.44
"16/8/2022 19:00",41.41
"16/8/2022 20:00",51.29
"16/8/2022 21:00",53.27
"16/8/2022 22:00",51.64
"16/8/2022 23:00",54.7
"17/8/2022 0:00",53.8
"17/8/2022 1:00",45.62
"17/8/2022 2:00",46.74
"17/8/2022 3:00",44.36
"17/8/2022 4:00",41.11
"17/8/2022 5:00",40.36
"17/8/2022 6:00",40.92
"17/8/2022 7:00",40.64
"17/8/2022 8:00",35.75
"17/8/2022 9:00",25.14
"17/8/2022 10:00",13.48
