"Category","Nitrogen dioxide"
"18/5/2024 18:00",10.19
"18/5/2024 19:00",11.04
"18/5/2024 20:00",14.28
"18/5/2024 21:00",14.86
"18/5/2024 22:00",11.38
"18/5/2024 23:00",8.33
"19/5/2024 0:00",10.25
"19/5/2024 1:00",10.48
"19/5/2024 2:00",10.89
"19/5/2024 3:00",7.72
"19/5/2024 4:00",6.5
"19/5/2024 5:00",6.09
"19/5/2024 6:00",5.54
"19/5/2024 7:00",5.53
"19/5/2024 8:00",6.81
"19/5/2024 9:00",8.18
"19/5/2024 10:00",7.21
"19/5/2024 11:00",6.1
"19/5/2024 12:00",5.19
"19/5/2024 13:00",5.24
"19/5/2024 14:00",4.94
"19/5/2024 15:00",4.82
"19/5/2024 16:00",5.76
"19/5/2024 17:00",6.45
"19/5/2024 18:00",7.23
"19/5/2024 19:00",9.1
"19/5/2024 20:00",12.75
"19/5/2024 21:00",16.3
"19/5/2024 22:00",16
"19/5/2024 23:00",15.75
"20/5/2024 0:00",13.14
"20/5/2024 1:00",19.18
"20/5/2024 2:00",18.95
"20/5/2024 3:00",18.25
"20/5/2024 4:00",17.54
"20/5/2024 5:00",17.09
"20/5/2024 6:00",15.93
"20/5/2024 7:00",13.95
"20/5/2024 8:00",14.18
"20/5/2024 9:00",14.01
"20/5/2024 10:00",12.71
"20/5/2024 11:00",14.97
"20/5/2024 12:00",12.69
"20/5/2024 13:00",12.83
"20/5/2024 14:00",13.98
"20/5/2024 15:00",17
"20/5/2024 16:00",14.96
"20/5/2024 17:00",14.12
"20/5/2024 18:00",20
"20/5/2024 19:00",21.79
"20/5/2024 20:00",32.83
"20/5/2024 21:00",38.12
"20/5/2024 22:00",34.72
"20/5/2024 23:00",28.98
"21/5/2024 0:00",19.24
"21/5/2024 1:00",8.32
"21/5/2024 2:00",5.24
"21/5/2024 3:00",6.77
"21/5/2024 4:00",6.11
"21/5/2024 5:00",10.77
"21/5/2024 6:00",12.97
"21/5/2024 7:00",15.38
"21/5/2024 8:00",14.61
"21/5/2024 9:00",14.84
"21/5/2024 10:00",10.26
"21/5/2024 11:00",10.94
"21/5/2024 12:00",19.62
"21/5/2024 13:00",13.2
"21/5/2024 14:00",23.45
"21/5/2024 15:00",42.99
"21/5/2024 16:00",45.83
"21/5/2024 17:00",35.42
"21/5/2024 18:00",35.69
"21/5/2024 19:00",31.23
"21/5/2024 20:00",21.26
"21/5/2024 21:00",22.07
"21/5/2024 22:00",17.05
"21/5/2024 23:00",23.65
"22/5/2024 0:00",24.8
"22/5/2024 1:00",23.91
"22/5/2024 2:00",22.16
"22/5/2024 3:00",21.08
"22/5/2024 4:00",19.78
"22/5/2024 5:00",21.38
"22/5/2024 6:00",23.18
"22/5/2024 7:00",24.66
"22/5/2024 8:00",29.27
"22/5/2024 9:00",26.6
"22/5/2024 10:00",20.82
"22/5/2024 11:00",16.64
"22/5/2024 12:00",12.51
"22/5/2024 13:00",10.18
"22/5/2024 14:00",11.2
"22/5/2024 15:00",14.33
"22/5/2024 16:00",15.61
"22/5/2024 17:00",17.36
"22/5/2024 18:00",17.59
"22/5/2024 19:00",18.11
"22/5/2024 20:00",17.29
"22/5/2024 21:00",14.3
"22/5/2024 22:00",15.31
"22/5/2024 23:00",16.67
"23/5/2024 0:00",16.7
"23/5/2024 1:00",6.53
"23/5/2024 2:00",7.99
"23/5/2024 3:00",8.73
"23/5/2024 4:00",8.15
"23/5/2024 5:00",8.66
"23/5/2024 6:00",9.65
"23/5/2024 7:00",9.81
"23/5/2024 8:00",9.87
"23/5/2024 9:00",8.78
"23/5/2024 10:00",9.26
"23/5/2024 11:00",9.27
"23/5/2024 12:00",7.9
"23/5/2024 13:00",6.35
"23/5/2024 14:00",6.24
"23/5/2024 15:00",4.96
"23/5/2024 16:00",4.94
"23/5/2024 17:00",5.88
"23/5/2024 18:00",7.51
"23/5/2024 19:00",9.79
"23/5/2024 20:00",11.33
"23/5/2024 21:00",12.75
"23/5/2024 22:00",12.99
"23/5/2024 23:00",12.47
"24/5/2024 0:00",16.45
"24/5/2024 1:00",35.58
"24/5/2024 2:00",34.24
"24/5/2024 3:00",29.77
"24/5/2024 4:00",31.06
"24/5/2024 5:00",39.56
"24/5/2024 6:00",38.77
"24/5/2024 7:00",30.55
"24/5/2024 8:00",21.04
"24/5/2024 9:00",15.61
"24/5/2024 10:00",17.4
"24/5/2024 11:00",17.41
"24/5/2024 12:00",16.19
"24/5/2024 13:00",16.73
"24/5/2024 14:00",20.04
"24/5/2024 15:00",18.31
"24/5/2024 16:00",16.04
"24/5/2024 17:00",20.7
"24/5/2024 18:00",23.64
"24/5/2024 19:00",25.11
"24/5/2024 20:00",26.17
"24/5/2024 21:00",35.08
"24/5/2024 22:00",44.35
"24/5/2024 23:00",40.42
"25/5/2024 0:00",44.5
"25/5/2024 1:00",20.53
"25/5/2024 2:00",22.33
"25/5/2024 3:00",24.04
"25/5/2024 4:00",25.04
"25/5/2024 5:00",25.63
"25/5/2024 6:00",24.72
"25/5/2024 7:00",21.32
"25/5/2024 8:00",17.47
"25/5/2024 9:00",13.37
"25/5/2024 10:00",12.36
"25/5/2024 11:00",10.8
"25/5/2024 12:00",9.32
"25/5/2024 13:00",8.26
"25/5/2024 14:00",7.12
"25/5/2024 15:00",6.11
"25/5/2024 16:00",4.96
"25/5/2024 17:00",4.7
"25/5/2024 18:00",5.42
"25/5/2024 19:00",6.64
"25/5/2024 20:00",8.97
"25/5/2024 21:00",10.98
"25/5/2024 22:00",12.36
"25/5/2024 23:00",12.97
"26/5/2024 0:00",12.85
"26/5/2024 1:00",5.75
"26/5/2024 2:00",7.55
"26/5/2024 3:00",8.88
"26/5/2024 4:00",8.7
"26/5/2024 5:00",8.92
"26/5/2024 6:00",8.48
"26/5/2024 7:00",8.42
"26/5/2024 8:00",7.9
"26/5/2024 9:00",6.34
"26/5/2024 10:00",5.03
"26/5/2024 11:00",2.86
"26/5/2024 12:00",2.79
"26/5/2024 13:00",2.52
"26/5/2024 14:00",2.53
"26/5/2024 15:00",3.15
"26/5/2024 16:00",2.77
"26/5/2024 17:00",2.94
"26/5/2024 18:00",4.07
"26/5/2024 19:00",6.37
"26/5/2024 20:00",6.83
"26/5/2024 21:00",6.91
"26/5/2024 22:00",6.97
"26/5/2024 23:00",7.36
"27/5/2024 0:00",7.6
"27/5/2024 1:00",5.76
"27/5/2024 2:00",5.46
"27/5/2024 3:00",5.08
"27/5/2024 4:00",4.08
"27/5/2024 5:00",4.12
"27/5/2024 6:00",4.11
"27/5/2024 7:00",4.45
"27/5/2024 8:00",3.33
"27/5/2024 9:00",3.49
"27/5/2024 10:00",3.69
"27/5/2024 11:00",3.74
"27/5/2024 12:00",4.43
"27/5/2024 13:00",4.42
"27/5/2024 14:00",8.05
"27/5/2024 15:00",10.03
"27/5/2024 16:00",9.01
"27/5/2024 17:00",7.7
"27/5/2024 18:00",5.95
"27/5/2024 19:00",5.21
"27/5/2024 20:00",6.37
"27/5/2024 21:00",7.39
"27/5/2024 22:00",7.61
"27/5/2024 23:00",7.51
"28/5/2024 0:00",7.13
"28/5/2024 1:00",19.55
"28/5/2024 2:00",18.98
"28/5/2024 3:00",18.37
"28/5/2024 4:00",18.28
"28/5/2024 5:00",16.53
"28/5/2024 6:00",14.8
"28/5/2024 7:00",13.32
"28/5/2024 8:00",12.77
"28/5/2024 9:00",15.55
"28/5/2024 10:00",17.13
"28/5/2024 11:00",16.14
"28/5/2024 12:00",15.95
"28/5/2024 13:00",11.49
"28/5/2024 14:00",9.01
"28/5/2024 15:00",12.89
"28/5/2024 16:00",14.7
"28/5/2024 17:00",14.19
"28/5/2024 18:00",13.26
"28/5/2024 19:00",13.4
"28/5/2024 20:00",14.72
"28/5/2024 21:00",14.56
"28/5/2024 22:00",13.72
"28/5/2024 23:00",12.66
"29/5/2024 0:00",8.71
"29/5/2024 1:00",1.99
"29/5/2024 2:00",1.78
"29/5/2024 3:00",2.29
"29/5/2024 4:00",4
"29/5/2024 5:00",3.97
"29/5/2024 6:00",4.82
"29/5/2024 7:00",5.14
"29/5/2024 8:00",4.6
"29/5/2024 9:00",4.36
"29/5/2024 10:00",4.49
"29/5/2024 11:00",3.87
"29/5/2024 12:00",4.35
"29/5/2024 13:00",3.46
"29/5/2024 14:00",3.39
"29/5/2024 15:00",4.16
"29/5/2024 16:00",3.9
"29/5/2024 17:00",4.74
"29/5/2024 18:00",5.7
"29/5/2024 19:00",6.91
"29/5/2024 20:00",7.46
"29/5/2024 21:00",7.95
"29/5/2024 22:00",7.99
"29/5/2024 23:00",9.19
"30/5/2024 0:00",8.8
"30/5/2024 1:00",25.45
"30/5/2024 2:00",27.41
"30/5/2024 3:00",29.13
"30/5/2024 4:00",29.84
"30/5/2024 5:00",27.84
"30/5/2024 6:00",28.51
"30/5/2024 7:00",28.68
"30/5/2024 8:00",27.33
"30/5/2024 9:00",19.23
"30/5/2024 10:00",14.97
"30/5/2024 11:00",20.42
"30/5/2024 12:00",28.43
"30/5/2024 13:00",22.24
"30/5/2024 14:00",10.47
"30/5/2024 15:00",9.5
"30/5/2024 16:00",27.13
"30/5/2024 17:00",30
"30/5/2024 18:00",24.63
"30/5/2024 19:00",33.33
"30/5/2024 20:00",27.23
"30/5/2024 21:00",23.24
"30/5/2024 22:00",32.69
"30/5/2024 23:00",24.32
"31/5/2024 0:00",16.27
"31/5/2024 1:00",4.29
"31/5/2024 2:00",4.02
"31/5/2024 3:00",3.87
"31/5/2024 4:00",4.97
"31/5/2024 5:00",4.61
"31/5/2024 6:00",4.77
"31/5/2024 7:00",4.92
"31/5/2024 8:00",6.95
"31/5/2024 9:00",11.36
"31/5/2024 10:00",11.34
"31/5/2024 11:00",9.27
"31/5/2024 12:00",11.74
"31/5/2024 13:00",11.49
"31/5/2024 14:00",13.22
"31/5/2024 15:00",10.99
"31/5/2024 16:00",8.81
"31/5/2024 17:00",8.56
"31/5/2024 18:00",8.49
"31/5/2024 19:00",7.04
"31/5/2024 20:00",6.87
"31/5/2024 21:00",7.8
"31/5/2024 22:00",7.68
"31/5/2024 23:00",6.9
"1/6/2024 0:00",9.8
"1/6/2024 1:00",11.41
"1/6/2024 2:00",12.28
"1/6/2024 3:00",12.69
"1/6/2024 4:00",11.78
"1/6/2024 5:00",11.06
"1/6/2024 6:00",10.56
"1/6/2024 7:00",10.55
"1/6/2024 8:00",10.34
"1/6/2024 9:00",8.28
"1/6/2024 10:00",8.22
"1/6/2024 11:00",8.43
